	Term	p-value	z-score	CS	Related Genes
11	E2F1_ChIP-Seq_MESC_Mouse	4.04e-41	-1.16	103.08	EIF4A1, RPL3, RPL32, CD81, D16ERTD472E, NRM, BZW2, ETS2, ACTB, RPS15, KRTCAP3, RPL18A, UROD, FTH1, 5730469M10RIK, PIM3, HMGN2, RPL39, JUNB, HMGN1, JMJD3, CD97, RNF44, WSB1, MREG, ACTN2, ARRDC3, CIRBP, ATP1B3, JUND1, MIF, GTPBP4, NISCH, MORF4L1, PRKAR1A, MORF4L2, TXNIP, RPL24, MATR3, RPL27, SQSTM1, ATF4, DDX6, BRI3, BHLHB2, ADRB2, STK4, FOXO1, ZFP36L1, SOCS3, SNN, SNX2, SFRS5, SNX8, SKIL, TBC1D15, MARK2, HSPA9, UVRAG, CD164, HSPA8, EGR1, PRNP, CDT1, CHKB, CHKA, H3F3B, GADD45A, SCOTIN, LSM4, NFKBIA, CCT6A, RANBP10, HBP1, SERINC1, RPS24, DAZAP2, CLIC4, LDB1, CETN3, AKAP8L, SLC2A1, LRMP, LITAF, HERPUD1, ALAD, UBL3, MYD116, HIST2H3C1, GRASP, HIST1H1C, NDEL1, NUDC, D8ERTD738E, PLAUR, EMP1, PLRG1, GNL3, EIF3S5, EIF3S4, ELF1, IMPACT, IRF1, B3GNT5, TAX1BP1, MYH9, CEBPB, OAT, WBP2, RPL12, AW549877, ODC1, LENG9, CXCR4, DENND3, PPP2CB, POLD1, TRA2A, LMNA, RABAC1, 2600009E05RIK, 2600005C20RIK, RPL19, KLF2, STK17B, KLF9
12	HOXB4_ChIP-ChIP_EML_Mouse	1.66e-25	-1.88	101.99	DYRK3, RPL3, RPL32, PPP1R10, POP4, ZFAND2A, 5730427N09RIK, NRM, TNFAIP3, LRMP, BZW2, ARHGAP4, RPL18A, GPR171, ARIH2, CTSE, RPL39, KPNA1, NDEL1, IFNGR1, D19WSU162E, ARRDC3, CIRBP, PLAUR, PLRG1, GNL3, TGFBR2, EIF3S5, PTP4A1, IMPACT, MORF4L2, B3GNT5, TAX1BP1, ARHGEF3, MYH9, RPL24, STRAP, PRKD2, MATR3, CSNK1G2, BC031781, ATF4, DDX6, WBP2, AW549877, H2-M3, NEDD9, SAMSN1, GNA13, SERPINB1A, SFRS5, UBB, TMEM66, DHX38, HIST1H3H, TBC1D15, OSBPL9, CD164, HSPA8, EGR2, CHKB, STAT3, LSM4, LASS2, HBP1, CD69, LRP10
13	TCFAP2C_ChIP-ChIP_TROPHOBLAST STEM CELLS_Mouse	1.27e-32	-1.43	100.0	AHCTF1, PRR7, CLIC4, BTG1, LDB1, DGKA, NRM, SLC2A1, SMG7, LITAF, ACTB, ALAD, TBK1, MYD116, FTH1, 5730469M10RIK, NFKBIZ, ARIH2, SCD1, JUNB, HMGN1, KPNA1, NDEL1, MAP4K1, CDV3, RNF44, WSB1, MREG, ACTN2, ELOVL5, IFNGR1, CIRBP, ATP1B3, JUND1, VPS37B, TPST2, NISCH, PTP4A1, MORF4L1, PTP4A2, ELF1, FCHSD2, DAD1, IRF1, MATR3, 2310044H10RIK, BC031781, OAT, H2-DMA, AW549877, ODC1, STXBP2, BHLHB2, UNC84B, ATP1A1, ZFP36L1, GNA13, SNN, SNX2, NUAK2, CNR2, UBB, TMEM23, TRA2A, SLC38A2, SKIL, HSPA9, UVRAG, CD164, HSPA8, MAP3K1, EGR3, CHKA, PLEKHA2, STAT3, SCOTIN, SORL1, LASS2, CCT6A, NFKBIA, PER1, KLF7, KLF6, EIF5, CD6, BCL6, KLF9, PDCD4, REL, UBE2O, STT3B
14	KLF4_ChIP-ChIP_MESC_Mouse	6.25e-27	-1.71	97.62	EIF4A1, DYRK3, CLIC4, RPL3, CD82, PPP1R10, DGKA, ZFAND2A, ATP2A3, SMG7, LITAF, ACTB, ETS2, RPL18A, FTH1, HMGN2, JUNB, NDEL1, HIST1H1C, JMJD3, ST6GAL1, MREG, TPM4, CIRBP, JUND1, VPS37B, ZCRB1, MIF, YWHAZ, IMPACT, TXNIP, STRAP, RPL27, MATR3, UBA52, BC031781, ATF4, RPL12, AW549877, ATP10D, H2-M3, CXCR4, ZFP36L1, RAP1B, NUAK2, UBB, HIST1H3H, SLC38A2, RPL19, HSPA9, PLK3, UVRAG, CDT1, HSPA8, EGR3, KLF4, KLF2, GADD45G, LASS2, CCT6A, KLF6, KLF9, HBP1
15	EP300_ChIP-Seq_FORBRAIN MIDBRAIN LIMB HEART_Mouse	1.15e-21	-2.03	92.79	CPM, ALAS2, CLIC4, TFRC, CD82, RPL32, PPP1R10, CHD7, SLC2A1, SLC4A1, IRS2, PHXR4, SMG7, GIMAP6, ACTB, BACH2, ALAD, LBH, NFKBIZ, CCR7, HIST1H1C, CD97, JMJD3, MBNL1, MEF2C, WSB1, TPM4, ELOVL5, D19WSU162E, CIRBP, EMP1, JUND1, JOSD2, YWHAZ, ELF1, ARHGEF3, CCDC86, MYH9, MATR3, SQSTM1, BC031781, GYPA, WBP2, EBI2, CXCR4, ATP1A1, ZFP36L1, RAP1B, NUAK2, CNR2, PUF60, LMNA, SKIL, EGR1, PLK3, MLL5, HOPX, GADD45G, SLC25A37, KLF7, KLF6, KLF9, FOSB, HBP1, RPS24, 3110001A13RIK
16	TAL1_ChIP-Seq_HPC-7_Mouse	1.61e-30	-1.33	86.49	EIF4A1, DYRK3, PRR7, BTG1, RPL3, TFRC, PPP1R10, CD81, AKAP8L, HBB-B2, ATP2A3, SLC2A1, LRMP, GIMAP6, ACTB, HERPUD1, RPS15, LBH, FTH1, SESN1, CCR7, CTSE, JUNB, KPNA1, HIST1H1C, MBNL1, TPM4, ARRDC3, CIRBP, TPST2, NISCH, PTP4A2, ELF1, TAX1BP1, STRAP, MATR3, RPL27, SNORA65, UBA52, BC031781, ATF4, ARF6, DDX6, GGNBP2, WBP2, RPL12, ODC1, LENG9, CXCR4, STK4, GNA13, UGCG, STIP1, SNN, SFRS5, CNR2, UBB, PUF60, TMEM66, MKNK2, RPL19, EGR1, PRNP, CD164, CDT1, HSPA8, CHKA, H3F3B, STAT3, 2310016C08RIK, LAPTM5, MLL5, LSM4, GADD45G, LASS2, KLF6, EIF5, NFKBID
17	SPI1_ChIP-ChIP_GC-B_Mouse	6.81e-21	-1.9	83.39	EIF4A1, DAZAP2, CD82, PPP1R10, DGKA, NRM, TNFAIP3, LRMP, SMG7, GIMAP6, ACTB, RPL18A, TBC1D10C, CASP1, PDE4B, CCR7, HIST2H3C1, JUNB, MAP4K1, IGH-VJ558, MEF2C, NUDC, RNF44, TAGAP1, VPS37B, WBP11, GTPBP4, ELF1, CCDC86, PRKD2, H2-Q6, AW549877, H2-M3, BHLHB2, H2-Q5, STK4, SAMSN1, GNA13, H2-DMB2, CNR2, H2-DMB1, MKNK2, PLCG2, HIST1H3H, SKIL, UVRAG, A430107D22RIK, PLEKHA2, STAT3, LAPTM5, MLL5, SCOTIN, NFKBIA, TUBA6, KLF7, KLF9, CD69, LRP10
18	CREM_ChIP-Seq_GC1-SPG_Mouse	9.89e-55	-0.7	82.5	PANK4, EIF4A1, RPL3, DGKD, TFRC, POP4, EIF4A3, NRM, IRS2, ACTB, BACH2, KRTCAP3, FAM134B, RPL18A, RNF19A, FTH1, SESN1, PIM3, HMGN2, JUNB, RPS13, KPNA1, HMGN1, CSNK1G3, RNF44, WSB1, MREG, TPM4, ARRDC3, CIRBP, ATP1B3, MIF, WBP11, GTPBP4, TPST2, NISCH, MORF4L1, PRKAR1A, MORF4L2, RPL24, CCDC86, PRKD2, MATR3, RPL27, UBA52, SQSTM1, CSNK1G2, ATF4, DDX6, GGNBP2, CUL3, STXBP2, H2-M3, FOXO1, RAP1B, SOCS3, STIP1, UGCG, SNN, SFRS5, UBB, DDRGK1, SNX8, SLC38A2, SKIL, TBC1D15, OSBPL9, HSPA9, PLK3, UVRAG, CD164, HSPA8, EGR1, CDT1, 1300018I05RIK, CHKB, CHKA, H3F3B, NTAN1, LSM4, EIF5, BCL6, RPS29, ARPC3, REL, UBE2O, HBP1, SERINC1, STT3B, HNRNPC, NFKBID, RPS24, DAZAP2, AHCTF1, CLIC4, DYRK3, PRR7, BTG1, TCF25, ZFAND2A, CETN3, CHD7, AKAP8L, SMG7, USE1, PRR8, HERPUD1, UBL3, FAM102A, MYD116, ARIH2, EMD, NDEL1, CDV3, NUDC, D8ERTD738E, KLF13, ELOVL5, PLRG1, VPS37B, JOSD2, YWHAZ, GNL3, PTP4A1, ELF1, IMPACT, FCHSD2, DAD1, BXDC2, RASA1, TAX1BP1, POLR1D, STRAP, TMBIM6, SNORA65, BC031781, ARF6, CEBPB, OAT, WBP2, AW549877, ODC1, LENG9, DENND3, UNC84B, ATP1A1, RELA, GNA13, PPP2CB, PUF60, TMEM66, MKNK2, TRA2A, RABAC1, MAP3K1, STAT3, 2310016C08RIK, KLF4, KLF2, SLC25A37, PER1, KLF6, STK17B, KLF9, PDCD4, FOSB, EIF3D
19	CCND1_ChIP-ChIP_RETINA_Mouse	3.31e-23	-1.65	81.17	PANK4, EIF4A1, RPL3, TFRC, LDB1, PPP1R10, TCF25, AKAP8L, SMG7, ACTB, HERPUD1, LBH, UROD, UTX, PIM3, HIST2H3C1, RPL39, GRASP, NDEL1, HIST1H1C, UNC45A, JMJD3, MAP4K1, RNF44, KLF13, WSB1, TAGAP1, TPM4, PLRG1, WBP11, YWHAZ, MORF4L1, LCK, PRKAR1A, B3GNT5, ARHGEF3, 2310044H10RIK, OAT, WBP2, LENG9, CXCR4, ZFP36L1, SOCS3, STIP1, SFRS5, UBB, HIST1H3H, 2610028H07RIK, RABAC1, SKIL, MARK2, RPL19, EGR1, UVRAG, CD164, HSPA8, H3F3B, LSM4, GADD45G, SLC25A37, PER1, TUBA6, KLF7, KLF6, EIF5, RANBP10, FOSB, HBP1, SERINC1
20	MYC_ChIP-ChIP_MESC_Mouse	4.42e-33	-1.14	80.37	EIF4A1, RPL3, TFRC, RPL32, 5730427N09RIK, DGKA, D16ERTD472E, BZW2, ACTB, RPS15, KRTCAP3, RPL18A, UROD, FTH1, PIM3, RPL39, JUNB, RPS13, KPNA1, JMJD3, ST6GAL1, MREG, TPM4, CIRBP, MIF, ZCRB1, WBP11, GTPBP4, NISCH, MORF4L1, NGFRAP1, RPL24, CCDC86, MATR3, RPL27, UBA52, ATF3, CSNK1G2, 2310044H10RIK, ATF4, GGNBP2, STK4, ZFP36L1, SOCS3, UBB, DHX38, HIST1H3H, SLC38A2, HSPA9, UVRAG, HSPA8, CDT1, GNA-RS1, H3F3B, LSM4, CCT6A, EIF5, RPS29, HBP1, SERINC1, STT3B, RPS24, AHCTF1, CLIC4, DYRK3, LDB1, PPP1R10, CETN3, AKAP8L, LRMP, SMG7, HERPUD1, ALAD, MYD116, HIST2H3C1, MAP4K1, CDV3, NUDC, TSC22D3, YWHAZ, GNL3, EIF3S5, PTP4A1, IMPACT, LCK, DAD1, BXDC2, STRAP, BC031781, ARF6, RPL12, AW549877, ODC1, CXCR4, GNA13, POLD1, TRA2A, 2600009E05RIK, RPL19, MAP3K1, STAT3, 2310016C08RIK, KLF4, KLF2, PER1, RNF145, KLF7, KLF9, FOSB, BC030476
21	EOMES_ChIP-ChIP_TROPHOBLAST STEM CELLS_Mouse	6.79e-23	-1.61	77.98	CLIC4, LDB1, RPL32, PPP1R10, DGKA, SLC2A1, TNFAIP3, LRMP, SMG7, LITAF, ETS2, ALAD, FTH1, 5730469M10RIK, RPL39, KPNA1, NDEL1, HIST1H1C, WSB1, PLAUR, VPS37B, YWHAZ, GNL3, EIF3S5, PTP4A1, ELF1, NGFRAP1, IRF1, ARHGEF3, TXNIP, MATR3, 2310044H10RIK, ATF4, GYPA, AW549877, ODC1, ATP1A1, STK4, ZFP36L1, NUAK2, CNR2, TMEM23, PLCG2, HIST1H3H, SKIL, PRNP, CD164, HSPA8, EGR2, MAP3K1, CHKB, PLEKHA2, STAT3, SORL1, GADD45G, LASS2, KLF7, KLF6, CD6, KLF9, REL, STT3B
22	MYC_ChIP-Seq_MESC_Mouse	1.49e-20	-1.77	76.56	PANK4, RPL3, TFRC, RPL32, 5730427N09RIK, D16ERTD472E, AKAP8L, CETN3, EIF4A3, BZW2, ACTB, ALAD, RPS15, RPL18A, 1110007M04RIK, RPS13, HMGN1, NUDC, KLF13, CIRBP, ATP1B3, MIF, YWHAZ, GNL3, MORF4L1, BXDC2, CCDC86, STRAP, RPL27, MATR3, BC031781, ATF4, RPL12, ODC1, UNC84B, SFRS5, TRA2A, 2600009E05RIK, 2600005C20RIK, TBC1D15, CD164, HSPA8, CHKA, LSM4, LASS2, CCT6A, EIF5, RPS29, RPS24
23	PPARG_ChIP-Seq_3T3-L1 PREADIPOCYTE _Mouse	9.60e-35	-0.99	73.25	DGKD, TFRC, CD82, CD81, POP4, SLC4A1, IRS2, PHXR4, ETS1, ACTB, ZC3H12D, RABGEF1, TBK1, RNF19A, FTH1, 5730469M10RIK, PIM3, JUNB, CD97, MBNL1, TPM4, ATP1B3, ZCRB1, PRKD2, RPL27, SQSTM1, CSNK1G2, ATF4, ADRB2, FOXO1, ZFP36L1, SNN, SFRS5, UBB, SLC38A2, MARK2, OSBPL9, HSPA9, UVRAG, CD164, EGR1, PRNP, CDT1, CHKA, H3F3B, GADD45A, IRGM1, MLL5, GADD45G, CCT6A, BCL6, RPS29, RANBP10, CPM, H2-T23, ALAS2, BTG1, PPP1R10, ZFAND2A, SLC2A1, TNFAIP3, SMG7, LITAF, ALAD, UBL3, ZNRD1, NFKBIZ, PDE4B, CTLA4, CCR7, SCD1, UNC45A, SRGN, KLF13, ELOVL5, 1190002H23RIK, VPS37B, YWHAZ, PTP4A2, RILPL2, LCK, IRF4, TAX1BP1, POLR1D, XCL1, STRAP, MYH9, SNORA65, BC031781, ARF6, CEBPB, ATP10D, CXCR5, NEDD9, TMEM66, TRA2A, LMNA, RABAC1, MAP3K1, 2310016C08RIK, KLF4, KLF2, PER1, KLF7, KLF6, KLF9, EIF3F, CD69
24	KLF4_ChIP-Seq_MESC_Mouse	5.78e-24	-1.36	68.95	EIF4A1, DAZAP2, DYRK3, ISCA1, AHCTF1, TFRC, LDB1, PPP1R10, ZFAND2A, 5730427N09RIK, A730098D12RIK, ATP2A3, SMG7, RPS15, TBK1, TBC1D10C, JUNB, GRASP, 1110007M04RIK, KPNA1, NDEL1, UNC45A, CD97, RNF44, MREG, D19WSU162E, ATP1B3, JUND1, MIF, YWHAZ, GTPBP4, TPST2, PTP4A1, ELF1, FCHSD2, PRKAR1A, IRF1, B3GNT5, TXNIP, MYH9, ATF3, CSNK1G2, 2310044H10RIK, BC031781, WBP2, RPL12, CUL3, HVCN1, ATP10D, STXBP2, UNC84B, ADRB2, PPP2CB, SOCS3, STIP1, SNN, SRR, SFRS5, NUAK2, TRA2A, TBC1D15, MLL1, UVRAG, CD164, 2510006D16RIK, PLEKHA2, NTAN1, KLF4, LSM4, LASS2, CCT6A, EIF5, UBE2O, SERINC1, LRP10
25	SMARCA4_ChIP-ChIP_TROPHOBLAST STEM CELLS_Mouse	1.05e-18	-1.7	66.92	CLIC4, GYPA, LDB1, RPL12, ODC1, NRM, SLC2A1, SMG7, LITAF, ACTB, HERPUD1, ZFP36L1, ALAD, SFRS5, TMEM23, FTH1, 5730469M10RIK, PLCG2, SLC38A2, RPL39, JUNB, 2600005C20RIK, TBC1D15, MARK2, NDEL1, HSPA8, ST6GAL1, WSB1, PLEKHA2, F2R, PLAUR, EMP1, JUND1, SCOTIN, YWHAZ, LASS2, KLF7, ELF1, NGFRAP1, AI324046, TXNIP, FOSB, MATR3, SQSTM1, 3110001A13RIK
26	MECOM_ChIP-Seq_KASUMI_Mouse	2.31e-25	-1.2	64.81	PRR7, DGKD, CD82, DGKA, ATP2A3, NRM, TNFAIP3, LRMP, BZW2, LITAF, ARHGAP4, HERPUD1, RABGEF1, LBH, FTH1, RNF19A, CTSE, RPL39, JUNB, EMD, SRGN, CD97, MAP4K1, MBNL1, ELOVL5, LMO2, F2R, HMHA1, YWHAZ, GTPBP4, TXNIP, MYH9, PRKD2, MATR3, RPL27, CD274, OAT, NEDD9, THY1, SAMSN1, RAP1B, UGCG, STIP1, NUAK2, CNR2, TMEM66, TRA2A, LMNA, TBC1D15, MARK2, MLL1, UVRAG, NAPSA, CHKB, PLEKHA2, LAPTM5, GADD45G, NFKBIA, SLC25A37, RNF145, KLF7, PDCD4, RANBP10, REL, HBP1, HNRNPC, CD69, LRP10, NFKBID
27	MYCN_ChIP-Seq_MESC_Mouse	1.50e-22	-1.33	63.4	EIF4A1, DYRK3, ISCA1, RPL3, TFRC, LDB1, PPP1R10, TCF25, 5730427N09RIK, D16ERTD472E, AKAP8L, CETN3, TNFAIP3, IRS2, HERPUD1, ALAD, TBK1, UBL3, MYD116, FTH1, SESN1, PIM3, JUNB, GRASP, KPNA1, UNC45A, CDV3, GTPBP4, PTP4A1, ELF1, FCHSD2, MORF4L2, MATR3, PFDN5, UBA52, 2310044H10RIK, BC031781, ARF6, DDX6, GGNBP2, CUL3, ODC1, UNC84B, RELA, FOXO1, PPP2CB, SOCS3, SNN, UBB, TMEM66, SNX8, SKIL, MARK2, RPL19, MLL1, HSPA9, CDT1, 2510006D16RIK, MAP3K1, STAT3, 2310016C08RIK, NTAN1, SORL1, GADD45G, CCT6A, PER1, EIF5, RPS29, KLF9, HBP1
