	Term	p-value	z-score	CS	Related Genes
170	Acute myeloid leukemia	7.52e-01	4.39	-0.23	PIK3CG
171	Bladder cancer	6.36e-01	4.46	-0.23	MMP9
172	Notch signaling pathway	6.92e-01	4.48	-0.23	PSENEN
173	Endometrial cancer	7.20e-01	4.52	-0.23	PIK3CG
174	Endocrine and other factor-regulated calcium reabsorption	6.85e-01	4.52	-0.23	PRKACB
175	Glycerolipid metabolism	7.64e-01	4.52	-0.23	ALDH2
176	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	4.64e-01	4.55	-0.23	PIGX
177	Type II diabetes mellitus	6.92e-01	4.56	-0.24	PIK3CG
178	African trypanosomiasis	5.79e-01	4.59	-0.24	IL1B
179	Malaria	6.99e-01	4.6	-0.24	IL1B
180	Cocaine addiction	6.99e-01	4.61	-0.24	PRKACB
181	Fatty acid metabolism	6.92e-01	4.61	-0.24	ACADM
182	Ether lipid metabolism	6.69e-01	4.61	-0.24	PLD4
183	Pathogenic Escherichia coli infection	7.40e-01	4.62	-0.24	ARPC5
184	Nucleotide excision repair	6.85e-01	4.66	-0.24	RBX1
185	Primary immunodeficiency	5.99e-01	4.71	-0.24	TNFRSF13B
186	Intestinal immune network for IgA production	6.92e-01	4.75	-0.24	TNFRSF13B
187	Lysine degradation	7.20e-01	4.77	-0.25	ALDH2
188	Arachidonic acid metabolism	7.80e-01	4.78	-0.25	GPX1
189	Glyoxylate and dicarboxylate metabolism	5.02e-01	4.79	-0.25	PGP
190	Sphingolipid metabolism	6.85e-01	4.8	-0.25	DEGS1
191	Amyotrophic lateral sclerosis (ALS)	7.14e-01	4.82	-0.25	GPX1
192	Vibrio cholerae infection	7.14e-01	4.82	-0.25	PRKACB
193	Type I diabetes mellitus	6.53e-01	4.87	-0.25	IL1B
194	Ovarian steroidogenesis	7.07e-01	4.89	-0.25	PRKACB
195	Starch and sucrose metabolism	7.46e-01	4.89	-0.25	PYGL
196	Hedgehog signaling pathway	7.07e-01	4.9	-0.25	PRKACB
197	Arginine and proline metabolism	7.07e-01	4.91	-0.25	ALDH2
198	Graft-versus-host disease	6.36e-01	4.94	-0.25	IL1B
199	Tryptophan metabolism	6.27e-01	4.99	-0.26	ALDH2
200	Fructose and mannose metabolism	5.47e-01	5.12	-0.26	TPI1
201	Porphyrin and chlorophyll metabolism	6.44e-01	5.12	-0.26	ALAS1
202	Homologous recombination	5.13e-01	5.12	-0.26	SHFM1
203	Propanoate metabolism	5.47e-01	5.21	-0.27	ACADM
204	Nicotinate and nicotinamide metabolism	5.13e-01	5.22	-0.27	NADK
205	Glycine, serine and threonine metabolism	6.27e-01	5.28	-0.27	ALAS1
206	Regulation of autophagy	6.18e-01	5.3	-0.27	GABARAP
207	Histidine metabolism	4.51e-01	5.37	-0.28	ALDH2
208	Renin-angiotensin system	4.38e-01	5.56	-0.29	PRCP
209	Pentose and glucuronate interconversions	5.89e-01	5.67	-0.29	ALDH2
210	Ascorbate and aldarate metabolism	4.89e-01	5.86	-0.3	ALDH2
211	Circadian rhythm	5.25e-01	5.9	-0.3	RBX1
