	Term	p-value	z-score	CS	Related Genes
15	SMARCA4_ChIP-ChIP_TROPHOBLAST STEM CELLS_Mouse	9.74e-22	-1.93	87.86	RB1, BC008163, OTUD5, CLIC4, LDB1, BC022224, UBE2L6, NUDT4, ALAD, FTH1, 5730469M10RIK, PSMD1, LBR, BCAS2, CTSB, 2700097O09RIK, BNIP3L, GPX1, APLP2, DYNLL1, EEF1G, CARHSP1, NGFRAP1, AI324046, 1100001G20RIK, TXNIP, HEMGN, GYPA, ODC1, ENDOD1, MRPL14, ATP5H, DNAJB1, BAG1, SLC38A2, HSPA8, RPL41, 3110056O03RIK, TXNRD2, SEMA4B, STARD10, SFRS2, SOD1, D17WSU92E, CSDA, PRC1, MKRN1, HDGF, SSBP3
16	CCND1_ChIP-ChIP_RETINA_Mouse	1.83e-22	-1.7	80.18	RPL3, TFRC, LDB1, MIR16, MRPS12, UBE2L6, APEH, EEF1B2, FTL1, RPS16, TUBB5, UROD, FNTB, NUSAP1, RPLP2, FADS1, RAB8B, HIST1H1C, BNIP3L, KLF13, PLRG1, JOSD1, GTPBP2, HCFC1, TUBB2C, 2310022B05RIK, MCM4, BIRC5, ANAPC5, MCM6, HAGH, MCM2, HEMGN, UHRF1, WBP2, MGST3, PPOX, CENPA, NT5C3, DEDD2, PRDX2, UBB, NUP85, CDR2, HIST1H3E, HSPA8, UBE2H, FAHD1, PHF10, H3F3B, BSDC1, HRAS1, ORC6L, SFRS2, LSM4, SFRS1, 1700037H04RIK, SLC25A37, TUBA6, PHF5A, EIF5, SLC6A9, RPA3, RANBP10, ANP32E, SERINC1, SSBP3, GSTM5
17	CREB1_ChIP-Seq_GC1-SPG_Mouse	6.05e-36	-1.03	79.93	OTUD5, ISCA1, RPL3, GHITM, SAMD14, RPS16, PSMD4, FTH1, RNF19A, KNTC1, FADS1, TMEM14C, MAP2K3, BNIP3L, 2810453I06RIK, IFRD2, RPL23, APLP2, RFX2, DNTTIP1, GTPBP2, PRKAB1, THOC4, 1810027O10RIK, MORF4L2, PSME3, BOLA3, IGTP, RPL24, ATF4, ABCB4, ATP5H, ADIPOR1, RNASET2B, ARHGAP21, UBB, SLC38A2, NDUFV1, KLHDC2, PRNP, HSPA8, UBE2H, PHF10, H3F3B, EIF2AK1, SFRS2, UBAC1, D17WSU92E, 1700037H04RIK, COL5A1, RPS29, ANP32E, UBE2O, TMCC2, SERINC3, AARS, RNF10, DYRK3, MCM7, PIGQ, ALAD, TUBA1B, SEC61G, NPTN, RPLP2, TAPT1, RAB8B, H2AFX, JOSD2, PLRG1, JOSD1, RANGAP1, TFDP2, NDUFS7, EEF1D, TAX1BP1, MCM4, BIRC5, MCM5, PABPC1, HAGH, UHRF1, WBP2, CLCN3, DNAJB2, DNAJB1, BTAF1, E2F1, WBP5, RPS2, ACSS1, RBM38, SMOX, TXNRD2, HRAS1, SLC25A39, EIF3K, EIF3I, KLF9, NCAPD3, BAT5, CDKN3
18	CREM_ChIP-Seq_GC1-SPG_Mouse	2.71e-55	-0.62	75.19	RB1, OTUD5, RPL3, CMAS, TFRC, ATP5C1, GHITM, NUDT4, EEF1B2, PSMD8, FAM134A, RPS16, RNF19A, FTH1, NUSAP1, PSMD1, HMGN2, TMEM14C, MAP2K3, BNIP3L, PAQR9, USP7, 2810453I06RIK, ACSL1, RPL23, APLP2, ARRDC3, DNTTIP1, RFX2, GTPBP2, PRKAB1, THOC4, 1810027O10RIK, MORF4L2, PSME3, BOLA3, HAT1, PGP, RPL24, ANAPC5, UBA52, ATF4, TBCEL, GGNBP2, FECH, MRPL14, ADIPOR1, DEDD2, PRDX2, UGCG, ARHGAP21, UBB, PRKAR2B, FIGNL1, BAG1, ST3GAL5, SLC38A2, NDUFV1, CDR2, KLHDC2, HSPA8, CDT1, RPL41, UBE2H, SIVA1, H3F3B, ASNS, BSDC1, MEMO1, SFRS2, LSM4, UBAC1, SFRS1, RPS26, D17WSU92E, 1700037H04RIK, EIF5, PQLC1, RPS29, MAFG, MKRN1, ANP32E, UBE2O, SERINC1, GCLM, SERINC3, RPS24, GSTM5, AARS, RNF10, AHCTF1, RNF11, CLIC4, DYRK3, MCM7, MRPS12, CETN3, TUBA1B, MYD116, SEC61G, NPTN, RPLP2, TLK1, LBR, BCAS2, TAPT1, RAB8B, KLF13, H2AFX, RPS3A, PLRG1, JOSD2, KIF22, DYNLL1, RANGAP1, JOSD1, EEF1G, TUBB2C, PACS2, TFDP2, EEF1D, TAL1, TAX1BP1, MCM4, BIRC5, MCM5, MCM6, PABPC1, HAGH, CD47, ARF5, MCM2, UHRF1, WBP2, ODC1, DLST, PPOX, CLCN3, TRAK2, DNAJB2, DNAJB1, FZR1, BTAF1, E2F1, RBM38, 3110056O03RIK, GINS4, HRAS1, DEK, COX6C, HNRNPAB, SOD1, TPCN1, SLC25A38, SLC25A37, SH3YL1, CSDA, SLC25A39, EIF3K, EIF3I, RPA3, LPCAT3, KLF9, HDGF, NCAPD3, SSBP3, BAT5, CDKN3
19	EP300_ChIP-Seq_FORBRAIN MIDBRAIN LIMB HEART_Mouse	2.23e-18	-1.91	73.53	RNF10, ALAS2, CLIC4, TFRC, MCM7, CD82, SLC4A1, UBE2L6, HS6ST1, ALAD, FTL1, SAMD14, RAB8B, HIST1H1C, MAP2K3, TMOD1, BNIP3L, HIST1H2AH, PABPC4, JOSD2, JOSD1, PRKAB1, ANK1, TUBB2C, CARHSP1, 5730593F17RIK, TAL1, 2310022B05RIK, CYB5, 1100001G20RIK, GYPA, FECH, GYPC, WBP2, MGST3, COX17, DLST, RPS27L, ATP5H, TSPAN33, TRAK2, FIGNL1, LMNA, E2F2, ST3GAL5, CAR2, NFE2, UBE2H, SMOX, PDZK1IP1, TPCN1, SLC25A38, SLC25A37, CSDA, SLC6A9, PRC1, KLF9, HDGF, GCLM, SSBP3, RPS24
20	ZFX_ChIP-Seq_MESC_Mouse	1.06e-27	-1.24	72.72	RNF10, AHCTF1, RNF11, RPL3, CMAS, TFRC, ARL6IP1, MIR16, ATP5C1, ICAM4, COMT, NUDT4, RPS16, TUBB5, PSMD4, NPTN, RPLP2, TLK1, PSMD1, BCAS2, HIST1H1C, CTSB, BNIP3L, PAQR9, USP7, GLRX5, RPL23, H2AFX, DNTTIP1, NIPA1, JOSD2, JOSD1, GTPBP2, THOC7, PACS2, NDUFS7, EEF1D, TAL1, 2310022B05RIK, PSME3, HAT1, TAX1BP1, RPL24, MCM5, ANAPC5, MCM6, UBA52, ARF5, ATF4, TBCEL, GGNBP2, FECH, ABCB4, RPS27L, DLST, NT5C3, DNAJB1, PRDX2, FZR1, 4930570C03RIK, BTAF1, UBB, NUP85, PRKAR2B, BAG1, ST3GAL5, RPS2, HSPA8, PRNP, SLMO2, FAHD1, SMOX, GADD45A, RYK, UROS, ASNS, ORC6L, PDAP1, DEK, COX6C, SFRS2, LSM4, SFRS1, SOD1, D17WSU92E, CSDA, SLC25A39, RPS29, ANP32E, UBE2O, NCAPD3, GCLM, SERINC3
21	KLF4_ChIP-ChIP_MESC_Mouse	3.00e-21	-1.62	72.29	PSCD3, RNF10, DYRK3, LDB1, CD82, ARL6IP1, MRPS12, BC022224, COMT, HS6ST1, ALAD, RPL7A, TUBB5, NUSAP1, HIST1H2AD, RPLP2, HIST1H2AF, HIST1H1C, 2700097O09RIK, KLF13, GPX1, HIST1H2AI, RPL23, H2AFX, DYNLL1, RANGAP1, THOC4, HCFC1, TUBB2C, CARHSP1, TXNIP, HAGH, ATF4, UHRF1, MGST3, PPOX, 2310003F16RIK, DNAJB1, PRDX2, FZR1, CD59A, UBB, RPS2, SLC38A2, RBM38, FAHD1, TXNRD2, MT1, LSM4, RPS26, TUBA6, SLC25A39, RPS29, RPA3, KLF9, CENPL, UBE2O, SERINC1, AARS
22	TAL1_ChIP-Seq_HPC-7_Mouse	1.29e-24	-1.26	65.53	DYRK3, RPL3, TFRC, HBB-B2, MPO, EEF1B2, RPL7A, FTL1, SAMD14, FAM134A, TUBB5, FTH1, RPLP2, KNTC1, CTSE, CTSB, HIST1H1C, MAP2K3, GPX1, HIST1H2AI, HIST1H2AH, ARRDC3, H2AFX, KIF22, GTPBP2, DYNLL1, D030056L22RIK, TUBB2C, NDUFS7, TAL1, PSME3, BOLA3, TAX1BP1, PGP, BIRC5, MCM6, UBA52, ANK, ATF4, HEMGN, GGNBP2, WBP2, ODC1, COX17, ADIPOR1, 2310003F16RIK, DNAJB1, UGCG, PRDX2, 2410076I21RIK, BTAF1, UBB, HIST1H3E, RBM38, NFE2, PRNP, CDT1, HSPA8, RPL41, H3F3B, ORC6L, MEMO1, MT1, LSM4, SFRS1, RPS26, EIF5, SLC25A39, RHAG, BAT5
23	MYB_ChIP-Seq_ERMYB_Mouse	1.64e-18	-1.58	61.08	CLIC4, MKI67, MPO, SAMSN1, DEDD2, NUDT4, HEBP1, FAM134A, LMNA, SLC38A2, LBR, RAB8B, RBM38, MAP2K3, PRNP, NFE2, HSPA8, UBE2H, KLF13, RSAD2, SMOX, ACSL1, SEMA4B, H2AFX, RFX2, JOSD1, PRKAB1, SLC25A37, GFI1B, SLC25A39, NDUFS7, CYB5, MKRN1, KLF9, ANP32E, 1100001G20RIK, BLVRB, NCAPD3, PABPC1, MCM6, GCLM
24	KLF4_ChIP-ChIP_MESC_Mouse	9.76e-19	-1.48	58.04	DYRK3, CLIC4, RPL3, CD82, RPL7A, TUBA1B, FTL1, TUBB5, FTH1, NPTN, HMGN2, RAB8B, HIST1H1C, GPX1, RPS8, IFRD2, PRKAB1, D030056L22RIK, TUBB2C, NDUFS7, TAL1, CYB5, HAT1, BIRC5, TXNIP, BLVRB, ANAPC5, UBA52, ABCG4, ATF4, MCM2, UHRF1, RPL36A, 2310003F16RIK, CCNB1, UBB, WBP5, SLC38A2, CDR2, HIST1H3E, CAR2, CDT1, HSPA8, RPL41, ASNS, MT1, A130092J06RIK, SFRS1, SLC25A39, MKRN1, KLF9, CENPL
25	TCFAP2C_ChIP-ChIP_TROPHOBLAST STEM CELLS_Mouse	1.03e-21	-1.27	57.73	RB1, BC008163, AHCTF1, RNF11, CLIC4, LDB1, MIR16, BC022224, UBE2L6, HS6ST1, NUDT4, ALAD, PSMD8, TUBB5, MYD116, FTH1, 5730469M10RIK, LBR, FADS1, BCAS2, CTSB, MAP2K3, 2700097O09RIK, BNIP3L, GPX1, SPHK1, PABPC4, APLP2, DNTTIP1, NIPA1, RPS3A, GTPBP2, DYNLL1, PRKAB1, ANK1, EEF1G, CARHSP1, 5730593F17RIK, EEF1D, PSME3, SPNB1, MCM4, CD47, UHRF1, ODC1, ENDOD1, BHLHB2, MRPL14, CENPA, DNAJB1, FZR1, UBB, FCHO1, PRKAR2B, FIGNL1, BAG1, SLC38A2, KLHDC2, RBM38, HSPA8, UBE2H, TXNRD2, SEMA4B, STARD10, SFRS2, SFRS1, SOD1, TPCN1, D17WSU92E, EIF5, SLC25A39, KLF9, UBE2O, HDGF, SSBP3
