	Term	p-value	z-score	CS	Related Genes
11	VDR_ChIP-Seq_THP-1_Human	4.55e-26	-1.68	92.5	MIDN, ARPC1B, RAB3D, NCF4, RCSD1, RPL10A, ACTB, ARHGAP4, ZFP36, RPS19, TMSB4X, RPS6KA1, TSPO, SIRPA, CTSG, EMB, CLIC1, CAMP, RAB8A, RPS12, FCER1G, ANXA3, SEPX1, HMHA1, VAV1, APRT, EEF1A1, MYL6, DOK2, DOK3, DNAJC7, CDC42EP3, RPL27, PRKD2, PRTN3, LY6E, TLR2, CEBPB, CORO1A, COX5A, GNAI2, ADRBK1, CSK, CD14, NADK, NDUFA3, OSM, LAPTM5, RAB27A, ARID3A, SC4MOL, MARCKS, LRG1, BCL6, GNB2, ZYX, CDK2AP2, PTPN6, P4HB
12	RUNX1_ChIP-Seq_HPC-7_Mouse	1.06e-25	-1.68	91.64	GMFG, LST1, ATP2A3, CD3D, KRTCAP2, VPREB1, PSTPIP1, LGALS1, RGS1, TMSB4X, ARHGDIB, COTL1, SH3BGRL3, FFAR2, ACADM, EMB, CYTIP, CLIC1, RAB8A, TPD52, RPS9, FCER1G, KLRA17, EMP3, FOS, ATP1B1, MMP9, VAV1, SCAMP2, 2310014H01RIK, 0910001L09RIK, DOK2, CLEC4D, BOLA2, PRKD2, PRTN3, HCST, GRN, CEBPE, CCL9, CCL3, RPL18, SLC15A3, CMTM7, EGR1, PTPN18, LAPTM5, AI467606, ARHGAP30, ARPC3, ALOX5AP, ZYX, PI16, TGFBI, MYO1F
13	FLI1_ChIP-Seq_HPC-7_Mouse	6.37e-32	-1.32	89.4	MIDN, ZFAND3, RPL31, GMFG, NCF4, GIMAP1, ATP2A3, DBI, LRMP, ARRB2, RPL10A, CXCL2, ACTB, MRPL33, RPS14, LBH, RPS19, TMSB4X, SIRPA, TMSB10, CLIC1, CD52, RPS9, SSR4, ACTN1, HMHA1, VAV1, 2310014H01RIK, MYL4, 0910001L09RIK, FCGR4, ARHGEF3, RIN3, PRKD2, PRTN3, TAGLN2, RPL27, RPL29, PFN1, HCST, PFDN5, PRR13, PNKP, POMP, TWF2, MGST2, GNAI2, CLN5, LDHA, CCL9, TCTEX1D2, CCL4, NCKAP1L, RPL18, SLC15A3, NADK, MCL1, 1500031L02RIK, CMTM7, CD74, NDUFA7, PKM2, CMTM6, LAPTM5, ARID3A, ARPC5, AI467606, KLF2, HIGD2A, PPP1CA, SLC6A6, ARHGAP30, ARPC3, ALOX5AP, ZYX, EIF3F, PI16, LRP10, 2310016M24RIK, MYO1F, MYD88
14	IRF8_ChIP-ChIP_GC-B_Mouse	5.04e-18	-2.32	87.28	TRIM30, RNPEPL1, MAST3, IGL-V1, NCF4, LRMP, SLC2A6, ACTB, ATP5L, RPS14, CCL5, H2-DMB1, PSAP, RPS3, CASP1, SLC15A3, B2M, NADK, CAP1, OSBPL9, CD52, CD74, PTPN18, 1200013B08RIK, SHFM1, SYVN1, EMP3, PSMB8, PSMB9, TSPAN14, MARCKS, ARHGAP30, GNB2, IRF2, BTK, ERP29, CD69, H2-D1
15	HOXB4_ChIP-ChIP_EML_Mouse	6.30e-21	-1.84	80.58	D3UCLA1, IFITM2, RPL32, 5730427N09RIK, LST1, LRMP, SLC2A6, PIK3CG, ARHGAP4, MRPL33, UBL5, GLIPR1, HNRPL, RPS19, BCL7A, RGS1, TMSB4X, OSTF1, PRKACB, RPL39, RAB8A, RPS12, NDEL1, CPA3, KLRA17, RHOB, MYL4, EIF3S5, ACLY, MYL6, CLEC4D, LTB4R1, ARHGEF3, PRKD2, VCP, CEBPE, GLO1, NEDD9, PRCP, GNAI2, ATP5L, SERPINB1A, NCKAP1L, CSK, MYLC2B, SERF2, OSBPL9, 1200013B08RIK, PKM2, SYVN1, RAB27A, DSTN, HIGD2A, OSTM1, SELL, KLHL6, CDK2AP2, DYNLRB1, CD69, CRLF3, LRP10, 2310008M10RIK
16	CLOCK_ChIP-Seq_293T_Human	6.31e-19	-2.01	79.64	CEBPB, MIDN, ALAS1, RPN2, NEDD9, LITAF, ACTB, ZFP36L1, KRTCAP2, LASP1, CKB, TMSB10, ATP6V1D, MCL1, NDEL1, OSBPL9, SEMA4A, EGR1, ANXA2, DUSP1, LMO4, ACTN1, TSC22D3, G0S2, FOS, SLC6A6, ACLY, MARCKS, BCL6, SLC25A5
17	E2F1_ChIP-Seq_MESC_Mouse	5.87e-31	-1.1	72.29	EIF4A1, IFITM1, MIDN, D3UCLA1, IFITM2, RPL32, RPL31, ENO1, RPL10A, ACTB, RPS14, ZFP36, HNRPL, RPL36AL, RPS11, ATP6V1E1, RPL39, JUNB, B2M, 1110032A13RIK, RPS12, PDIA3, RPS9, 2700094K13RIK, RPS6, MIF, ATP1B1, PGD, EEF1A1, MYL4, ACLY, COX7A2L, MYL6, RPL27, RPL29, PFN1, PPIA, ARL8A, LY6E, VCP, RPN2, IQGAP1, ATP5L, ZFP36L1, AXUD1, S100A11, MARK2, MCL1, MCTS1, EGR1, NDFIP1, TBCA, ARPC5, SCOTIN, GNB2, RPL27A, DEGS1, MAN2B1, ITM2B, 2310008M10RIK, LRMP, SLC2A3, LITAF, TRIOBP, MRPL33, GPI1, LASP1, ALDH2, TMSB4X, SH3BGRL3, ACADM, EMB, CLIC1, NDEL1, ANXA2, DUSP1, NME2, FOS, AKR1A4, APRT, EIF3S5, 2010107E04RIK, DNAJC7, SLC25A5, ATP6V0E, TLR2, CEBPB, GSTP1, PNKP, CXCR4, COX5A, GNAI2, CST3, P2RY5, SPP1, RPS3, LRRC8D, CKB, RPL18, RABAC1, MYLC2B, PKM2, NDUFA3, CMTM6, NDUFA1, SC4MOL, KLF2, STK17B, CDK2AP2, CD9, PLP2, P4HB, CRLF3, 2310016M24RIK
18	SFPI1_ChIP-Seq_HPC-7_Mouse	2.90e-28	-1.15	69.14	BTG1, RPL31, GMFG, ARPC1B, NCF4, GIMAP1, ATP2A3, LRMP, ARRB2, ENO1, TRIOBP, LASP1, PSTPIP1, KRTCAP2, LBH, SIRPA, B2M, CLIC1, RAB8A, PDIA3, ANXA2, SSR4, SSU72, TALDO1, FOS, MIF, VAV1, SCAMP2, 2310014H01RIK, 0910001L09RIK, DOK2, TYROBP, FCGR4, LTB4R1, IRF2, BOLA2, ARHGEF3, PRTN3, RPL27, LCP1, LTB, PFDN5, ARL8A, H2-D1, PRR13, ATP6V0E, CEBPB, CBFB, RPN2, CDCA7, TWF2, COX5A, GNG10, TCTEX1D2, NCKAP1L, RPL18, SLC15A3, SERF2, MCL1, PTPN18, NAPSA, NDUFA7, PKM2, CMTM6, LAPTM5, ARID3A, ARPC5, AI467606, PSMB8, PPP1CA, SLC6A6, ARHGAP30, OSTM1, ARPC3, ALOX5AP, ZYX, PTPN6, MAN2B1, PI16, LRP10, 2310016M24RIK, MYO1F
19	NR1H3_ChIP-Seq_ATHEROSCLEROTIC-FOAM_Human	5.34e-18	-1.76	66.2	PFKFB4, MIDN, OLFML2B, ZFAND3, GLO1, NCF4, SLC2A3, DBI, ACTB, ARHGAP4, FCRLA, CD79B, LDHA, GLIPR1, CCL5, SPP1, CCL3, CTSG, OSTF1, CD74, DUSP1, CMTM6, PGD, SORL1, RAB32, SLC6A6, ALOX5AP, ARHGEF3, CALM3, TGFBI, SMPDL3A, S100A8, MYD88, LY6E
20	MYC_ChIP-ChIP_MESC_Mouse	1.08e-28	-1.09	66.19	EIF4A1, MIDN, D3UCLA1, IFITM2, RPL32, RPL31, 5730427N09RIK, RPL34, ENO1, RPL10A, RPL9, ACTB, RPS14, KRTCAP2, HNRPL, RPS19, RPL36AL, RPS6KA1, RPS11, RPL39, JUNB, RPS13, RPS12, TPD52, RPS9, 2700094K13RIK, RPS6, SSU72, MIF, PGD, EEF1A1, ACLY, DOK2, BOLA2, BTK, ERP29, TAGLN2, RPL27, RPL29, PFN1, PPIA, ATF3, LY6E, CDCA7, GATA2, ATP5L, ZFP36L1, LDHA, ATP6V1D, NADK, MCL1, DSTN, RAB27A, HIGD2A, SLC6A6, RPL27A, LCN2, DEGS1, CALM3, 2310008M10RIK, HIBADH, LRMP, SLC2A3, MRPL33, UBL5, LASP1, BCL7A, ACADM, EMB, RAB8A, PSENEN, SSR4, TSC22D3, NME2, EMP3, FOS, RHOB, EIF3S5, DNAJC7, SLC25A5, GAPDH, ATP6V0E, CD63, GSTP1, POMP, CXCR4, GDPD3, PRCP, COX5A, CST3, RPS3, LRRC8D, CKB, RPL18, NDUFA7, PKM2, NDUFA3, SYVN1, KLF2, PPP1CA, MARCKS, CDK2AP2, FOSB, PLP2, P4HB, CRLF3
21	FOXO1_ChIP-Seq_T-LYMPHOCYTE_Mouse	1.03e-25	-1.2	65.53	EIF4A1, NDUFA13, BTG1, HIBADH, ZFAND3, RPL31, GMFG, GIMAP1, PYGL, RCSD1, CD3D, MRPL33, PSTPIP1, ZFP36, RGS1, TMSB4X, ARHGDIB, RAC2, SH3BGRL3, ACADM, CYTIP, PRKACB, TMSB10, CAMP, RAB8A, TSC22D3, HMHA1, FOS, EMP3, MMP9, COX7A2L, TYROBP, IRF2, BTK, ARHGEF3, PFN1, HCST, ARL8A, H2-D1, SELPLG, HDC, MGST2, CXCR4, IQGAP1, GNAI2, ZFP36L1, ADRBK1, CCL5, CCL3, LRRC8D, INPP5K, S100A11, MCL1, MCTS1, EGR1, PTPN18, NDFIP1, PKM2, LAPTM5, KLF2, TSPAN14, MARCKS, KLF6, BCL6, STK17B, ALOX5AP, ZYX, CD9, FOSB, CD69, CLEC2D, MYD88
22	ELK3_ChIP-Seq_HUVEC_Human	5.18e-25	-1.24	65.46	MIDN, BTG1, WDR1, RNPEPL1, MAST3, ARPC1B, NCF4, ENO1, ACTB, TRIOBP, PSTPIP1, ZFP36, RAC2, SH3BGRL3, ACADM, PRKACB, JUNB, RPS13, LYPLA2, DUSP1, SSU72, NME2, FOS, PGD, SCAMP2, EEF1A1, ACLY, MYL6, DOK2, DNAJC7, CDC42EP3, ADSSL1, RIN3, PRKD2, TAGLN2, LTB, PFN1, SGK1, GAPDH, PFDN5, SMPDL3A, ARL8A, CEBPE, GSTP1, TWF2, WAS, PRCP, ATP1A1, GATA2, GNAI2, ATP5L, ZFP36L1, CST3, LDHA, PRDX5, ADRBK1, CSK, MCL1, SEMA4A, NAPSA, PKM2, SYVN1, LAPTM5, KLF2, KLF6, CDK2AP2, CD9, CALM3, EIF3F, CLEC2D, MYO1F
23	MYC_ChIP-ChIP_MESC_Mouse	3.56e-24	-1.26	64.46	EIF4A1, NDUFA13, MIDN, D3UCLA1, IFITM2, HIBADH, RPL32, RNPEPL1, RPL31, 5730427N09RIK, GMFG, RAB3D, DBI, LRMP, SLC2A3, ENO1, ARRB2, RPL10A, RPL9, GPI1, RPS14, KRTCAP2, HNRPL, RPS19, RPL36AL, RPS6KA1, EMB, RPS11, ATP6V1E1, RPL39, JUNB, RPS13, RAB8A, 1110032A13RIK, RPS12, CD52, RPS9, SSR4, 2700094K13RIK, RPS6, SSU72, NME2, TALDO1, HMHA1, EMP3, MIF, ATP1B1, AKR1A4, APRT, RHOB, DOK2, BOLA2, BTK, ERP29, TAGLN2, RPL27, RPL29, PFN1, SLC25A5, HCST, GAPDH, PPIA, ATF3, LY6E, ATP6V0E, RPN2, GSTP1, PNKP, CDCA7, CXCR4, COX5A, ATP5L, PRDX5, LDHA, RPS3, CKB, RPL18, ATP6V1D, NADK, MCL1, PKM2, NDUFA1, DSTN, RAB27A, HIGD2A, ARPC3, RPL27A, DEGS1, CALM3, MAN2B1, P4HB, 2310008M10RIK
24	NR0B1_ChIP-ChIP_MESC_Mouse	4.15e-19	-1.58	63.31	TNFAIP8, IFITM1, MIDN, IFITM2, GMFG, LRMP, SLC2A3, ENO1, ACTB, GPI1, RPS14, LASP1, ZFP36, RAC2, SIRPA, ACADM, EMB, PGLYRP1, JUNB, RAB8A, 1810033B17RIK, TPD52, DUSP1, 2700094K13RIK, FOS, ATP1B1, MMP9, CDC42EP3, TAGLN2, SLC25A5, HCST, GAPDH, GRN, CXCR4, UNC84B, ATP1A1, COX5A, ATP5L, ZFP36L1, CST3, AXUD1, PSAP, SPP1, CKB, NADK, SERF2, MCL1, PKM2, LAPTM5, G0S2, AI467606, SC4MOL, KLF2, SLC6A6, BGLAP2, CDK2AP2, 2310016M24RIK
25	EOMES_ChIP-ChIP_TROPHOBLAST STEM CELLS_Mouse	3.58e-19	-1.53	61.47	ORM1, RNPEPL1, RPL32, RPL31, AATK, LRMP, SLC2A3, ENO1, LITAF, TRIOBP, MRPL33, LGALS3, LASP1, KRTCAP2, ZFP36, ACADM, ATP6V1E1, RPL39, RPS12, NDEL1, TPD52, CD52, ANXA2, RPS6, TALDO1, MMP9, VAV1, EIF3S5, DOK2, SLPI, CDC42EP3, ARHGEF3, TAGLN2, LY6E, CD63, VCP, CDCA7, TACSTD2, PRCP, ATP1A1, IQGAP1, CLN5, ZFP36L1, AXUD1, PSAP, LRRC8D, MYLC2B, MCL1, PLEKHA2, DSTN, SORL1, TSPAN14, MARCKS, KLF6, GNB2, CDK2AP2, MAN2B1, PLP2
26	TCFAP2C_ChIP-ChIP_TROPHOBLAST STEM CELLS_Mouse	1.93e-22	-1.3	61.24	MIDN, BTG1, RNPEPL1, RPL31, GMFG, ARPC1B, ARRB2, LITAF, SLC2A6, ACTB, GPI1, LGALS3, UBL5, LASP1, KRTCAP2, ZFP36, LGALS1, BCL7A, RPS6KA1, RAC2, TSPO, ACADM, EMB, RPS11, JUNB, CLIC1, 1110032A13RIK, NDEL1, CAP1, TPD52, ANXA2, IRF2, ERP29, CHI3L1, TAGLN2, LCP1, PPIA, LY6E, TLR2, GRN, VCP, PNKP, GLO1, CDCA7, UNC84B, PRCP, ATP1A1, IQGAP1, COX5A, GNAI2, ATP5L, ZFP36L1, GNG10, AXUD1, ADRBK1, PSAP, LRRC8D, MYLC2B, SERF2, MCL1, CMTM7, NDFIP1, PLEKHA2, CMTM6, DSTN, ARPC5, SCOTIN, SORL1, HIGD2A, MARCKS, KLF6, ARHGAP30, BCL6, GNB2, RPL27A, ZYX, PTPN6, PLP2
27	RELA_ChIP-Seq_FIBROSARCOMA_Human	9.57e-21	-1.4	60.77	APP, ORM1, ENO1, SLC2A6, CXCL2, TRIOBP, LGALS3, LGALS1, COTL1, FFAR2, PGLYRP1, JUNB, B2M, CLIC1, TPD52, DUSP1, CYBA, FOS, MMP9, SLPI, IL1B, IRF2, BTK, CHI3L1, LTB, PFN1, HCST, TLR2, LTF, CD63, GRN, GSTP1, PRCP, GNAI2, ZFP36L1, CCL5, CCL4, SPP1, EGR1, CD74, NDUFA7, RAB27A, DSTN, PSMB9, SLC6A6, TSPAN14, MARCKS, LRG1, LCN2, CD69
28	CCND1_ChIP-ChIP_RETINA_Mouse	2.77e-18	-1.5	57.23	EIF4A1, APP, TNFAIP8, NDUFA13, MIDN, GMFG, DBI, ACTB, UBL5, LASP1, KRTCAP2, LBH, HNRPL, RPS19, ALDH2, ATP6V1E1, RPL39, CLIC1, RAB8A, RPS12, NDEL1, PSENEN, RPS9, DUSP1, SEPX1, LMO4, 2700094K13RIK, TALDO1, FOS, EMP3, SCAMP2, MYL4, DNAJC7, IRF2, ARHGEF3, RIN3, PFN1, GRN, PFKFB4, VCP, CDCA7, CXCR4, PRCP, ACAA1A, ATP5L, ZFP36L1, PSAP, RABAC1, RPL18, RNF130, ATP6V1D, MARK2, EGR1, SYVN1, G0S2, HIGD2A, MARCKS, KLF6, GNB2, LCN2, CDK2AP2, FOSB, MYD88
29	MYC_ChIP-ChIP_MESC_Mouse	1.82e-16	-1.64	55.9	EIF4A1, RPL32, RPL31, SLC2A3, ENO1, RPL9, ACTB, RPS14, ZFP36, HNRPL, RPS19, RPL36AL, ATP6V1E1, RPS11, RPL39, RPS13, RAB8A, NDEL1, RPS12, RPS9, ACTN1, TSC22D3, 2700094K13RIK, RPS6, NME2, MIF, EEF1A1, ACLY, COX7A2L, ARHGEF3, RPL27, RPL29, PPIA, VCP, CDCA7, ATP5L, ZFP36L1, LDHA, RPS3, RPL18, NDUFA7, PKM2, 2010001M09RIK, SLC6A6, RPL27A, P4HB, PLP2, MYD88, 2310008M10RIK
