	Term	p-value	z-score	CS	Related Genes
60	Metabolic pathways	9.90e-01	2.66	-0.03	PANK4, ALAS2, ST6GAL1, OAT, CHKB, DGKD, GCH1, CHKA, DGKA, ODC1, ALAD, UGCG, ZNRD1, UROD, DAD1, POLD1, B3GNT5, PLCG2, POLR1D, STT3B
61	Alzheimer's disease	9.85e-01	2.84	-0.03	ATP2A3
62	Glycerophospholipid metabolism	2.18e-01	0.09	-0.04	CHKB, DGKD, CHKA, DGKA
63	Insulin signaling pathway	2.70e-01	0.1	-0.04	SOCS3, PRKAR1A, MKNK2, IRS2, FOXO1
64	Neuroactive ligand-receptor interaction	9.69e-01	2.58	-0.05	CNR2, F2R, ADRB2
65	Parkinson's disease	9.71e-01	2.68	-0.05	UBB
66	Choline metabolism in cancer	2.50e-01	0.13	-0.06	DGKD, CHKB, CHKA, DGKA
67	Tight junction	2.70e-01	0.14	-0.06	PPP2CB, ACTN2, MYH9, YBX3, ACTB
68	Pathways in cancer	2.87e-01	0.16	-0.07	NFKBIA, GNA13, STAT3, F2R, PLCG2, SLC2A1, CXCR4, STK4, ETS1, FOXO1, RELA, TGFBR2
69	Proximal tubule bicarbonate reclamation	2.41e-02	0.05	-0.08	ATP1B3, ATP1A1, AQP1
70	MicroRNAs in cancer	9.38e-01	2.49	-0.08	STAT3, PLCG2, PDCD4, IRS2
71	PI3K-Akt signaling pathway	9.28e-01	2.6	-0.09	PPP2CB, F2R, YWHAZ, RELA, ATF4
72	Pancreatic secretion	2.23e-01	0.17	-0.09	RAP1B, ATP2A3, ATP1B3, ATP1A1
73	Vascular smooth muscle contraction	9.50e-01	3.12	-0.09	GNA13
74	Glutamatergic synapse	9.42e-01	3.08	-0.1	SLC38A2
75	Cholinergic synapse	9.37e-01	3.11	-0.1	ATF4
76	Focal adhesion	8.79e-01	2.4	-0.11	RAP1B, ACTN2, ACTB
77	Phagosome	8.96e-01	2.49	-0.11	TFRC, ACTB
78	Tuberculosis	2.87e-01	0.24	-0.11	HSPA9, CD74, PLK3, CEBPB, IFNGR1, RELA
79	Toll-like receptor signaling pathway	2.77e-01	0.25	-0.11	NFKBIA, TBK1, CCL5, RELA
80	Oxytocin signaling pathway	9.04e-01	2.65	-0.12	MEF2C, ACTB
81	Inflammatory mediator regulation of TRP channels	9.13e-01	3.22	-0.14	PLCG2
82	ErbB signaling pathway	8.86e-01	3.24	-0.14	PLCG2
83	Morphine addiction	8.97e-01	3.24	-0.14	PDE4B
84	Circadian entrainment	9.06e-01	3.29	-0.14	PER1
85	GABAergic synapse	8.89e-01	3.4	-0.15	SLC38A2
86	Protein processing in endoplasmic reticulum	4.14e-01	0.69	-0.21	HSPA8, DAD1, STT3B, ATF4, HERPUD1
87	Regulation of actin cytoskeleton	4.43e-01	0.75	-0.22	GNA13, ACTN2, ARPC3, F2R, MYH9, ACTB
88	Oocyte meiosis	8.11e-01	2.51	-0.23	PPP2CB, YWHAZ
89	Axon guidance	8.25e-01	2.57	-0.23	RASA1, CXCR4
90	Porphyrin and chlorophyll metabolism	9.47e-02	0.3	-0.24	ALAD, ALAS2, UROD
91	Dopaminergic synapse	8.31e-01	2.67	-0.24	PPP2CB, ATF4
92	Rap1 signaling pathway	7.71e-01	2.11	-0.25	RAP1B, F2R, PRKD2, ACTB
93	Jak-STAT signaling pathway	7.54e-01	2.16	-0.28	SOCS3, IFNGR1, STAT3
94	Longevity regulating pathway - multiple species	2.21e-01	0.56	-0.28	HSPA8, IRS2, FOXO1
95	Proteoglycans in cancer	5.71e-01	1.38	-0.31	STAT3, PLCG2, PDCD4, PLAUR, ACTB
96	Purine metabolism	6.39e-01	1.63	-0.31	ZNRD1, POLD1, PDE4B, POLR1D
97	Pancreatic cancer	2.34e-01	0.61	-0.31	STAT3, RELA, TGFBR2
98	Cocaine addiction	1.31e-01	0.43	-0.31	FOSB, RELA, ATF4
99	Ubiquitin mediated proteolysis	4.47e-01	1.04	-0.31	SOCS3, MAP3K1, CUL3, UBE2O
100	Chronic myeloid leukemia	2.80e-01	0.68	-0.31	NFKBIA, RELA, TGFBR2
101	Cell adhesion molecules (CAMs)	4.74e-01	1.11	-0.32	CD2, CD274, CD6, CTLA4
102	Signaling pathways regulating pluripotency of stem cells	6.88e-01	1.94	-0.32	STAT3, KLF4, SKIL
103	Non-alcoholic fatty liver disease (NAFLD)	5.21e-01	1.27	-0.32	SOCS3, IRS2, RELA, ATF4
104	Alcoholism	6.52e-01	1.73	-0.33	H3F3B, FOSB, HIST1H3H, ATF4
105	Hippo signaling pathway	5.31e-01	1.32	-0.33	PPP2CB, YWHAZ, ACTB, TGFBR2
106	Renal cell carcinoma	2.34e-01	0.66	-0.33	RAP1B, SLC2A1, ETS1
107	Fc gamma R-mediated phagocytosis	4.12e-01	1.09	-0.33	ARPC3, PLCG2, ARF6
108	mRNA surveillance pathway	3.99e-01	1.09	-0.33	PPP2CB, EIF4A3, SMG7
109	Calcium signaling pathway	6.57e-01	1.77	-0.33	F2R, PLCG2, ATP2A3, ADRB2
110	Pathogenic Escherichia coli infection	1.65e-01	0.53	-0.33	ARPC3, YWHAZ, ACTB
111	Salivary secretion	3.86e-01	1.06	-0.34	ATP1B3, ADRB2, ATP1A1
112	Thyroid hormone synthesis	2.66e-01	0.75	-0.35	ATP1B3, ATP1A1, ATF4
113	Central carbon metabolism in cancer	8.13e-01	3.87	-0.35	SLC2A1
114	Fc epsilon RI signaling pathway	8.17e-01	3.92	-0.35	PLCG2
115	Natural killer cell mediated cytotoxicity	6.55e-01	1.89	-0.36	IFNGR1, LCK, PLCG2
116	Systemic lupus erythematosus	6.55e-01	1.9	-0.36	H3F3B, ACTN2, HIST1H3H
117	N-Glycan biosynthesis	1.31e-01	0.49	-0.36	ST6GAL1, DAD1, STT3B
118	Ribosome biogenesis in eukaryotes	3.86e-01	1.14	-0.36	POP4, GTPBP4, GNL3
119	Inositol phosphate metabolism	8.30e-01	3.99	-0.36	PLCG2
120	Sphingolipid signaling pathway	5.77e-01	1.64	-0.36	GNA13, PPP2CB, RELA
121	Gastric acid secretion	2.86e-01	0.8	-0.37	ATP1B3, ATP1A1, ACTB
122	Phosphatidylinositol signaling system	4.45e-01	1.24	-0.37	DGKD, DGKA, PLCG2
123	Leishmaniasis	2.80e-01	0.81	-0.37	NFKBIA, IFNGR1, RELA
124	Inflammatory bowel disease (IBD)	2.27e-01	0.75	-0.38	IFNGR1, STAT3, RELA
125	Mineral absorption	1.42e-01	0.56	-0.38	FTH1, ATP1B3, ATP1A1
126	Glucagon signaling pathway	4.64e-01	1.33	-0.39	SLC2A1, FOXO1, ATF4
127	Glioma	8.03e-01	4.3	-0.39	PLCG2
128	Protein digestion and absorption	3.93e-01	1.27	-0.39	ATP1B3, ATP1A1, SLC38A2
129	Cell cycle	5.99e-01	1.78	-0.4	GADD45A, YWHAZ, GADD45G
130	Estrogen signaling pathway	7.07e-01	2.47	-0.4	HSPA8, ATF4
131	AMPK signaling pathway	5.99e-01	1.79	-0.4	PPP2CB, IRS2, FOXO1
132	Amoebiasis	7.13e-01	2.54	-0.41	ACTN2, RELA
133	Pyrimidine metabolism	4.89e-01	1.51	-0.42	ZNRD1, POLD1, POLR1D
134	Adherens junction	2.86e-01	0.92	-0.42	ACTN2, ACTB, TGFBR2
135	Cardiac muscle contraction	3.13e-01	1.04	-0.43	TPM4, ATP1B3, ATP1A1
136	Colorectal cancer	7.88e-01	4.46	-0.46	TGFBR2
137	GnRH signaling pathway	6.64e-01	2.49	-0.46	MAP3K1, ATF4
138	Pertussis	2.93e-01	1.03	-0.47	IRF1, CASP1, RELA
139	Rheumatoid arthritis	6.58e-01	2.49	-0.47	CCL5, CTLA4
140	TGF-beta signaling pathway	6.21e-01	2.43	-0.48	PPP2CB, TGFBR2
141	Small cell lung cancer	6.34e-01	2.57	-0.48	NFKBIA, RELA
142	Bacterial invasion of epithelial cells	5.82e-01	2.44	-0.54	ARPC3, ACTB
143	Antigen processing and presentation	5.75e-01	2.53	-0.56	CD74, HSPA8
144	Viral myocarditis	7.72e-01	4.79	-0.56	ACTB
145	Aldosterone synthesis and secretion	6.02e-01	2.61	-0.58	PRKD2, ATF4
146	Complement and coagulation cascades	5.88e-01	2.64	-0.59	F2R, PLAUR
147	Regulation of lipolysis in adipocytes	4.12e-01	2.09	-0.63	IRS2, ADRB2
148	Long-term potentiation	4.94e-01	2.44	-0.68	RAP1B, ATF4
149	Non-small cell lung cancer	4.12e-01	2.27	-0.69	PLCG2, STK4
150	VEGF signaling pathway	4.54e-01	2.37	-0.7	SH2D2A, PLCG2
151	Acute myeloid leukemia	4.21e-01	2.33	-0.7	STAT3, RELA
152	Long-term depression	4.45e-01	2.35	-0.7	GNA13, PPP2CB
153	Amphetamine addiction	5.01e-01	2.57	-0.71	FOSB, ATF4
154	Renin secretion	4.78e-01	2.54	-0.72	ADRB2, AQP1
155	Glycerolipid metabolism	4.37e-01	2.46	-0.74	DGKD, DGKA
156	Autoimmune thyroid disease	7.35e-01	5.3	-0.78	CTLA4
157	Vibrio cholerae infection	3.69e-01	2.37	-0.78	PLCG2, ACTB
158	Malaria	3.51e-01	2.32	-0.8	GYPA, CD81
159	Amyotrophic lateral sclerosis (ALS)	7.22e-01	5.22	-0.8	CASP1
160	Glutathione metabolism	7.29e-01	5.48	-0.82	ODC1
161	Arginine and proline metabolism	3.60e-01	2.42	-0.83	OAT, ODC1
162	Type II diabetes mellitus	3.43e-01	2.42	-0.85	SOCS3, IRS2
163	Hedgehog signaling pathway	3.60e-01	2.55	-0.88	CSNK1G3, CSNK1G2
164	Endocrine and other factor-regulated calcium reabsorption	3.34e-01	2.41	-0.88	ATP1B3, ATP1A1
165	Fatty acid metabolism	7.00e-01	5.47	-0.9	ELOVL5
166	Intestinal immune network for IgA production	7.00e-01	5.63	-0.92	CXCR4
167	Aldosterone-regulated sodium reabsorption	2.62e-01	2.01	-0.92	ATP1B3, ATP1A1
168	Nucleotide excision repair	6.93e-01	5.71	-0.94	POLD1
169	Sphingolipid metabolism	6.93e-01	5.89	-0.97	UGCG
170	Carbohydrate digestion and absorption	3.16e-01	2.47	-1.01	ATP1B3, ATP1A1
171	Dorso-ventral axis formation	1.55e-01	1.66	-1.07	ETS1, ETS2
172	Glycine, serine and threonine metabolism	2.71e-01	2.71	-1.25	ALAS2, SRR
173	Other types of O-glycan biosynthesis	5.44e-01	6.3	-1.47	ST6GAL1
174	Base excision repair	5.66e-01	6.64	-1.47	POLD1
175	Tyrosine metabolism	5.87e-01	6.92	-1.54	MIF
176	RNA polymerase	1.99e-01	2.77	-1.56	ZNRD1, POLR1D
177	DNA replication	5.97e-01	7.09	-1.57	POLD1
178	SNARE interactions in vesicular transport	5.77e-01	7.24	-1.61	USE1
179	Homologous recombination	5.21e-01	7.14	-1.81	POLD1
180	Fatty acid elongation	4.72e-01	6.72	-1.91	ELOVL5
181	Circadian rhythm	5.33e-01	8.1	-2.0	PER1
182	Glycosphingolipid biosynthesis - lacto and neolacto series	4.85e-01	7.2	-2.01	B3GNT5
183	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	4.59e-01	7.25	-2.11	HS3ST1
184	Biosynthesis of unsaturated fatty acids	4.45e-01	7.23	-2.17	ELOVL5
185	Collecting duct acid secretion	4.97e-01	8.29	-2.3	SLC4A1
186	Mismatch repair	4.45e-01	7.99	-2.4	POLD1
187	Pantothenate and CoA biosynthesis	3.73e-01	8.01	-2.64	PANK4
188	Phenylalanine metabolism	3.57e-01	8.05	-2.77	MIF
189	Folate biosynthesis	3.08e-01	8.9	-3.68	GCH1
