	Term	p-value	z-score	CS	Related Genes
11	Mp0001845 Abnormal Inflammatory Respons 	6.47e-13	-1.82	44.98	CEBPB, WDR1, CEBPE, LYZ2, WAS, FPR2, ARRB2, CORO1A, LITAF, PIK3CG, GNAI2, LGALS3, ZFP36, PSAP, CASP1, SPP1, FFAR2, NCKAP1L, CTSG, CSK, CD14, JUNB, B2M, MARK2, EGR1, FCER1G, NDFIP1, DUSP1, CYBA, MIF, MMP9, APRT, BCL6, SELL, SLPI, IL1B, ALOX5AP, BTK, PTPN6, LTB, PPIA, MYD88, H2-AB1
12	Mp0005000 Abnormal Immune Tolerance 	1.81e-10	-2.23	42.78	LYZ2, WAS, CXCR4, FPR2, CORO1A, PIK3CG, LGALS1, SPP1, CASP1, FFAR2, JUNB, B2M, CD74, FCER1G, DUSP1, SYVN1, MMP9, TYROBP, SELL, IL1B, STK17B, LTB4R1, ALOX5AP, BTK, PTPN6, CD69, HCST, MYD88, H2-AB1
13	Mp0002722 Abnormal Immune System 	3.90e-12	-1.45	33.39	CEBPB, CBFB, CEBPE, WAS, NEDD9, HBB-B1, FPR2, CORO1A, CD3D, PIK3CG, GPI1, CD79B, ZFP36, LDHA, RGS1, RASSF5, PSAP, NCKAP1L, CSK, CTSG, CYTIP, B2M, MARK2, MCL1, CPA3, CD74, EGR1, NDFIP1, FOS, VAV1, DOK2, BCL6, SELL, KLHL6, POU2AF1, IRF2, BTK, PTPN6, LTB, TGFBI, HCST, PPIA, H2-AB1
14	Mp0002405 Respiratory System Inflammati 	6.19e-09	-1.7	26.93	EGR1, NDFIP1, CBFB, CEBPE, DUSP1, CYBA, MMP9, LGALS3, SERPINB1A, BCL6, LTB4R1, PTPN6, NCKAP1L, FFAR2, ATF3, MARK2, H2-AB1
15	Mp0009785 Altered Susceptibility To 	9.53e-09	-1.68	26.0	MMP9, SERPINB1A, IL1B, CASP1, SPP1, PTPN6, LTB, CD14, PGLYRP1, B2M, CAMP, H2-D1, TLR2
16	Mp0002148 Abnormal Hypersensitivity Rea 	1.62e-08	-1.67	25.04	SEMA4A, CD74, CEBPB, FCER1G, LAPTM5, MMP9, TYROBP, SELL, CCL5, IL1B, ALOX5AP, CCL3, SPP1, FCER1A, PPIA
17	Mp0000689 Abnormal Spleen Morphology 	6.19e-09	-1.48	23.33	CEBPB, CBFB, GIMAP1, WAS, HBB-B1, NEDD9, CORO1A, CD79B, VPREB1, LDHA, RGS1, RASSF5, PSAP, CTSG, NCKAP1L, B2M, MARK2, EGR1, CD72, NDFIP1, FOS, VAV1, BCL6, SELL, KLHL6, POU2AF1, BTK, MAN2B1, PTPN6, LTB, TGFBI, HCST, PPIA, H2-AB1, LTF
18	Mp0001533 Abnormal Skeleton Physiology 	1.45e-06	-1.93	20.56	CEBPE, DUSP1, SYVN1, CXCR4, FPR2, MMP9, PIK3CG, TYROBP, ALOX5AP, LTB4R1, FFAR2, CD69, PFN1, JUNB
19	Mp0008469 Abnormal Protein Level 	1.11e-07	-1.53	20.03	CEBPB, LYZ2, ARRB2, GNAI2, SERPINB1A, CASP1, SPP1, RAC2, CCL3, FCER1A, FFAR2, NCKAP1L, CD14, B2M, JUNB, EGR1, DUSP1, KLRA17, NME2, MIF, MMP9, SLPI, SELL, BCL6, IL1B, PPIA, MYD88, TLR2
20	Mp0009763 Increased Sensitivity To 	1.76e-07	-1.5	19.01	CPA3, DUSP1, LYZ2, HP, F13A1, ATP1B1, MMP9, PIK3CG, GNAI2, LGALS3, LASP1, SLPI, LCN2, CASP1, RAC2, SPP1, FFAR2, LTB, HCST, TLR2
21	Mp0001835 Abnormal Antigen Presentation 	3.23e-06	-1.62	16.06	CD74, SEMA4A, FCER1G, LYZ2, WAS, B2M, PSMB8, MYD88, H2-AB1
22	Mp0002998 Abnormal Bone Remodeling 	5.02e-06	-1.58	15.02	CEBPB, TYROBP, FCER1G, WDR1, OSTM1, IL1B, BGLAP2, SPP1, WAS, CLEC2D, HCST, JUNB
23	Mp0005390 Skeleton Phenotype 	2.25e-05	-1.79	14.49	CEBPB, CEBPE, DUSP1, SYVN1, CXCR4, FPR2, MMP9, PIK3CG, TYROBP, ALOX5AP, LTB4R1, MAN2B1, FFAR2, CD69, PFN1, JUNB
24	Mp0003436 Decreased Susceptibility To 	1.30e-05	-1.67	14.3	TYROBP, ALOX5AP, LTB4R1, SYVN1, CXCR4, CD69, MMP9, PIK3CG
25	Mp0003795 Abnormal Bone Structure 	7.55e-05	-1.72	12.03	PDIA3, EGR1, CEBPB, VCP, FCER1G, WDR1, CBFB, CEBPE, WAS, HBB-B1, FOS, MMP9, TYROBP, OSTM1, BGLAP2, SPP1, CD14, JUNB, CLEC2D, HCST
26	Mp0010155 Abnormal Intestine Physiology 	7.15e-05	-1.71	11.98	LGALS3, CEBPE, LYZ2, CASP1, WAS, BTK, FFAR2, LTB, B2M, MMP9, MYD88, GNAI2
27	Mp0001853 Heart Inflammation 	5.20e-05	-1.51	11.0	ZFP36, BCL6, NCKAP1L, PPIA, MMP9, H2-AB1
28	Mp0001790 Abnormal Immune System 	9.68e-05	-1.53	10.43	CD79B, BCL6, IRF2, BTK, SPP1, MYD88, MARK2, H2-AB1, PSMB9, GNAI2
29	Mp0005387 Immune System Phenotype 	9.68e-05	-1.52	10.32	CD79B, BCL6, IRF2, BTK, SPP1, MYD88, MARK2, H2-AB1, PSMB9, GNAI2
30	Mp0008873 Increased Physiological Sensi 	1.18e-04	-1.46	9.67	CPA3, EGR1, CEBPB, TYROBP, ADRBK1, SPP1, MIF, TGFBI, MYD88, TLR2, GNAI2, RHOB
31	Mp0005166 Decreased Susceptibility To 	1.62e-04	-1.39	8.9	CST3, LGALS3, EGR1, LYZ2, IL1B, CASP1, MMP9, TLR2
32	Mp0002019 Abnormal Tumor Incidence 	5.62e-04	-1.59	8.37	EGR1, CEBPB, GSTP1, MIF, FOS, IQGAP1, MMP9, ACTB, PSMB9, RHOB, GNAI2, EEF1A1, GLIPR1, DOK2, DOK3, SELL, SPP1, CTSG, TGFBI, CYTIP, HCST, B2M, JUNB
33	Mp0000703 Abnormal Thymus Morphology 	2.04e-04	-1.3	8.07	CPA3, CBFB, GIMAP1, WAS, CXCR4, FOS, CORO1A, CD3D, VAV1, PIK3CG, GNAI2, ZFP36, DOK2, BCL6, RASSF5, PTPN6, NCKAP1L, MCL1
34	Mp0000858 Altered Metastatic Potential 	3.72e-04	-1.4	7.89	CST3, SELL, IL1B, CASP1, FOS, MMP9, HCST
35	Mp0009764 Decreased Sensitivity To 	2.48e-04	-1.3	7.83	FCER1G, IL1B, RASSF5, CASP1, HP, MMP9, TLR2
36	Mp0009642 Abnormal Blood Homeostasis 	1.48e-04	-1.16	7.48	WDR1, HP, HBB-B1, F13A1, ARRB2, ACTB, PIK3CG, CASP1, RAC2, FCER1A, FFAR2, ACADM, B2M, CLIC1, JUNB, FCER1G, ANXA2, DUSP1, KLRA17, NME2, MIF, MMP9, APRT, IL1B, BTK, SGK1, PPIA, LY6E, TLR2, LTF, CEBPB, SELPLG, HDC, LYZ2, ATP1A1, GATA2, GNAI2, SERPINB1A, LDHA, PSAP, SPP1, INPP5K, NCKAP1L, CD14, MARK2, EGR1, RAB27A, SELL, BGLAP2, CLEC2D, MYD88, H2-AB1
37	Mp0003448 Altered Tumor Morphology 	1.41e-03	-1.44	6.32	CEBPB, SELL, IL1B, CASP1, FOS, IQGAP1, MMP9, HCST
38	Mp0009765 Abnormal Xenobiotic Induced 	3.22e-03	-1.18	4.35	CPA3, RASSF5, HP, FFAR2, LTB, MMP9, GNAI2
39	Mp0004947 Skin Inflammation 	4.43e-03	-1.23	4.17	ZFP36, NDFIP1, WDR1, IRF2, B2M, JUNB
40	Mp0002972 Abnormal Cardiac Muscle 	3.95e-03	-1.19	4.17	SLC6A6, ADRBK1, SPP1, ATP1A1, ATP1B1, MMP9, ACTB, PIK3CG, H2-AB1
41	Mp0003075 Altered Response To 	2.94e-03	-1.1	4.13	CST3, EGR1, CASP1, MMP9, TLR2
42	Mp0002083 Premature Death 	1.37e-03	-0.89	3.9	APP, CEBPB, CEBPE, LYZ2, F13A1, GATA2, ACTB, GNAI2, ZFP36, PSAP, CCL3, CTSG, B2M, JUNB, RAB8A, CD74, EGR1, FCER1G, NDFIP1, FOS, APRT, EEF1A1, DOK2, OSTM1, BCL6, IRF2, PTPN6, TGFBI, PFDN5, H2-AB1
43	Mp0002113 Abnormal Skeleton Development 	4.85e-03	-1.13	3.76	CEBPB, VCP, FCER1G, CBFB, WAS, MMP9, LGALS3, LASP1, TYROBP, OSTM1, BGLAP2, PFN1, RPL29, JUNB, CLEC2D, HCST
44	Mp0003638 Abnormal Response/Metabolism  	6.05e-03	-1.13	3.55	CPA3, LASP1, PRCP, MMP9, H2-AB1, GNAI2
45	Mp0005023 Abnormal Wound Healing 	1.05e-02	-1.22	3.35	EGR1, SLPI, SPP1, RAC2, MMP9, VAV1
46	Mp0005464 Abnormal Platelet Physiology 	6.36e-03	-1.05	3.29	FCER1G, SLPI, BTK, RAB27A, CLIC1, PIK3CG
47	Mp0000249 Abnormal Blood Vessel 	1.45e-02	-1.13	2.81	PLAC8, EGR1, IL1B, SPP1, ATP2A3, RAC2, FCER1A, CXCR4, MMP9, SORL1
48	Mp0004808 Abnormal Hematopoietic Stem 	9.80e-03	-0.93	2.6	EGR1, CBFB, NME2, SPP1, MMP9
49	Mp0003633 Abnormal Nervous System 	1.64e-02	-1.02	2.43	CBFB, IL1B, PSAP, PRKACB, PFDN5, MMP9, ITM2B
50	Mp0002136 Abnormal Kidney Physiology 	2.19e-02	-1.05	2.31	CD63, CEBPB, CXCR4, CORO1A, APRT, LGALS3, PSAP, CASP1, SPP1, SGK1, JUNB, MARK2, H2-AB1
51	Mp0000685 Abnormal Immune System 	7.49e-03	-0.77	2.31	BCL6, B2M, H2-AB1, GNAI2
52	Mp0005397 Hematopoietic System Phenotyp 	8.08e-03	-0.76	2.23	ANXA2, SPP1, FPR2, MMP9
53	Mp0009931 Abnormal Skin Appearance 	1.79e-02	-0.92	2.16	CEBPB, CBFB, LMO4, LYZ2, NME2, HBB-B1, ASPRV1, PIK3CG, KLF6, ADRBK1, IRF2, PTPN6, JUNB
54	Mp0004883 Abnormal Blood Vessel 	9.36e-03	-0.76	2.14	EGR1, SPP1, MMP9, SORL1
55	Mp0001545 Abnormal Hematopoietic System 	8.08e-03	-0.73	2.14	ANXA2, SPP1, FPR2, MMP9
56	Mp0005164 Abnormal Response To 	1.75e-02	-0.87	2.04	EGR1, SPP1, FPR2, MMP9, SORL1
57	Mp0000313 Abnormal Cell Death 	1.25e-02	-0.77	2.0	CEBPB, FCER1G, CBFB, LYZ2, SYVN1, KLF2, ZFP36L1, GLIPR1, BCL6, RASSF5, CASP1, SPP1, CHI3L1, CSK, PTPN6, MYD88, TLR2
58	Mp0003631 Nervous System Phenotype 	2.60e-02	-0.91	1.9	APP, CBFB, IL1B, PSAP, PRKACB, PFDN5, MMP9, SORL1, ITM2B
59	Mp0001919 Abnormal Reproductive System 	1.08e-02	-0.67	1.83	EGR1, PSAP, RAB27A, CXCR4
60	Mp0001851 Eye Inflammation 	1.76e-02	-0.67	1.58	ZFP36, OSTM1, CEBPE, PPIA
61	Mp0000598 Abnormal Liver Morphology 	2.67e-02	-0.73	1.53	EGR1, NDFIP1, CBFB, LYZ2, RPS6, KLF2, GNAI2, KLF6, LDHA, PSAP, SPP1, MAN2B1, NCKAP1L, CTSG, LTB, H2-AB1, TLR2
62	Mp0003866 Abnormal Defecation 	1.97e-02	-0.65	1.47	FFAR2, B2M, RAB8A, GNAI2
63	Mp0005448 Abnormal Energy Balance 	3.68e-02	-0.72	1.29	HDC, BGLAP2, INPP5K, PRCP, MARK2, MYD88
64	Mp0003953 Abnormal Hormone Level 	2.68e-02	-0.61	1.27	EGR1, CEBPB, HDC, RAB27A, ATP1A1, GATA2, ACTB, IL1B, LTB4R1, BGLAP2, PSAP, SPP1, INPP5K, SGK1, CLEC2D, MARK2, MYD88, LY6E, H2-AB1
65	Mp0000343 Altered Response To 	2.55e-02	-0.58	1.21	FCER1G, SPP1, F13A1, MMP9
66	Mp0005388 Respiratory System Phenotype 	4.23e-02	-0.68	1.2	DUSP1, LTB4R1, PSAP, CXCR4, CD14, GNAI2
67	Mp0002133 Abnormal Respiratory System 	4.23e-02	-0.67	1.17	DUSP1, LTB4R1, PSAP, CXCR4, CD14, GNAI2
68	Mp0005376 Homeostasis/Metabolism Phenot 	4.30e-02	-0.66	1.15	EGR1, SLC6A6, SPP1, TALDO1, MAN2B1, FPR2, MMP9, SORL1
69	Mp0005621 Abnormal Cell Physiology 	4.20e-02	-0.59	1.03	PDIA3, APP, VCP, CEBPB, RPS6, ZYX, CASP1, SPP1, RAB27A, MYO1F, RHOB
70	Mp0004087 Abnormal Muscle Fiber 	4.54e-02	-0.57	0.98	SLC6A6, VCP, CEBPB, LGALS1, BCL6, PSAP, ACADM, PIK3CG, H2-AB1
71	Mp0005620 Abnormal Muscle Contractility 	4.58e-02	-0.55	0.94	SLC6A6, ADRBK1, SPP1, ATP1A1, ATP1B1, MMP9, ACTB, H2-AB1
72	Mp0002572 Abnormal Emotion/Affect Behav 	6.14e-02	-0.6	0.91	APP, EGR1, GRN, GM2A, HDC, PSAP, MAN2B1, SLC2A3, ATP1A1, CKB, FOS
73	Mp0005165 Increased Susceptibility To 	3.99e-02	-0.47	0.82	CST3, GRN, SPP1, ATP1B1
74	Mp0000477 Abnormal Intestine Morphology 	7.89e-02	-0.41	0.54	LYZ2, FFAR2, LTB, MMP9, B2M, RAB8A, VAV1, MARK2, GNAI2
75	Mp0002080 Prenatal Lethality 	2.15e-02	-0.23	0.51	CEBPB, NDUFA13, VCP, ALAS1, CBFB, WDR1, NCF4, CXCR4, ATP1A1, ENO1, GATA2, ACTB, GNAI2, ZFP36L1, GPI1, LDHA, RPS19, ADRBK1, PSAP, INPP5K, JUNB, B2M, MARK2, MCL1, NDEL1, PDIA3, LMO4, PKM2, SYVN1, KLF2, VAV1, EEF1A1, ACLY, KLF6, ARPC3, PFN1, PPIA, GAPDH, S100A8, LY6E
76	Mp0003091 Abnormal Cell Migration 	5.62e-02	-0.28	0.44	CASP1, SPP1, ZYX, RHOB
77	Mp0005389 Reproductive System Phenotype 	5.62e-02	-0.27	0.43	EGR1, PSAP, RAB27A, CXCR4
78	Mp0001970 Abnormal Pain Threshold 	8.76e-02	-0.29	0.37	LGALS1, HDC, OSM, SPP1, ARRB2, MMP9
79	Mp0002135 Abnormal Kidney Morphology 	9.05e-02	-0.27	0.35	CD63, CEBPB, LYZ2, CXCR4, GATA2, CORO1A, APRT, PSAP, SPP1, CASP1, MAN2B1, NCKAP1L, JUNB, RAB8A, MARK2
80	Mp0003724 Increased Susceptibility To 	3.82e-02	-0.19	0.35	DUSP1, FFAR2, FPR2
81	Mp0000920 Abnormal Myelination 	8.75e-02	-0.26	0.34	TYROBP, IL1B, PSAP, MMP9, H2-D1
82	Mp0002115 Abnormal Skeleton Extremities 	1.12e-01	-0.28	0.33	LGALS3, FCER1G, CBFB, BGLAP2, HBB-B1, FOS, PFN1, HCST, MMP9, CLEC2D, JUNB
83	Mp0000609 Abnormal Liver Physiology 	8.40e-02	-0.25	0.32	EGR1, ZFP36, CEBPB, BCL6, RPS6, SIRPA, NCKAP1L, ACADM, PPIA, B2M, MARK2, LTF
84	Mp0000350 Abnormal Cell Proliferation 	9.04e-02	-0.22	0.29	CD74, KLF6, CEBPB, LTB4R1, DSTN, MIF, RPL29, ZFP36L1, TLR2
85	Mp0005330 Cardiomyopathy 	7.32e-02	-0.2	0.27	SLC6A6, ACADM, LY6E, H2-AB1
86	Mp0008874 Decreased Physiological Sensi 	8.96e-02	-0.21	0.27	ADRBK1, SPP1, ATP1B1, MMP9, GNAI2
87	Mp0001175 Abnormal Lung Morphology 	9.27e-02	-0.19	0.24	EGR1, LDHA, DUSP1, LYZ2, SPP1, PTPN6, LTB, MMP9, KLF2, MARK2, TLR2
88	Mp0001191 Abnormal Skin Condition 	1.23e-01	-0.19	0.21	EGR1, GSTP1, IRF2, PTPN6, B2M, JUNB, MMP9
89	Mp0005384 Cellular Phenotype 	8.18e-02	-0.15	0.19	PDIA3, APP, VCP, CEBPB, NDUFA13, RPS6, RAB27A, RHOB, ARPC3, ZYX, CASP1, SPP1, MYO1F
90	Mp0000266 Abnormal Heart Morphology 	6.42e-02	-0.12	0.17	EGR1, CBFB, CXCR4, GATA2, ATP1B1, MMP9, PIK3CG, KLF2, GNAI2, ZFP36L1, SLC6A6, LASP1, LDHA, BCL6, ADRBK1, SPP1, NCKAP1L, ACADM, MARK2, LY6E, H2-AB1
91	Mp0002063 Abnormal Learning/Memory/Cond 	9.39e-02	-0.12	0.16	EGR1, GM2A, HDC, CCL3, MAN2B1, FOS, CKB, ATP1A1, MMP9, PRKACB, ITM2B
92	Mp0006082 Cns Inflammation 	2.27e-02	-0.07	0.16	LGALS3, CCL3, H2-D1
93	Mp0003828 Pulmonary Edema 	1.39e-02	-0.06	0.15	DUSP1, CD14, GNAI2
94	Mp0005391 Vision/Eye Phenotype 	1.18e-01	-0.12	0.13	SEMA4A, EGR1, PSAP, MAN2B1, FOS, MMP9, PFDN5
95	Mp0009278 Abnormal Bone Marrow 	5.83e-03	-0.04	0.12	SPP1, FPR2, MMP9
96	Mp0005636 Abnormal Mineral Homeostasis 	1.25e-01	-0.08	0.09	CEBPB, NME2, HBB-B1, B2M, CLEC2D, LTF
97	Mp0010630 Abnormal Cardiac Muscle 	1.08e-01	-0.07	0.09	SLC6A6, BCL6, ADRBK1, ACADM, PIK3CG, H2-AB1, ZFP36L1
98	Mp0003634 Abnormal Glial Cell 	1.10e-01	-0.06	0.07	APP, TYROBP, IL1B, PSAP, SPP1, MAN2B1, MMP9
99	Mp0000604 Amyloidosis 	3.82e-02	-0.03	0.06	APP, NCKAP1L, SORL1
100	Mp0009643 Abnormal Urine Homeostasis 	1.45e-01	-0.01	0.01	CD63, PSAP, SPP1, MAN2B1, JUNB, MARK2, APRT, H2-AB1
101	Mp0003698 Abnormal Male Reproductive 	9.91e-01	2.99	-0.02	EGR1, GRN, BCL6, TALDO1, PFDN5
102	Mp0003861 Abnormal Nervous System 	9.93e-01	3.33	-0.02	LASP1, LMO4, CXCR4, CSK, PFDN5, NDEL1, ZFP36L1
103	Mp0000955 Abnormal Spinal Cord 	9.86e-01	2.95	-0.02	PSAP
104	Mp0010329 Abnormal Lipoprotein Level 	9.82e-01	3.03	-0.03	ACTB
105	Mp0002067 Abnormal Sensory Capabilities 	9.77e-01	2.85	-0.03	PSAP, CCL3
106	Mp0002114 Abnormal Axial Skeleton 	9.69e-01	2.88	-0.03	LASP1, CBFB, LMO4, PSAP, PFN1
107	Mp0002084 Abnormal Developmental Patter 	9.77e-01	2.96	-0.03	GPI1, NDUFA13, JUNB
108	Mp0003755 Abnormal Palate Morphology 	9.75e-01	3.05	-0.03	LASP1
109	Mp0000759 Abnormal Skeletal Muscle 	1.34e-01	0.03	-0.04	SLC6A6, VCP, CEBPB, LGALS1, HBB-B1, CXCR4, INPP5K, MMP9
110	Mp0003936 Abnormal Reproductive System 	9.62e-01	3.13	-0.04	CEBPB
111	Mp0006072 Abnormal Retinal Apoptosis 	2.99e-02	0.02	-0.05	FOS, MMP9, PFDN5
112	Mp0002693 Abnormal Pancreas Physiology 	1.33e-01	0.06	-0.06	CEBPB, SELL, BGLAP2, PPIA, B2M, H2-AB1
113	Mp0002697 Abnormal Eye Size 	9.49e-01	3.07	-0.07	EGR1
114	Mp0000631 Abnormal Neuroendocrine Gland 	9.77e-02	0.07	-0.08	EGR1, RAB27A, GATA2, MARK2
