	Term	p-value	z-score	CS	Related Genes
49	Herpes simplex infection	6.04e-01	0.32	-0.0	USP7, EEF1D, EIF2AK1, HCFC1
50	HTLV-I infection	6.95e-01	0.58	-0.0	RB1, E2F1, E2F2, ANAPC5, ATF4
51	Drug metabolism - cytochrome P450	4.67e-01	0.68	-0.0	MGST3, GSTM5
52	Thyroid hormone synthesis	4.81e-01	0.72	-0.0	GPX1, ATF4
53	Metabolism of xenobiotics by cytochrome P450	4.95e-01	0.73	-0.0	MGST3, GSTM5
54	GnRH signaling pathway	6.12e-01	0.74	-0.0	MAP2K3, ATF4
55	Estrogen signaling pathway	6.57e-01	0.75	-0.0	HSPA8, ATF4
56	Hematopoietic cell lineage	5.94e-01	0.76	-0.0	GYPA, TFRC
57	Bile secretion	4.81e-01	0.76	-0.0	ABCB4, AQP1
58	mRNA surveillance pathway	6.12e-01	0.78	-0.0	PABPC4, PABPC1
59	Glucagon signaling pathway	6.68e-01	0.8	-0.0	PRKAB1, ATF4
60	Chemical carcinogenesis	5.57e-01	0.8	-0.0	MGST3, GSTM5
61	TNF signaling pathway	7.12e-01	0.83	-0.0	MAP2K3, ATF4
62	ECM-receptor interaction	5.57e-01	0.84	-0.0	CD47, AGRN
63	Peroxisome	5.63e-01	0.88	-0.0	ACSL1, SOD1
64	Protein digestion and absorption	6.06e-01	0.94	-0.0	COL5A1, SLC38A2
65	Neurotrophin signaling pathway	7.55e-01	0.96	-0.0	NGFRAP1, ATF4
66	Hypertrophic cardiomyopathy (HCM)	5.63e-01	0.97	-0.0	LMNA, PRKAB1
67	Toxoplasmosis	7.47e-01	0.99	-0.0	MAP2K3, HSPA8
68	Oocyte meiosis	7.67e-01	1.03	-0.0	CCNB1, ANAPC5
69	AMPK signaling pathway	7.71e-01	1.05	-0.0	ADIPOR1, PRKAB1
70	MAPK signaling pathway	8.29e-01	1.21	-0.0	MAP2K3, HSPA8, GADD45A, ATF4
71	Measles	8.13e-01	1.24	-0.0	HSPA8, EIF2AK1
72	Dopaminergic synapse	7.90e-01	1.28	-0.0	COMT, ATF4
73	Hepatitis C	8.03e-01	1.29	-0.0	PSME3, EIF2AK1
74	Viral carcinogenesis	8.43e-01	1.3	-0.0	RB1, USP7, ATF4
75	Insulin signaling pathway	8.23e-01	1.3	-0.0	PRKAR2B, PRKAB1
76	Endocytosis	9.33e-01	1.57	-0.0	HSPA8, TFRC, ARF5
77	Tuberculosis	9.11e-01	1.61	-0.0	ATP6AP1, SPHK1
78	Pathways in cancer	9.47e-01	1.81	-0.0	RB1, DAPK2, E2F1, BIRC5, E2F2
79	HIF-1 signaling pathway	9.03e-01	1.84	-0.0	TFRC
80	MicroRNAs in cancer	9.91e-01	1.86	-0.0	E2F1, E2F2
81	Adrenergic signaling in cardiomyocytes	9.65e-01	1.86	-0.0	ATF4
82	Hippo signaling pathway	9.69e-01	1.87	-0.0	BIRC5
83	Phospholipase D signaling pathway	9.62e-01	1.88	-0.0	SPHK1
84	Insulin resistance	9.15e-01	1.88	-0.0	PRKAB1
85	Toll-like receptor signaling pathway	9.10e-01	1.88	-0.0	MAP2K3
86	Calcium signaling pathway	9.83e-01	1.9	-0.0	SPHK1
87	Cytokine-cytokine receptor interaction	9.98e-01	1.93	-0.0	PPBP
88	Fc gamma R-mediated phagocytosis	8.79e-01	1.94	-0.0	SPHK1
89	Sphingolipid signaling pathway	9.34e-01	1.95	-0.0	SPHK1
90	Inflammatory mediator regulation of TRP channels	8.92e-01	1.96	-0.0	MAP2K3
91	Axon guidance	9.44e-01	1.97	-0.0	SEMA4B
92	Oxytocin signaling pathway	9.72e-01	1.98	-0.0	PRKAB1
93	Pyrimidine metabolism	9.07e-01	1.98	-0.0	TXNRD2
94	Glycerophospholipid metabolism	8.84e-01	1.98	-0.0	LPCAT3
95	Rap1 signaling pathway	9.92e-01	1.98	-0.0	MAP2K3
96	Glutamatergic synapse	9.25e-01	1.98	-0.0	SLC38A2
97	Cholinergic synapse	9.19e-01	1.99	-0.0	ATF4
98	Proteoglycans in cancer	9.90e-01	2.0	-0.0	ANK1
99	cGMP-PKG signaling pathway	9.77e-01	2.01	-0.0	ATF4
100	Rheumatoid arthritis	8.70e-01	2.03	-0.0	ATP6AP1
101	PI3K-Akt signaling pathway	1.00e+00	2.06	-0.0	ATF4
102	VEGF signaling pathway	7.50e-01	2.06	-0.0	SPHK1
103	Chemokine signaling pathway	9.86e-01	2.07	-0.0	PPBP
104	Gap junction	8.64e-01	2.09	-0.0	TUBA1B
105	Dilated cardiomyopathy	8.70e-01	2.1	-0.0	LMNA
106	Fc epsilon RI signaling pathway	7.87e-01	2.1	-0.0	MAP2K3
107	Insulin secretion	8.55e-01	2.13	-0.0	ATF4
108	Long-term potentiation	7.77e-01	2.15	-0.0	ATF4
109	Aldosterone synthesis and secretion	8.41e-01	2.18	-0.0	ATF4
110	Amphetamine addiction	7.82e-01	2.27	-0.0	ATF4
111	Retinol metabolism	7.72e-01	2.28	-0.0	ALDH1A1
112	Colorectal cancer	7.56e-01	2.29	-0.0	BIRC5
113	Cardiac muscle contraction	8.30e-01	2.3	-0.0	COX6C
114	PPAR signaling pathway	7.92e-01	2.36	-0.0	ACSL1
115	RIG-I-like receptor signaling pathway	7.96e-01	2.36	-0.0	OTUD5
116	Epithelial cell signaling in Helicobacter pylori infection	7.87e-01	2.42	-0.0	ATP6AP1
117	Steroid hormone biosynthesis	7.33e-01	2.43	-0.0	COMT
118	Glycolysis / Gluconeogenesis	7.82e-01	2.46	-0.0	ACSS1
119	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	8.14e-01	2.46	-0.0	LMNA
120	Pathogenic Escherichia coli infection	7.14e-01	2.47	-0.0	TUBA1B
121	Lysine degradation	6.94e-01	2.5	-0.0	DLST
122	Arachidonic acid metabolism	7.56e-01	2.57	-0.0	GPX1
123	Aminoacyl-tRNA biosynthesis	7.77e-01	2.63	-0.0	AARS
124	Cocaine addiction	6.73e-01	2.66	-0.0	ATF4
125	Amino sugar and nucleotide sugar metabolism	6.66e-01	2.69	-0.0	CMAS
126	Mineral absorption	6.88e-01	2.7	-0.0	FTH1
127	Vasopressin-regulated water reabsorption	6.34e-01	2.87	-0.0	DYNLL1
128	Fatty acid degradation	6.34e-01	3.06	-0.0	ACSL1
129	Cysteine and methionine metabolism	6.42e-01	3.06	-0.0	GCLM
130	Alanine, aspartate and glutamate metabolism	5.53e-01	3.34	-0.0	ASNS
131	Glyoxylate and dicarboxylate metabolism	4.77e-01	3.37	-0.0	PGP
132	Propanoate metabolism	5.22e-01	3.43	-0.0	ACSS1
133	Base excision repair	5.32e-01	3.5	-0.0	FEN1
134	Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	4.40e-01	3.52	-0.0	PIGQ
135	Citrate cycle (TCA cycle)	5.00e-01	3.63	-0.0	DLST
136	beta-Alanine metabolism	5.11e-01	3.72	-0.0	SMOX
137	Collecting duct acid secretion	4.65e-01	3.93	-0.0	SLC4A1
138	Circadian rhythm	5.00e-01	4.16	-0.0	PRKAB1
139	Renin secretion	4.29e-01	0.64	-0.0	CTSB, AQP1
140	Glycine, serine and threonine metabolism	2.37e-01	0.14	-0.01	ALAS2, SRR
141	Pyruvate metabolism	2.37e-01	0.22	-0.01	HAGH, ACSS1
142	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	4.28e-01	3.6	-0.02	HS6ST1
143	ABC transporters	2.69e-01	0.32	-0.02	ABCB4, ABCG4
144	Nucleotide excision repair	2.94e-01	0.33	-0.02	RPA3, RPA1
145	Malaria	3.10e-01	0.37	-0.02	GYPA, GYPC
146	Sphingolipid metabolism	2.94e-01	0.39	-0.02	UGCG, SPHK1
147	Fatty acid metabolism	3.02e-01	0.41	-0.02	ACSL1, FADS1
148	Legionellosis	3.59e-01	0.52	-0.02	EEF1G, HSPA8
149	Vibrio cholerae infection	3.27e-01	0.47	-0.03	ATP6AP1, SEC61G
150	Arginine and proline metabolism	3.19e-01	0.49	-0.03	SMOX, ODC1
151	Fanconi anemia pathway	3.43e-01	0.7	-0.03	RPA3, RPA1
152	Protein export	4.15e-01	3.48	-0.03	SEC61G
153	Proximal tubule bicarbonate reclamation	4.15e-01	3.49	-0.03	AQP1
154	Biosynthesis of unsaturated fatty acids	4.15e-01	3.51	-0.03	FADS1
155	Terpenoid backbone biosynthesis	4.02e-01	4.7	-0.04	FNTB
156	Non-homologous end-joining	2.68e-01	3.58	-0.2	FEN1
157	Folate biosynthesis	2.84e-01	3.7	-0.21	GCH1
158	Fatty acid biosynthesis	2.68e-01	4.19	-0.24	ACSL1
159	Glycosphingolipid biosynthesis - ganglio series	3.00e-01	4.35	-0.25	ST3GAL5
160	Selenocompound metabolism	3.31e-01	5.03	-0.28	TXNRD2
