	Term	p-value	z-score	CS	Related Genes
11	E2F4_CH12.LX_mm9	3.68e-26	-1.64	89.09	RNF10, AHCTF1, FEN1, RPL3, TFRC, MCM7, MRPS12, CETN3, MKI67, TUBA1B, RPS16, HIST1H2AD, KNTC1, HIST1H2AG, HIST1H2AF, LBR, FADS1, TMEM14C, 2700097O09RIK, HIST1H2AN, KLF13, HIST1H2AH, IFRD2, RPL23, H2AFX, RFX2, RPS3A, KIF22, PLRG1, GTPBP2, RANGAP1, MRPS18C, CARHSP1, NDUFS7, PSME3, HAT1, PGP, RPL24, BLVRB, BIRC5, MCM4, ANAPC5, MCM5, MCM6, MNS1, PABPC1, UBA52, UHRF1, CDCA8, DLST, MRPL14, ATP5H, PPOX, NT5C3, 2700029M09RIK, DNAJB1, FCHO1, UBB, NUP85, FIGNL1, LMNA, WBP5, E2F1, E2F2, RPS2, NDUFV1, SLC38A2, CDR2, CDT1, HSPA8, RPL41, SIVA1, RPA1, PDAP1, DEK, LSM4, HNRNPAB, UBAC1, SOD1, RPS26, SLC25A37, GFI1B, PRC1, RPA3, CENPL, ANP32E, NCAPD3, CDKN3, AARS
12	GATA1_MEL cell line_mm9	5.44e-20	-1.57	62.97	RPL3, ARL6IP1, HBB-B2, 1810064F22RIK, UBE2L6, GHITM, AQP1, PSMD8, TUBB5, FTH1, PSMD1, BNIP3L, HIST1H2AI, HIST1H2AH, IFRD2, LMO2, ARRDC3, MRPS18C, HIST2H3B, CARHSP1, KEL, RPL24, UBA52, TRIM10, ATF4, GYPA, GYPC, FECH, MGST3, ABCB4, ENDOD1, MRPL14, SAMSN1, UBB, TSPAN8, FIGNL1, ST3GAL5, PSMF1, SLC38A5, HIST1H3E, SPECC1, RPL41, GADD45A, UROS, MT1, LSM4, ISG20, RPS26, DARC, RPS29, RANBP10, ANP32E, SERINC1, GCLM, GSTM5, ALAS2, AHCTF1, MCM7, MRPS12, 2510003D18RIK, RPL7A, SEC61G, 1300017J02RIK, CTSE, LBR, ERMAP, RAB8B, CTSB, ATPIF1, PLRG1, JOSD1, EEF1G, TFDP2, MNS1, HAGH, MCM6, CD47, HEMGN, SLC43A1, RPL36A, PPOX, NT5C3, TRAK2, DNAJB2, DNAJB1, WBP5, E2F2, ACSS1, RBM38, CAR1, FAHD1, SMOX, HNRNPAB, KLF1, SLC25A38, GFI1B, PHF5A, CENPL, HDGF
13	E2F4_MEL cell line_mm9	2.05e-15	-1.78	53.47	RNF10, FEN1, MCM7, UHRF1, MRPL14, ATP5H, TUBA1B, TUBB5, NUP85, FIGNL1, NUSAP1, E2F1, HIST1H2AD, E2F2, KNTC1, HIST1H2AF, CDT1, SLMO2, SIVA1, H2AFX, RPA1, DEK, MRPS18C, EIF3K, PRC1, HAT1, ANP32E, PGP, MCM4, BIRC5, ANAPC5, MCM5, MNS1, MCM6, NCAPD3, MCM2
14	KAT2A_HeLa-S3_hg19	5.58e-16	-1.68	52.29	FEN1, RPL3, TFRC, ARL6IP1, MCM7, HIST2H2AB, RPL7A, TUBA1B, FTH1, NUSAP1, HIST1H2AD, HIST1H2AG, KNTC1, HMGN2, FADS1, HIST1H1C, HIST1H2AI, RPS8, HIST1H2AH, PABPC4, RPL23, H2AFX, RPS3A, EEF1G, CARHSP1, RPL24, MCM4, MCM6, PABPC1, MCM2, ATF4, GGNBP2, UHRF1, MGST3, ODC1, DLST, UBB, LMNA, E2F1, RPS2, NDUFV1, SLC38A2, HSPA8, RPL41, H3F3B, SIVA1, SEMA4B, RPA1, HNRNPAB, CENPL, RPS24, AARS
15	MYC_K562_hg19	8.93e-18	-1.45	51.04	RB1, ISCA1, RPL3, ICAM4, UBE2L6, GHITM, APEH, COMT, EEF1B2, RPS16, PSMD4, UROD, RNF19A, NUSAP1, PSMD1, KNTC1, HIST1H2AG, FADS1, TMEM14C, HIST1H2AI, RPS8, HIST1H2AH, RPL23, IFRD2, AP1B1, DNTTIP1, RFX2, PRKAB1, THOC7, HCFC1, CARHSP1, KEL, IFI27, PSME3, BOLA3, MORF4L2, PGP, RPL24, TXNIP, ANAPC5, XIST, UBA52, ABCG4, ATF4, TBCEL, GYPC, MGST3, COX17, ENDOD1, CDCA8, ATP5H, ADIPOR1, SAMSN1, PRDX2, CCNB1, UBB, NUP85, PRKAR2B, SLC38A5, CDR2, FN3K, HSPA8, CDT1, RPL41, UBE2H, SLMO2, SIVA1, H3F3B, EIF2AK1, UROS, ASNS, MARCH8, MEMO1, LSM4, UBAC1, RPS26, ISG20, EIF5, SLC6A9, RPS29, ANP32E, GCLM, RPS24, AARS, FEN1, CLIC4, AHCTF1, RNF11, MCM7, LDB1, PIGQ, MRPS12, CETN3, ETFA, ALAD, RPL7A, TUBA1B, SEC61G, RPLP2, TAPT1, BCAS2, CTSB, HIST1H1C, ATP6AP1, PABPC4, GLRX5, SPHK1, H2AFX, NIPA1, RPS3A, JOSD2, RANGAP1, DYNLL1, EEF1G, NDUFS7, TFDP2, EEF1D, BIRC5, MCM4, HAGH, MNS1, CD47, PABPC1, MCM2, ODC1, RPL36A, RPS27L, DLST, PPOX, NT5C3, CENPA, DNAJB2, DNAJB1, BTAF1, WBP5, E2F1, RPS2, RBM38, FAHD1, TXNRD2, GINS4, PDAP1, HNRNPAB, SOD1, TPCN1, KLF1, SLC25A38, SLC25A37, CSDA, SLC25A39, PHF5A, EIF3K, PRC1, EIF3I, CENPL, RHAG, NCAPD3
16	FOS_K562_hg19	4.03e-16	-1.62	50.86	OTUD5, ARL6IP1, MCM7, MRPS12, CETN3, HIST2H2AB, GHITM, MKI67, FAM134A, PSMD4, SEC61G, NUSAP1, NPTN, HIST1H2AD, HIST1H2AG, HMGN2, LBR, MAP2K3, KLF13, ATP6AP1, HIST1H2AI, HIST1H2AH, APLP2, GLRX5, ATPIF1, H2AFX, RFX2, KIF22, PGP, TXNIP, MCM5, MNS1, MCM6, HAGH, ATF4, GGNBP2, WBP2, UHRF1, CDCA8, ATP5H, PPOX, TSPAN33, CENPA, CCNB1, FCHO1, UBB, LMNA, E2F1, RPS2, CDR2, HSPA8, FAHD1, H3F3B, SIVA1, GADD45A, GINS4, MARCH8, LSM4, HNRNPAB, TPCN1, MARCH2, ISG20, SLC25A37, PHF5A, EIF5, KLF9, ANP32E, TMCC2, NCAPD3, SSBP3, AARS, CDKN3
17	ZMIZ1_MEL cell line_mm9	4.75e-15	-1.63	47.73	ARL6IP1, PIGQ, HIST2H2AB, ATP5C1, COMT, RPL7A, FTL1, TUBB5, RNF19A, FTH1, HIST1H2AD, HIST1H2AG, HIST1H2AF, HIST1H1C, HIST1H2AN, KLF13, GPX1, ATP6AP1, HIST1H2AI, RPS8, HIST1H2AH, APLP2, ARRDC3, H2AFX, HIST2H3B, CYB5, BIRC5, TXNIP, HAGH, ATF4, GGNBP2, FECH, ABCB4, RPL36A, RPS27L, CENPA, ARHGAP21, CCNB1, SRR, UBB, LMNA, RPS2, SLC38A2, HIST1H3E, RBM38, CAR1, FAHD1, GCH1, H3F3B, GADD45A, TXNRD2, MT1, HNRNPAB, SOD1, SLC25A39, TMCC2, SERINC3
18	GATA1_erythroblast_hg19	2.02e-15	-1.58	47.51	RB1, DYRK3, ALAS2, RPL3, CMAS, ICAM4, SLC4A1, GHITM, APEH, ALAD, UROD, FTH1, RNF19A, NUSAP1, HIST1H2AD, PSMD1, HIST1H2AG, LBR, BCAS2, KLF13, RSAD2, HIST1H2AI, RPS8, GLRX5, PABPC4, DAPK2, SPHK1, H2AFX, RANGAP1, GTPBP2, PRKAB1, KEL, TAL1, EEF1D, TXNIP, BLVRB, PABPC1, HAGH, UBA52, ATF4, HEMGN, FECH, GYPC, ENDOD1, DLST, PPOX, ADIPOR1, CLCN3, SAMSN1, CENPA, DNAJB2, PRDX2, FZR1, BTAF1, UBB, RPS2, ACSS1, CDR2, SNCA, KLHDC2, SPECC1, FAHD1, GCH1, BSDC1, KLF1, ISG20, SLC25A37, SLC25A39, EIF5, RPS29, PRC1, MKRN1, ANP32E, CENPL, RHAG, GCLM
19	CEBPD_K562_hg19	6.33e-14	-1.73	46.44	HEMGN, GGNBP2, TFRC, CETN3, HIST2H2AB, RPL36A, ETFA, ICAM4, PPOX, SAMSN1, DNAJB2, UBB, FTH1, NUSAP1, HIST1H2AD, E2F2, HMGN2, SLC38A2, HIST1H2AI, H3F3B, GADD45A, RPL23, IFRD2, PABPC4, ARRDC3, RPS3A, PRKAB1, HNRNPAB, KLF1, RPS26, ISG20, KEL, NDUFS7, TXNIP, RPL24, RHAG, ATF4, AARS
20	JUN_K562_hg19	1.50e-14	-1.52	42.73	ISCA1, RPL3, TFRC, ICAM4, GHITM, NUDT4, PSMD8, RABGEF1, RPS16, PSMD4, FTH1, NUSAP1, FADS1, HIST1H2AH, APLP2, AP1B1, DNTTIP1, GTPBP2, PRKAB1, MRPS18C, HCFC1, CARHSP1, KEL, MORF4L2, HAT1, PGP, TXNIP, RPL24, XIST, UBA52, ATF4, SAMSN1, DEDD2, PRDX2, UBB, FIGNL1, ST3GAL5, NDUFV1, SLC38A2, FN3K, NFE2, PRNP, CDT1, UBE2H, H3F3B, PHF10, GADD45A, BSDC1, ASNS, UBAC1, RPS26, ISG20, EIF5, SLC6A9, RPS29, MAFG, ANP32E, UBE2O, SERINC3, GCLM, RPS24, AARS, RNF10, AHCTF1, CLIC4, CETN3, ALAD, NPTN, ERMAP, BCAS2, KLF13, PABPC4, SPHK1, RPS3A, JOSD2, RANGAP1, JOSD1, NDUFS7, TAL1, BIRC5, PABPC1, MCM6, HAGH, MCM2, HEMGN, WBP2, DLST, PPOX, CLCN3, TRAK2, DNAJB2, FZR1, LMNA, E2F1, RPS2, SEMA4B, GINS4, RPA1, PDAP1, SLC25A38, SLC25A37, GFI1B, SLC25A39, PRC1, KLF9, CENPL, RHAG, SSBP3
21	POLR2A_MEL cell line_mm9	8.12e-16	-1.38	42.54	UBE2L6, GHITM, MKI67, HS6ST1, NUDT4, RABGEF1, SAMD14, PSMD4, HIST1H2AD, HIST1H2AF, HMGN2, FADS1, MAP2K3, PAQR9, HIST1H2AN, RSAD2, APLP2, ARRDC3, RFX2, PRKAB1, THOC7, CARHSP1, PSME3, CYB5, HAT1, PGP, TXNIP, ANAPC5, ABCG4, UBA52, CCDC23, MGST3, ENDOD1, CDCA8, ADIPOR1, SAMSN1, 2700029M09RIK, UGCG, PRDX2, CCNB1, UBB, NUP85, PRKAR2B, BAG1, PSMF1, NDUFV1, SLC38A2, HIST1H3E, KLHDC2, PRNP, CDT1, UBE2H, SLMO2, SIVA1, H3F3B, GADD45A, STARD10, ASNS, MARCH8, ISG20, RPS26, 1700037H04RIK, EIF5, 1810022K09RIK, UBE2O, TMCC2, AARS, CLIC4, MCM7, CETN3, MRPS12, ETFA, HEBP1, 2510003D18RIK, RPL7A, FTL1, TUBA1B, NPTN, RPLP2, CTSE, ERMAP, TAPT1, CTSB, HIST1H1C, 2700097O09RIK, ATP6AP1, GLRX5, H2AFX, KIF22, PLRG1, RANGAP1, JOSD1, D030056L22RIK, EEF1G, TFDP2, PACS2, NDUFS7, MNS1, HEMGN, DLST, RPS27L, PPOX, TSPAN33, TRAK2, 2410076I21RIK, FZR1, LMNA, WBP5, CAR1, FAHD1, GCH1, RIOK3, RYK, EPB4.9, TPCN1, SOD1, SH3YL1, CSDA, EIF3I, RPA3, NCAPD3, CDKN3, GRINA
22	NFYA_K562_hg19	1.46e-14	-1.5	42.22	OTUD5, ARL6IP1, MRPS12, CETN3, HIST2H2AB, ETFA, APEH, PSMD4, FTH1, SEC61G, NUSAP1, HIST1H2AD, HIST1H2AG, KNTC1, HMGN2, HIST1H1C, RAB8B, MAP2K3, ATP6AP1, HIST1H2AH, APLP2, GLRX5, ATPIF1, RFX2, KIF22, TFDP2, HAT1, TXNIP, MCM5, MNS1, MCM6, HAGH, WBP2, CDCA8, ATP5H, PPOX, CLCN3, TSPAN33, UBB, FCHO1, E2F1, RPS2, CDR2, H3F3B, GADD45A, GINS4, RPA1, BSDC1, LSM4, HNRNPAB, SOD1, TPCN1, RPS26, MARCH2, SLC25A37, GFI1B, EIF5, PHF5A, PRC1, LPCAT3, MKRN1, ANP32E, RANBP10, CENPL, TMCC2, SSBP3, RPS24, CDKN3, AARS
23	KAT2B_K562_hg19	4.54e-13	-1.63	40.88	OTUD5, FEN1, DYRK3, RPL3, TFRC, CETN3, ETFA, ALAD, RPS16, NUSAP1, HMGN2, FADS1, BCAS2, RAB8B, TMEM14C, HIST1H2AH, IFRD2, RPL23, ARRDC3, RPS3A, RANGAP1, DYNLL1, PRKAB1, EEF1G, NDUFS7, HAT1, MCM4, MNS1, UBA52, WBP2, MGST3, SLC43A1, RPS27L, CDCA8, CLCN3, PPOX, CENPA, DEDD2, DNAJB2, CCNB1, BTAF1, PRKAR2B, NUP85, BAG1, ST3GAL5, NDUFV1, SPECC1, CDT1, HSPA8, RPL41, SIVA1, STARD10, BSDC1, MARCH8, LSM4, TPCN1, RPS26, ISG20, SLC25A37, EIF3K, PRC1, EIF3I, MKRN1, RANBP10, CENPL, GCLM
