Rank	1-cos(α)	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
11	0.7466	BRD-K32010074	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K32010074	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46926575	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC012_A375_6H:BRD-K32010074:10.0
12	0.7476	BI-2536	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-U70626184	None	None	MCF7	0.04um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP009_MCF7_24H:BRD-U70626184:0.04
13	0.7487	S1020	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K05104363	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6918454	None	A549	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_A549_24H:BRD-K05104363:10.0
14	0.7488	VX-680	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K87947369	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5494449	None	A549	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A549_24H:BRD-K87947369:10.0
15	0.7493	JW-7-24-1	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K57282030	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=69923936	None	MCF7	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF7_3H:BRD-K57282030:10
16	0.7499	curcumin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K74148702	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16760039	None	H1299	48.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_H1299_6H:BRD-K74148702:48.0
17	0.7499	CHIR-99021	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K16189898	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9956119	None	MCF10A	0.04um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_3H:BRD-K16189898:0.04
18	0.7513	BRD-K93127801	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K93127801	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44506841	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC019_MCF7_24H:BRD-K93127801:10.0
19	0.7517	CHLORMADINONE ACETATE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A01593789	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6710779	None	NPC	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC015_NPC_24H:BRD-A01593789:10.0
20	0.7527	MLS-0437446.0001	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K32636001	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9581015	None	MCF7	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_MCF7_6H:BRD-K32636001:10.0
21	0.7534	BRD-K17140735	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K17140735	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4259181	None	A673	11.1um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A673_6H:BRD-K17140735:11.1
22	0.7543	Sulfamethazine sodium salt	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K11640013	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5327	http://www.drugbank.ca/drugs/DB01582	MCF7	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPD002_MCF7_6H:BRD-K11640013:10.0
23	0.7546	BRD-K71303366	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K71303366	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44617484	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC019_MCF7_24H:BRD-K71303366:10.0
24	0.7555	JW-7-24-1	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K57282030	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=69923936	None	LNCAP	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_LNCAP_3H:BRD-K57282030:10
25	0.7567	S1362	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K35687265	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707390	None	NPC	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_NPC_24H:BRD-K35687265:10.0
26	0.7576	PERIPLOCYMARIN	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A45333398	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6708762	None	MCF7	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC005_MCF7_6H:BRD-A45333398:10.0
27	0.7583	MENADIONE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K78126613	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4055	http://www.drugbank.ca/drugs/DB00170	H1299	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_H1299_6H:BRD-K78126613:10.0
28	0.7587	BRD-A66861218	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A66861218	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6708733	None	A549	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC016_A549_6H:BRD-A66861218:10.0
29	0.7589	BRD-K26300881	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K26300881	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11054313	None	HA1E	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC009_HA1E_6H:BRD-K26300881:10.0
30	0.7592	PF-431396	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K93788137	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11598628	None	PC3	0.37um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_PC3_24H:BRD-K93788137:0.37
31	0.7592	BRD-K33680967	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K33680967	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=42640809	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_PC3_24H:BRD-K33680967:10.0
32	0.7595	KU-60019	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A90451247	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16117018	None	HA1E	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP008_HA1E_24H:BRD-A90451247:1.11
33	0.7597	Ingenol 3, 20-dibenzoate	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A52650764	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5225086	None	HA1E	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HA1E_6H:BRD-A52650764:10.0
34	0.7604	S1019	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K50168500	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=156414	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_MCF7_24H:BRD-K50168500:10.0
35	0.7611	MK-2206	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K68065987	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24964624	None	HT29	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HT29_24H:BRD-K68065987:10
36	0.7617	LDN-193189	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K04853698	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25195294	None	HA1E	0.04um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HA1E_24H:BRD-K04853698:0.04
37	0.7619	SB-203580	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A37704979	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=176155	None	HEPG2	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP009_HEPG2_24H:BRD-A37704979:10
38	0.7619	BRD-K34711351	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K34711351	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46172920	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC009_A375_6H:BRD-K34711351:10.0
39	0.7629	PP-30	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K30677119	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707372	None	A673	11.1um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A673_6H:BRD-K30677119:11.1
40	0.7648	CGP-60474	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K79090631	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=644215	None	HT29	0.04um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP007_HT29_24H:BRD-K79090631:0.04
41	0.7658	HG-5-88-01	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K06569345	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25226117	None	HCC515	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HCC515_24H:BRD-K06569345:10
42	0.7659	NCGC00241077-01	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A31946439	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=60138124	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_A375_6H:BRD-A31946439:10.0
43	0.7661	halometasone	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K33312228	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9846332	None	A549	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC011_A549_6H:BRD-K33312228:10.0
44	0.7663	BRD-A92537424	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A92537424	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5702031	None	NPC	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC017_NPC_24H:BRD-A92537424:10.0
45	0.7667	A66	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K49055432	None	None	HT29	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP007_HT29_24H:BRD-K49055432:10
46	0.7669	WH-4-025	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-U60236422	None	None	HCC515	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HCC515_24H:BRD-U60236422:3.33
47	0.7672	BRD-K60067222	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K60067222	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54613883	None	HEPG2	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC019_HEPG2_6H:BRD-K60067222:10.0
48	0.7672	S1122	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K16485616	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9865515	None	HEPG2	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_HEPG2_6H:BRD-K16485616:10.0
49	0.7673	BRD-K43226598	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K43226598	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54614463	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC019_MCF7_24H:BRD-K43226598:10.0
50	0.7680	PP-30	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K30677119	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707372	None	MCF7	11.1um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MCF7_6H:BRD-K30677119:11.1
