Rank	1-cos(α)	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
21	0.7545	AZD-5438	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K72414522	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16747683	None	MCF7	3.33um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF7_3H:BRD-K72414522:3.33
22	0.7555	2339-2182	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K89784888	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5405270	None	HEPG2	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_HEPG2_6H:BRD-K89784888:10.0
23	0.7563	DAUNORUBICIN	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K43389675	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=30323	http://www.drugbank.ca/drugs/DB00694	HA1E	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC004_HA1E_6H:BRD-K43389675:10.0
24	0.7564	BRD-K45232279	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K45232279	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44495329	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC019_MCF7_24H:BRD-K45232279:10.0
25	0.7565	BRD-K06980535	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K06980535	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5887	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC018_MCF7_24H:BRD-K06980535:10.0
26	0.7566	AT-7519	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K13390322	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11338033	None	MCF10A	3.33um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_3H:BRD-K13390322:3.33
27	0.7574	Clioquinol	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K09255212	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2788	None	A375	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC005_A375_24H:BRD-K09255212:10.0
28	0.7585	dasatinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K49328571	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3062316	http://www.drugbank.ca/drugs/DB01254	HT29	0.04um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HT29_24H:BRD-K49328571:0.04
29	0.7596	S1147	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K63923597	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16007391	None	ASC	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_ASC_24H:BRD-K63923597:10.0
30	0.7601	lapatinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K19687926	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=208908	http://www.drugbank.ca/drugs/DB01259	BT20	0.37um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_BT20_3H:BRD-K19687926:0.37
31	0.7603	2858522	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K59962020	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2858523	None	HA1E	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HA1E_24H:BRD-K59962020:10.0
32	0.7624	TWS-119	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K94176593	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9549289	None	HA1E	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HA1E_24H:BRD-K94176593:1.11
33	0.7624	nTZDpa	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K54708045	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9954280	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC001_PC3_24H:BRD-K54708045:10.0
34	0.7628	PHA-793887	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K64800655	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46191454	None	HS578T	3.33um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HS578T_3H:BRD-K64800655:3.33
35	0.7631	BRD-K96147838	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K96147838	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46931017	None	HA1E	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC009_HA1E_6H:BRD-K96147838:10.0
36	0.7639	Nadolol	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A87606379	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=39147	http://www.drugbank.ca/drugs/DB01203	PC3	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPD003_PC3_6H:BRD-A87606379:10.0
37	0.7647	YM-201636	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K48488978	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9956222	None	HCC515	0.37um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HCC515_24H:BRD-K48488978:0.37
38	0.7657	bosutinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99964838	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5328940	None	HCC515	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP007_HCC515_24H:BRD-K99964838:10
39	0.7665	Ambroxol hydrochloride	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K56558538	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2132	http://www.drugbank.ca/drugs/DB06742	MCF7	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPD001_MCF7_6H:BRD-K56558538:10.0
40	0.7670	torin-2	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K68174511	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=51358113	None	HT29	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HT29_24H:BRD-K68174511:1.11
41	0.7677	GSK-429286A	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A10523515	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11373846	None	MCF7	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP009_MCF7_24H:BRD-A10523515:3.33
42	0.7678	BRD-K37724988	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K37724988	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4518240	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC010_PC3_24H:BRD-K37724988:10.0
43	0.7678	Pifithrin- ?	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K96799727	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=327653	None	HA1E	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC004_HA1E_24H:BRD-K96799727:10.0
44	0.7679	alvocidib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K87909389	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5287969	None	MCF10A	0.04um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_3H:BRD-K87909389:0.04
45	0.7691	BRD-K79554012	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K79554012	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1556232	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_A375_6H:BRD-K79554012:10.0
46	0.7697	glimepiride	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K34776109	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3476	http://www.drugbank.ca/drugs/DB00222	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC011_PC3_24H:BRD-K34776109:10.0
47	0.7699	A66	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K49055432	None	None	HT29	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP007_HT29_24H:BRD-K49055432:10
48	0.7701	BRD-K92158425	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K92158425	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45100429	None	MCF7	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_MCF7_6H:BRD-K92158425:10.0
49	0.7704	dovitinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K85402309	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9886808	None	MDAMB231	1.11um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_MDAMB231_3H:BRD-K85402309:1.11
50	0.7705	BRD-K77681376	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K77681376	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45100431	None	MCF7	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_MCF7_6H:BRD-K77681376:10.0
