Rank	1-cos(α)	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
11	1.2281	pelitinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K08799216	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6445562	None	BT20	0.37um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_BT20_3H:BRD-K08799216:0.37
12	1.2267	BRD-A14574269	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A14574269	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4694339	None	HEPG2	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC017_HEPG2_6H:BRD-A14574269:10.0
13	1.2264	BRD-K40087974	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K40087974	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2769229	None	VCAP	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC007_VCAP_24H:BRD-K40087974:10.0
14	1.2231	rifapentine	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K55889443	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=57503812	None	VCAP	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC011_VCAP_24H:BRD-K55889443:10.0
15	1.2218	GSK-2126458	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K42918627	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=52914946	None	LNCAP	3.33um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_LNCAP_3H:BRD-K42918627:3.33
16	1.2197	7226698	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A16581344	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2930928	None	VCAP	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC012_VCAP_24H:BRD-A16581344:10.0
17	1.2194	BRD-K73109821	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K73109821	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3019	http://www.drugbank.ca/drugs/DB01119	SKB	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC018_SKB_24H:BRD-K73109821:10.0
18	1.2190	citalopram	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A47598013	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=77995	None	VCAP	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC009_VCAP_6H:BRD-A47598013:10.0
19	1.2182	BRD-K09631521	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K09631521	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5453	None	MCF7	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC015_MCF7_6H:BRD-K09631521:10.0
20	1.2174	ST4028268	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K14444135	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=658169	None	VCAP	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_VCAP_6H:BRD-K14444135:10.0
21	1.2172	LY 225910	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K33864865	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4355450	None	HCC515	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC002_HCC515_24H:BRD-K33864865:10.0
22	1.2170	13224	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K22631935	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16112820	None	SKB	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_SKB_24H:BRD-K22631935:10.0
23	1.2155	mebendazole	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K77987382	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4030	http://www.drugbank.ca/drugs/DB00643	PC3	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC020_PC3_6H:BRD-K77987382:10.0
24	1.2134	SB-216763	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K59184148	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=176158	None	HA1E	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP007_HA1E_24H:BRD-K59184148:10
25	1.2131	S1014	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99964838	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5328940	None	SKB	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_SKB_24H:BRD-K99964838:10.0
26	1.2117	"""Methyl 2,5-dihydroxycinnamate"""	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K88741031	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5353609	None	MCF7	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC004_MCF7_6H:BRD-K88741031:10.0
27	1.2116	sunitinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K70511574	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9888590	None	A375	0.04um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP009_A375_24H:BRD-K70511574:0.04
28	1.2114	TAK-715	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K52751261	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9952773	None	HA1E	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP009_HA1E_24H:BRD-K52751261:3.33
29	1.2109	BML-259	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K71799778	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16760027	None	SW620	80.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_SW620_6H:BRD-K71799778:80.0
30	1.2107	7061815	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K69569876	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1201976	None	PC3	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_PC3_6H:BRD-K69569876:10.0
31	1.2102	tranilast	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K17849083	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5282230	None	VCAP	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC011_VCAP_24H:BRD-K17849083:10.0
32	1.2102	PD-184352	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K05104363	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6918454	None	MCF10A	1.11um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_MCF10A_3H:BRD-K05104363:1.11
33	1.2089	COLFORSIN	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A55416093	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5702265	None	HEPG2	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC004_HEPG2_6H:BRD-A55416093:10.0
34	1.2084	AZ20	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K42436189	None	None	HA1E	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP008_HA1E_24H:BRD-K42436189:1.11
35	1.2080	BRD-A66927094	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A66927094	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4452	None	A549	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC016_A549_24H:BRD-A66927094:10.0
36	1.2079	AST1306	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K26838195	None	None	MCF7	0.12um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP007_MCF7_24H:BRD-K26838195:0.12
37	1.2070	GDC-0980	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A18328003	None	None	MCF7	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_MCF7_3H:BRD-A18328003:10
38	1.2070	SIMVASTATIN	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K22134346	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=54454	None	HEPG2	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC004_HEPG2_6H:BRD-K22134346:10.0
39	1.2068	selumetinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K57080016	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10127622	None	HME1	3.33um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K57080016:3.33
40	1.2059	PD-184352	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K05104363	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6918454	None	BT20	1.11um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_BT20_3H:BRD-K05104363:1.11
41	1.2057	dasatinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K49328571	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3062316	http://www.drugbank.ca/drugs/DB01254	MCF7	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_MCF7_3H:BRD-K49328571:10
42	1.2057	decitabine	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K79254416	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=451668	http://www.drugbank.ca/drugs/DB01262	HCC515	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP008_HCC515_24H:BRD-K79254416:10
43	1.2052	BRD-K88677950	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K88677950	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9956637	None	HEPG2	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC016_HEPG2_6H:BRD-K88677950:10.0
44	1.2044	15-delta prostaglandin J2	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K05396879	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311211	None	PC3	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC012_PC3_6H:BRD-K05396879:10.0
45	1.2041	AS-605240	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K41895714	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10377751	None	HME1	0.37um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K41895714:0.37
46	1.2036	BRD-A00420644	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A00420644	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2853908	None	HCC515	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC019_HCC515_6H:BRD-A00420644:10.0
47	1.2036	PD-0325901	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K49865102	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9826528	None	HME1	0.12um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K49865102:0.12
48	1.2034	BRD-A35912562	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A35912562	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45006141	None	MCF7	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC015_MCF7_6H:BRD-A35912562:10.0
49	1.2027	canertinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K50168500	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=156414	None	HME1	1.11um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K50168500:1.11
50	1.2027	GSK-2126458	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K42918627	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=52914946	None	HS578T	0.37um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HS578T_3H:BRD-K42918627:0.37
