	cd1	cd2	cd3	gat1	gat2	gat3	logFC	student's t-test	p-value
1110014J17RIK	216.4	214.8	235.9	200.4	229	215	-0.049719042	0.708141667	0.517940561
1110014N23RIK	49.8	57.5	58.4	55.4	54.8	62.4	0.057832871	0.62833817	0.563874958
1110014O20RIK	914	459.8	575.7	540.3	597.1	706.7	-0.080060574	0.24273066	0.820152552
1110015C02RIK	0.4	1.7	0	0	0	0	-0.765534746	1.364096585	0.244248912
1110015M06RIK	0	1.7	0	0.5	0	0	-0.425305835	0.677199178	0.535423601
1110017D15RIK	7.3	19.1	24.8	0	8.9	10.4	-1.281249141	1.746013177	0.155739839
1110017F19RIK	74.6	117.6	80.5	66.9	91	113.7	-0.005767642	0.019226539	0.985581206
1110017I16RIK	0	0	4	0	0	0.4	-1.041820176	0.895533471	0.421122541
1110018G07RIK	704	508.6	623.8	519.9	399.2	666.5	-0.211479337	0.872133977	0.432357864
1110018H23RIK	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
1110018J18RIK	17.4	19.6	12.7	19.4	19.6	15.8	0.133266531	0.714212867	0.514559428
1110018J23RIK	0.2	0	3.7	0	2.5	1.5	0.02075856	0.023742322	0.982195349
1110018M03RIK	1.6	0	0	0	1.7	0	0.031026896	0.042835294	0.967885805
1110018N20RIK	0	1.1	0	0	0	0	-0.450661409	1	0.373900966
1110019B22RIK	0.1	0	1.4	0	3.9	0	0.61667136	0.5814019	0.592157895
1110019K23RIK	0	1.4	2.8	0.1	1.9	1.5	-0.147557188	0.239255074	0.822666974
1110019N10RIK	94	66.4	84.8	71.2	70.2	84.4	-0.117416063	0.694222135	0.525753577
1110020A21RIK	0	0	1.3	1.2	0	0	-0.033947332	0.056523342	0.957635686
1110020C03RIK	3.6	1	0.6	0.1	1.1	2.5	-0.291462814	0.427352162	0.691123405
1110020C17RIK	2.7	4	0	0.7	5.2	6.3	0.648014671	0.881836131	0.42766986
2310010B21RIK	5.2	2.4	5.8	28.5	24.8	38.5	2.531191244	6.187053323	0.003468384
1110020N13RIK	9.3	8.7	11.9	6.5	11.6	13.5	0.072684454	0.245399428	0.818223595
1110020P15RIK	2975.6	3035.3	3506.9	3134.5	3054.8	3435.1	0.016063429	0.174124569	0.870224958
1110021J02RIK	201.5	195.9	208.6	229.3	208.4	235.2	0.150367586	2.499367645	0.066811682
1110021L09RIK	5.4	9.2	0	0	1.9	2.6	-1.230612928	1.211079929	0.292522298
1110021P09RIK	0	0.5	1	0	0	1.4	-0.032421478	0.060745674	0.954475735
1110025H03RIK	7.8	8.5	0	1.5	0.1	4	-1.166192283	1.207671867	0.293695094
1110025L11RIK	0.5	2.2	1.1	0	0.3	2.7	-0.180572246	0.269679945	0.800747199
1110027O12RIK	0.6	1	0	0	1.4	2.5	0.584962501	0.983408987	0.381083121
1110028A07RIK	0	0.6	0	0	0.4	0	-0.08246216	0.277350098	0.795255008
1110028C15RIK	2.5	3.2	0.3	0	1.6	0.7	-0.763932642	1.247269746	0.280338945
1110028F11RIK	3.6	0	3.8	4.6	2.5	4.6	0.499232627	1.009879493	0.369680376
TOR3A	2.7	0	0	10.2	8.3	10.5	2.489038081	7.735294118	0.001504323
ZFP780B	0.1	0.1	0	5.2	4.5	5.2	2.483815777	20.78893937	3.16339E-05
1110031B06RIK	2.2	7	6.4	4.4	3.3	7.6	-0.023458973	0.050357975	0.962251459
1110031B11RIK	4.8	0	0	0	0	0	-1.378511623	1	0.373900966
WHRN	0	2.1	0.4	7.8	8.3	11.4	2.471305719	6.425058276	0.00301697
1110031I02RIK	20	26.6	31.1	23.1	29	16.7	-0.168584829	0.618533003	0.569707162
1110032A03RIK	0	0	0.7	0	1.4	3.9	1.165586066	1.316976169	0.258226929
1110032A04RIK	2	0.6	0	1.2	0.6	1.1	0.075288127	0.161048438	0.879861922
1110032A13RIK	221.4	621.9	329.5	412.1	663.1	590.7	0.505254828	1.1659388	0.308418966
1110032D16RIK	0	0	2.4	2.1	3.4	0	0.654503434	0.811585068	0.462561723
1110032E23RIK	4.8	0.7	4.2	1.3	4.1	6.1	0.191224403	0.317454887	0.766778876
1110032F04RIK	1.1	1.7	0	0.8	1.4	0	-0.157541277	0.311504479	0.770977332
1110033C18RIK	8.9	13.9	11.7	8	2.9	7.4	-0.816037165	2.495262415	0.067105556
1110033F04RIK	2	0	1.1	0	0	0	-1.023846742	1.786810295	0.148501275
1110033K02RIK	24.3	23.8	14.4	18.3	19	22.4	-0.063029464	0.269755026	0.800693369
1110033L15RIK	2.3	3.2	1.5	2.1	3.7	3.9	0.344828497	1.196753959	0.297482088
1110033M05RIK	56.5	52.4	56.6	57.9	51	51.8	-0.04169427	0.619883998	0.568901167
1110033O09RIK	0	0	0	2.3	0	0	0.821029859	1	0.373900966
CELSR1	2.3	0.7	0	5.2	11.6	12.9	2.44625623	3.595653887	0.022846397
1110034B05RIK	0	0	1.8	1.2	0	3.5	0.68182404	0.812800189	0.4619395
1110034G24RIK	28.1	11.8	19.9	13.9	11.9	22.8	-0.283393493	0.646330751	0.553278932
1110034O24RIK	452.5	378.5	424.5	318.8	407.3	371.7	-0.193152841	1.56630652	0.19233836
1110035H17RIK	20.8	20	6.9	20.9	4.7	13.5	-0.268165514	0.44114167	0.68190634
1110036D12RIK	2.8	8.9	14.4	0	0	0.2	-3.184875343	2.576508652	0.061553944
1110036O03RIK	0	0.2	0	0.5	1.1	0	0.523561956	1.436369693	0.224247685
1110037F02RIK	68.5	81.3	80.6	70.3	45.1	77.4	-0.253423796	1.177451744	0.304289598
1110037J23RIK	0	2.3	0.2	0	0.8	0.1	-0.495957495	0.685994341	0.530411676
GDPD3	172.9	150.1	50.5	369.2	906.1	742.2	2.423990582	3.356935574	0.028385438
1110038B12RIK	131.2	138.4	138.3	259.8	471.5	196.6	1.179838867	2.08431148	0.105507091
1110038D17RIK	452.4	299.9	402.6	320.1	298.9	349.2	-0.253670336	1.318358179	0.257806054
1110038F14RIK	84.4	103.8	97.9	89	72.5	95.2	-0.154722595	1.103595517	0.331693524
1110038G02RIK	96.1	67	81.7	76.6	55.5	64.5	-0.312064467	1.546461268	0.196895006
1110039B18RIK	40.8	30.5	37.2	32.4	39.5	34.8	-0.023480184	0.163568787	0.878002429
1110046J11RIK	316.9	208.1	178	417.1	207.2	496.1	0.670131619	1.449695018	0.220742463
1110048D14RIK	3.3	18.7	6.9	1.4	0	3.3	-2.050626073	1.698883665	0.164570099
1110049B09RIK	0.8	0	0	0.8	0.7	0	0.243925583	0.636363636	0.559131643
1110049F12RIK	312.3	317.9	449.9	283.1	292.5	315.1	-0.27730392	1.373830776	0.241455296
1110049L02RIK	0	0	0.3	1.2	0	0.7	0.570315725	1.472919389	0.21476446
1110049N09RIK	3.6	2.7	0.5	4.9	5.5	4	0.828233652	2.486795966	0.067716298
1110050B14RIK	2.1	8.4	13.1	3.8	5	5.2	-0.645891499	0.994885428	0.376102399
1110051M20RIK	0	0	0	0	0	0.5	0.222392421	1	0.373900966
1110051N18RIK	4	0	1.9	1	1.3	3.4	-0.032789935	0.048308615	0.963786143
1110054B14RIK	5.2	5.3	5.8	7.1	8.5	2.5	0.128642151	0.329347896	0.758416563
1110054H05RIK	23.9	18	22.5	24.5	28.4	7	-0.099688574	0.220044296	0.836610645
1110054O05RIK	18.2	13.3	14.7	15.6	12.6	12.7	-0.164437376	1.004840907	0.371827671
1110054P19RIK	0	0	0	0	0	2.4	0.847996907	1	0.373900966
1110055N21RIK	280	180.4	219.7	242.5	187.9	277.1	0.056737857	0.234799025	0.825894481
4833409J19RIK	3.9	3.3	3.4	13.4	32	24.2	2.416362897	3.644823506	0.021871217
1110057P08RIK	0.8	0	1.9	0	0	0	-0.925999419	1.634114338	0.177573485
ENSMUSG00000068790	5.4	5.7	0	17.6	20.3	34.1	2.411195433	3.735001602	0.020208716
LOC100045228	0	0	0.5	4.4	5	6.2	2.409875794	9.072710699	0.000818131
1110059G02RIK	80.7	55.3	60.6	78.1	42.8	101.3	0.174095107	0.45671198	0.671579082
1110059G10RIK	12.2	11.8	34.3	30.7	20.1	4.1	-0.082323726	0.105664993	0.920935054
1110059H15RIK	0	0.8	0.9	1.8	1.9	0	0.511500339	0.980580676	0.382319325
1110059M19RIK	3.3	0	0	0	0	4.3	0.212544635	0.184490541	0.862604573
1110059P08RIK	22.1	25.1	11.2	24.6	8.9	29.4	0.10203981	0.200168113	0.85111403
1110062G22RIK	1.5	10.4	9.4	0	0.4	0.7	-2.567260499	2.385900736	0.075503303
1110062M06RIK	293.1	286.9	183.4	341.7	217.7	259.2	0.100338621	0.361281304	0.736163217
SCL000361.1_1	0	0	0	2.8	4.6	5.4	2.396890153	5.549503805	0.005158454
1110065P20RIK	18	25.8	30.2	26.4	26.9	22.3	0.029670867	0.138410169	0.896604609
1110067B18RIK	60.1	44.4	70.7	36	49.8	60.8	-0.252387162	0.909652463	0.414460637
1110067D22RIK	13	7	15.9	5.2	12.7	9.6	-0.350960913	0.822029573	0.457234952
LOC244000	0	0.7	0	5.7	3.9	6.7	2.383003672	6.104751746	0.003643562
1110069O07RIK	0	0	0	0	4	0.1	1.242856524	1.0377253	0.358008461
1110070O15RIK	6.7	27.2	25.6	8.1	22.7	9.2	-0.53951953	0.803947715	0.466487642
1190002A17RIK	5.9	13.7	5	13.6	9.6	20.9	0.771058793	1.50823297	0.205986632
1190002A23RIK	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
1190002F15RIK	369.3	412	597.1	364.1	212.2	310.7	-0.634253888	1.976656235	0.119257096
1190002H23RIK	1158.3	2286	3138.4	1071.9	2394.5	594	-0.696649404	1.068802443	0.345368552
1190002N15RIK	36.9	25.6	25.9	39.6	29.9	34.9	0.232727923	1.145842561	0.315751848
1190003J15RIK	7.5	6.4	5.6	8.7	1.7	7.2	-0.127280664	0.288143504	0.787550737
1190003K10RIK	2.3	0.3	4.1	6.1	0.7	0	0.014797002	0.015029524	0.988728387
1190003M12RIK	8.3	0	5.8	0.6	9.9	5.6	0.159576313	0.183047671	0.863664217
1190004M23RIK	0	0	0	0	0	1.1	0.450661409	1	0.373900966
TOR1AIP2	12.5	0.8	0	30.5	26	24.7	2.368948269	5.137456796	0.006803255
1190005I06RIK	4.6	0	0	0	0.4	6.4	0.366782331	0.284683818	0.790017098
1190005N23RIK	38	54.2	34.8	48.4	47.3	51.3	0.206450877	1.088936393	0.337394349
ZCCHC9	28.9	0	4.5	67	74.2	43.2	2.364110597	3.879390201	0.017850514
1190007I07RIK	6	6.2	1.4	86.9	76.3	8.1	3.392317423	2.12475812	0.100800657
SLC36A2	0	0	0	2.4	5	4.9	2.350497247	4.82075008	0.008518371
1190009E20RIK	284.4	148.6	155.3	215.7	194	217.5	0.091919477	0.289222448	0.786782188
1190012C08RIK	47.5	78.3	119.4	41	61.9	51.7	-0.655235581	1.392791658	0.236104036
TCEA3	4.8	3.6	4.8	28.5	18.2	31.9	2.332575339	5.26820102	0.006219737
1190020E20RIK	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
1190020J12RIK	12	5.8	6.9	6.9	2.3	1.3	-1.036926569	1.839507876	0.139678137
1190028D05RIK	1.5	0	0	3.1	0.3	1.4	0.793549123	1.151007176	0.313852086
FGF15	0	0.5	1.1	3.8	9	7.2	2.321928095	3.938138223	0.016986345
1200002N14RIK	391.7	378.1	249.4	458.9	388	456.5	0.3539192	1.859408563	0.136493883
1200003C05RIK	185.8	122	121.8	255	179.2	229.7	0.624436784	2.533716355	0.06440958
1200003E11RIK	1.8	0	0	0.2	1.1	2.9	0.584962501	0.804030252	0.466445075
1200003I07RIK	25.8	38.4	54.4	16.2	22.3	21.3	-0.953306765	2.309044919	0.082118406
1200003N10RIK	0	0	0	3.3	0	1.5	1.378511623	1.677255739	0.168797546
1200007C13RIK	4.2	3.1	2.8	0	2.9	0	-1.150779952	2.272299851	0.085510175
1200008A14RIK	8.3	6.3	13.2	8.3	4.5	10.5	-0.227867551	0.556234201	0.607697724
1200008N06RIK	2	1.5	2.8	3.3	8.1	3.7	0.960687076	1.852323739	0.137618464
1200009F10RIK	0	0.3	6.3	3.4	1.3	2.7	0.115477217	0.124454278	0.906959268
1200009I06RIK	0	1.4	0	0.7	0	2.3	0.447458977	0.646233913	0.553335591
1200009O22RIK	0	3.1	2.7	3.4	0.4	2.6	0.095157233	0.15108989	0.887218295
1200011A11RIK	0	3.2	2.7	1.4	0	3	-0.266280065	0.379170104	0.723830587
1200011I18RIK	13.8	6.9	4.4	9.8	7.4	6.8	-0.057610723	0.124018967	0.907282623
1200011M11RIK	2.8	1.1	4.6	3.8	4.1	1.9	0.154509949	0.354340523	0.740974511
1200011O22RIK	232.2	308.7	275.5	225.2	236.3	236.2	-0.225770997	1.762284015	0.15280895
1200012P04RIK	1.1	2.2	0	0	4.6	1.8	0.577308928	0.697554499	0.523875401
1200013B08RIK	497.8	277.2	222.8	640.5	786	1516.9	1.557799608	2.284431512	0.084373242
1200013F24RIK	1	0	0	0	0	0	-0.415037499	1	0.373900966
BCAS1	6.4	1.8	0.5	19.5	14.5	21.5	2.321928095	5.682441122	0.004734494
1200014M14RIK	2.3	0	0	0	0	4.5	0.500898236	0.435323622	0.68578715
1200014P05RIK	0	2.3	0	4.1	0	0	0.421826665	0.382892067	0.721277161
1200015F23RIK	30.9	45.3	54.6	37.6	80.9	23.8	0.118956587	0.206858623	0.846223733
1200015N20RIK	0.9	1.5	0	0.1	3.4	0.2	0.311201688	0.370974595	0.729468354
1200015P04RIK	8.2	8.6	6.1	5.9	4.8	6.5	-0.358596805	2.062187625	0.108183823
1200016B10RIK	136.6	114.1	115.3	107	73.7	120.4	-0.279075	1.378867521	0.240022204
1200016C12RIK	0	6	0	0	0	6.5	0.078002512	0.056523342	0.957635686
1200016D23RIK	12.4	5.4	10.8	16.6	17.3	7.5	0.490635118	1.122504752	0.324469271
1200016E24RIK	70.1	316.4	694.5	68.7	178.6	90.3	-1.670214417	1.341868381	0.250747946
1200016G03RIK	10.4	4.5	0	5.4	1.5	6.2	-0.152898899	0.17948026	0.866285611
1200016L19RIK	1.5	0.3	0.5	0	1.5	1.8	0.249359469	0.498135481	0.644532348
1200017F15RIK	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
1300001I01RIK	43.7	51.6	52.3	32	60.7	44.7	-0.101178834	0.388611614	0.717361862
LOC213560	0	0.7	0	7.6	3	4.7	2.306246473	3.570546713	0.023364311
1300002K09RIK	0.1	0	0	2.3	4.6	1.1	1.827163403	2.563098454	0.062432944
1300003B13RIK	3.3	0	0	0	2.9	0	-0.094636874	0.091050291	0.931829967
1300003O07RIK	0.3	1.1	1.8	0.1	4.2	1.7	0.537656786	0.735316024	0.502933101
1300006C19RIK	41	62	71.3	56.2	65.7	30.9	-0.186497303	0.52245444	0.628953949
1300007F04RIK	14.4	8.1	3.8	10.8	11.9	11.4	0.340518522	0.840216794	0.448075522
1300007L22RIK	0	0.6	0.9	0.9	2.9	1.9	0.9510904	2.204428301	0.092196505
1300010F03RIK	7.8	14.7	10.9	11.1	12.6	13.2	0.132450296	0.558021416	0.606585745
1300010M03RIK	0	0	0	3.1	0.3	0	1.093109404	1.148098423	0.314920744
1300011L04RIK	0	0	0	3.6	2.6	0	1.61667136	1.926246275	0.126359848
