Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
14	0.0215	geldanamycin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19500257	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=13017911	None	HME1	0.04um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_24H:BRD-A19500257:0.04
15	0.0215	withaferin-a	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K88378636	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=265237	None	HME1	0.37um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_24H:BRD-K88378636:0.37
16	0.0215	canertinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K50168500	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=156414	None	HME1	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K50168500:10
17	0.0198	Scriptaid	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K22503835	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5186	None	HA1E	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC003_HA1E_24H:BRD-K22503835:10.0
18	0.0198	BI 2536	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K64890080	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11364421	None	MDST8	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MDST8_6H:BRD-K64890080:10.0
19	0.0198	trichostatin A	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19037878	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6376322	None	PC3	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_PC3_6H:BRD-A19037878:10.0
20	0.0198	vorinostat	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K81418486	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311	http://www.drugbank.ca/drugs/DB02546	PC3	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC011_PC3_6H:BRD-K81418486:10.0
21	0.0198	HY-10192	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K50140147	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16038120	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_A375_6H:BRD-K50140147:10.0
22	0.0198	vorinostat	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K81418486	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311	http://www.drugbank.ca/drugs/DB02546	SKB	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC015_SKB_24H:BRD-K81418486:10.0
23	0.0198	BRD-K05151076	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K05151076	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9806489	None	SKB	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC017_SKB_24H:BRD-K05151076:10.0
24	0.0198	NVP-AUY922	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K65182930	None	None	HCC515	0.12um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HCC515_24H:BRD-K65182930:0.12
25	0.0198	trametinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K12343256	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11707110	None	HEPG2	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HEPG2_24H:BRD-K12343256:1.11
26	0.0198	PF-431396	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K93788137	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11598628	None	HS578T	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HS578T_3H:BRD-K93788137:10
27	0.0198	geldanamycin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19500257	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=13017911	None	HEPG2	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HEPG2_24H:BRD-A19500257:3.33
28	0.0198	AS-605240	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K41895714	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10377751	None	HEPG2	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HEPG2_24H:BRD-K41895714:3.33
29	0.0198	A443654	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K88573743	None	None	HME1	3.33um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_3H:BRD-K88573743:3.33
30	0.0198	geldanamycin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19500257	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=13017911	None	HS578T	0.37um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HS578T_24H:BRD-A19500257:0.37
31	0.0198	A443654	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K88573743	None	None	LNCAP	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_LNCAP_3H:BRD-K88573743:10
32	0.0198	mitoxantrone	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K21680192	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5458171	None	HA1E	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP008_HA1E_24H:BRD-K21680192:10
33	0.0182	vorinostat	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K81418486	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311	http://www.drugbank.ca/drugs/DB02546	HA1E	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC002_HA1E_24H:BRD-K81418486:10.0
34	0.0182	geldanamycin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19500257	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=13017911	None	HA1E	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC004_HA1E_24H:BRD-A19500257:10.0
35	0.0182	PP-110	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K03618428	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24905203	None	A549	22.2um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A549_6H:BRD-K03618428:22.2
36	0.0182	AS605240	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K41895714	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10377751	None	H1299	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_H1299_6H:BRD-K41895714:10.0
37	0.0182	BRD-A18763547	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A18763547	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2729027	None	HA1E	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HA1E_6H:BRD-A18763547:10.0
38	0.0182	BRD-K57080016	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K57080016	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10127622	None	HCT116	80.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HCT116_6H:BRD-K57080016:80.0
39	0.0182	BO2 (inhibits RAD51)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K10882151	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5738263	None	HT29	40.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HT29_24H:BRD-K10882151:40.0
40	0.0182	vorinostat	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K81418486	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311	http://www.drugbank.ca/drugs/DB02546	MCF7	11.1um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MCF7_6H:BRD-K81418486:11.1
41	0.0182	COT-10b	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K18190982	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707373	None	MDST8	44.4um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MDST8_6H:BRD-K18190982:44.4
42	0.0182	Bay 11-7821	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K15025317	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5353431	None	PC3	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_PC3_6H:BRD-K15025317:10.0
43	0.0182	Tpl2	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K00088062	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=17759555	None	SNGM	40.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_SNGM_6H:BRD-K00088062:40.0
44	0.0182	BRD-K68313733	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K68313733	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2449454	None	HT29	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC007_HT29_24H:BRD-K68313733:10.0
45	0.0182	NCGC00167398-02	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K66884694	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9266740	None	VCAP	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_VCAP_6H:BRD-K66884694:10.0
46	0.0182	vorinostat	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K81418486	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311	http://www.drugbank.ca/drugs/DB02546	MCF7	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_MCF7_6H:BRD-K81418486:10.0
47	0.0182	SEW 05685	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K64440589	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5703601	None	VCAP	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_VCAP_24H:BRD-K64440589:10.0
48	0.0182	BRD-A17065207	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A17065207	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5362868	None	ASC	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC016_ASC_24H:BRD-A17065207:10.0
49	0.0182	vorinostat	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K81418486	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311	http://www.drugbank.ca/drugs/DB02546	MCF7	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC019_MCF7_6H:BRD-K81418486:10.0
50	0.0182	BRD-K50234570	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K50234570	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4183496	None	VCAP	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC020_VCAP_24H:BRD-K50234570:10.0
