TargetID	cd1	cd2	cd3	gat1	gat2	gat3	logFC	student's t-test	p-value
0610010D20RIK	0.3	0.6	0.2	3.5	0	0	0.664815808	0.682104507	0.532624148
0610010D24RIK	27.5	17	52.4	9	10.5	18.7	-1.277840341	1.791583594	0.147678058
0610010E21RIK	425.3	264.5	171.5	178.7	100.8	287.6	-0.60031716	1.068082625	0.345656753
0610010F05RIK	9.9	11	10.9	14.2	22.6	13.1	0.604180416	1.997349681	0.116468492
0610010I05RIK	3479.3	1664.1	2184.4	2263.6	632.6	2203.7	-0.522653276	0.978197178	0.383363796
0610010K06RIK	146.1	128.4	175.3	98.2	162.9	158.3	-0.100264123	0.406513029	0.705175678
0610010K14RIK	77.4	111.2	70.6	92.7	114.4	138.7	0.411732355	1.579195921	0.189437063
0610011B16RIK	0	2.3	1.5	2	0.7	2.2	0.216317907	0.446108908	0.678602421
0610011F06RIK	34.3	40.9	32.3	55.5	36.5	60.9	0.496574558	1.929697322	0.125859202
1110005F07RIK	15.9	19.5	21	543	647.1	601	4.916653565	19.17571874	4.35824E-05
0610011L14RIK	3.2	1	1.1	1	1.5	0	-0.593679718	1.108530615	0.329794069
0610012A05RIK	5.5	0	4.4	0.6	0	6.1	-0.411314413	0.415479315	0.699111608
0610012D14RIK	0	4	0.9	0	0	0	-1.396890153	1.348170038	0.248888434
0610012G03RIK	399.6	248.8	290.8	320.7	410.6	444.3	0.322968934	1.35543752	0.246760717
0610012H03RIK	3.2	2.3	0.9	3.2	7.5	0	0.543443231	0.630447029	0.562625904
0610013E23RIK	2.3	3.1	1.3	0	0	6.1	-0.092118202	0.095286123	0.928670266
0610025G21RIK	4.1	0.3	2.4	2.5	1	0.8	-0.424885285	0.681424084	0.533011838
0610025J13RIK	0.8	0	1.4	0.1	2.1	0.2	0.054447784	0.086956522	0.934885142
0610025P10RIK	20.4	21.2	43.2	16.5	19.1	25.2	-0.460664516	1.012315855	0.368645967
0610030E20RIK	48.4	45.1	59	40.4	73.7	47.2	0.0794179	0.2669217	0.802725664
0610030G03RIK	2	4.5	0	3.8	0	1.8	-0.143590854	0.176199824	0.868697968
0610030P10RIK	2.4	1.3	0.3	0	0.4	8.4	0.753360032	0.570983675	0.598559417
0610031G08RIK	4.5	4.2	6.3	13.6	0	3.1	0.130198723	0.135986946	0.898400819
0610031J06RIK	172.2	178.8	199.9	211.9	174.7	214.8	0.125878122	1.094685184	0.335148188
0610033M06RIK	1.6	3.9	2	4.9	2.6	0	0	0	1
2310010B21RIK	0	0	0	25.1	22.7	30.5	4.760220946	11.3157851	0.000347643
0610037B23RIK	3.8	5.1	5	0.4	2.9	5.1	-0.567989422	1.29063895	0.266376268
0610037D15RIK	24.7	32.4	31.9	16.8	8	23.5	-0.842675035	2.643860654	0.057348428
0610037L13RIK	225.2	173.8	144.8	89.2	117	157.1	-0.577987542	1.961355277	0.121365902
0610037M15RIK	104.9	488.9	242.8	273.8	21.9	131.9	-0.963353847	1.018171094	0.366170365
0610037P05RIK	0	2.2	1.6	1.6	0	5	0.497499659	0.578334669	0.594037958
0610038B21RIK	0	1.1	0.8	0	0	0	-0.707819249	1.929157714	0.125937341
0610038D11RIK	21.6	22.9	13.8	21.4	33.5	26.2	0.456218727	1.68065563	0.168125511
0610038F07RIK	71.6	104.3	136.6	125.7	105.4	167.8	0.349196572	1.096580924	0.334410461
0610038F15RIK	0.6	0	0	0.9	0.8	3.6	1.20511443	1.669018937	0.170437369
0610039K10RIK	0	2.4	0.4	0.6	0.1	1.3	-0.214124805	0.325246251	0.761296113
0610040B10RIK	22.8	20.3	11.1	4.2	8.1	11.8	-1.077722295	2.40056019	0.074311165
0610040J01RIK	0	3.8	9.3	0.4	10.5	3.4	0.10371135	0.09921083	0.925744064
0610040O15RIK	16715.4	15553.2	16058	15715.8	14094.2	16715.4	-0.054795477	0.719410806	0.511677508
0610041E09RIK	0	0	0	2.2	0	0	0.793549123	1	0.373900966
0610042C05RIK	29.4	0	59.3	28.4	29.4	52.8	0.308969196	0.386574201	0.718755372
0710001C05RIK	4.9	2	3	8.2	5.5	0	0.372477037	0.495137648	0.646468338
0710001D07RIK	55.5	76.6	39.4	47.8	94.4	71.6	0.31313772	0.818157331	0.459204144
0710007C18RIK	3.9	5.2	9.2	6.4	2.4	5.3	-0.316857105	0.702935023	0.520853105
0710007G10RIK	19.9	35.3	43.5	38	47.6	49.9	0.445566297	1.568857792	0.191760479
0710007J16RIK	3.3	3.5	0.1	3.4	2	3.9	0.313157885	0.645357188	0.55384874
0910001A06RIK	38.8	38.5	50.3	17.4	44.7	37.5	-0.348124166	1.031841371	0.360447354
0910001L09RIK	720	857.4	1020.7	1010.3	3733.6	1415.6	1.244393876	1.39210039	0.236297051
0910001L17RIK	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
100041294	1373	1205.7	877.9	1085	1000.1	1287.5	-0.035461284	0.166120325	0.876120895
1010001D01RIK	4.5	4	3.6	3.4	2.8	5.5	-0.038732394	0.155230105	0.884158199
1010001I08RIK	0	0	1.8	0	0	2.7	0.247927513	0.277350098	0.795255008
1010001N08RIK	6	2.7	10.6	1.4	5.5	9.3	-0.215937399	0.31963859	0.765240525
10181072_290	4.1	3.1	4.2	4.3	4.4	0	-0.299560282	0.60313552	0.578947352
1100001E04RIK	0.3	0	1.1	0	0	0	-0.552541023	1.421484631	0.228229166
1100001F19RIK	581	373.7	148.3	344.8	178.8	246.2	-0.517184386	0.829342809	0.453534127
1100001G20RIK	43.5	56.4	33.2	122.2	370	102	2.133547099	1.778416834	0.149960725
1100001H23RIK	1.1	1	2.5	3.7	6	1.3	0.881355504	1.480783403	0.212777477
1100001I19RIK	0	0	0	0	0.2	0	0.093109404	1	0.373900966
1100001J08RIK	4.7	7.9	2.3	6.3	19.7	3.2	0.847101101	0.896573751	0.420628686
1100001L02RIK	2.1	0	3.3	0	4	3.3	0.294183104	0.404530105	0.706520374
1110001A07RIK	5.1	7.8	5.6	29.7	53.3	16.5	2.253215345	2.501012751	0.066694328
1110001C20RIK	57.3	37.9	28.2	35.8	45.6	37.8	-0.048752178	0.154492181	0.884703433
1110001C23RIK	195.9	225	286.7	160.2	340.1	294.2	0.16644683	0.480833296	0.655752466
1110001D15RIK	4	1.9	1.9	1.6	0	0.5	-1.08246216	2.249610558	0.087682989
PRCP	32.4	55	47.4	681.9	935.7	1051.1	4.277110226	7.731312087	0.001507262
NUDT6	3.3	1.8	4.9	85.8	63.1	62.8	4.045738663	8.766251571	0.00093353
1110001P04RIK	442.2	480.9	481.6	289.9	219.3	412.8	-0.605814638	2.773461046	0.05015294
1110002B05RIK	218.5	230.9	195.9	192.5	451.8	323	0.5817693	1.420656366	0.228452776
1110002D22RIK	490.6	505.9	537.2	764.7	554.3	614.3	0.333466949	2.079197141	0.10611931
1110002E22RIK	0	1.7	0	0	0	0	-0.647698256	1	0.373900966
1110002E23RIK	377.4	419.3	267.9	353	387	421.6	0.125463313	0.656012612	0.54763443
1110002H13RIK	0	0.2	0	0	0	0	-0.093109404	1	0.373900966
GRAMD4	0	0	0.5	7.7	18.3	20.1	3.810296197	3.925641015	0.017165895
OTTMUSG00000010673	1.3	5.5	0	22.5	34.8	65	3.676460855	3.023208029	0.039039992
1110003E01RIK	1452.9	1558.3	1580.2	745.4	1344.6	1811.3	-0.234812555	0.739697724	0.50054376
1110003E08RIK	20.5	6.2	5.7	5.1	10.5	10.4	-0.28769646	0.412671405	0.701007766
1110003F05RIK	20.6	21.6	15.4	10.2	27.5	5.6	-0.3883056	0.686999986	0.529840754
1110003O08RIK	74.2	70.9	124	92.8	126.3	129.1	0.368155888	1.270011452	0.272931904
1110003P22RIK	68.3	96.2	94.7	120.5	273.9	140.9	1.03774274	1.880487857	0.133206099
1110004E09RIK	1.3	1.6	7	0	0	3.3	-1.033947332	1.02132436	0.364843214
1110004F10RIK	1.1	3.2	0	0	0	0	-1.282933963	1.526974772	0.201476999
1110004P21RIK	67.5	42.4	39.9	32.3	25	31.6	-0.733507777	2.227200989	0.089889936
1110005A03RIK	0	0.1	1.2	0	0.1	0.9	-0.10433666	0.209019904	0.844645762
1110005A23RIK	15.7	30.3	18.6	28.1	22.1	23.7	0.185960352	0.644544662	0.554324607
3830402I07RIK	1.8	1.6	0	12	18.7	22.3	3.129283017	5.383359832	0.005755708
1110006E14RIK	1	0	0.6	7.9	2.3	3.6	1.868755467	2.368597168	0.076938427
1110006G06RIK	41.3	38.9	37.8	24.4	38.5	35.9	-0.249269486	1.43700338	0.224079737
1110006G14RIK	0	0	0	6	0	0.6	1.678071905	1.15311332	0.313080396
1110006O17RIK	2.2	0	0	0	0.8	0	-0.452512205	0.59805036	0.582020773
1110007A13RIK	115.3	126.8	240.2	145.5	229.7	182.8	0.209123911	0.540215918	0.617721105
1110007B02RIK	2.4	0	1.8	0.1	0	1.5	-0.646363045	0.997788423	0.374851502
1110007C09RIK	2	2.6	0.6	4.4	2.7	3.9	0.771731012	2.484447034	0.067886864
1110007F05RIK	4.4	0.5	1.4	0.6	0	0	-1.36923381	1.588859819	0.187291427
1110007H17RIK	2.5	0	0.8	0	0.9	0	-0.691877705	1.00524938	0.371653187
1110007L15RIK	260.7	218.1	252.9	315.3	276.1	210.6	0.131833509	0.705196228	0.519586749
1110007M04RIK	788.4	617.8	520.4	619.4	217.9	465.9	-0.562925999	1.476183045	0.213937573
1110008B24RIK	576.2	541.9	460.4	550.4	448	543.5	-0.033780099	0.255994135	0.810581344
1110008F13RIK	311.1	274.2	156.2	302.4	490.9	338.5	0.608094302	1.751255996	0.154788981
1110008J03RIK	8	5.5	3.5	3.3	6.8	4.5	-0.184424571	0.482515639	0.654656596
1110008L16RIK	26.3	32.2	41.3	40.2	39.2	33.4	0.171794989	0.893370573	0.422150876
MND1	9.3	7.6	5.1	59	103.9	40.6	3.046141782	3.211448895	0.032544022
1110011C06RIK	85.2	137.5	161.2	98.3	166.8	180.1	0.21218192	0.603518371	0.578716396
MAP3K6	1.8	0.4	0	15.3	17.5	6	3.006919414	3.420859552	0.026759053
1110012F10RIK	34.1	49.7	87.4	44.6	64.6	56.8	-0.043721377	0.102822032	0.923052861
1110012J17RIK	0	0.8	0	0	0	1.5	0.243925583	0.411764706	0.701620616
1110012L19RIK	36.9	32.7	17	27	35.1	30.4	0.092002001	0.302783157	0.777148013
1110012N22RIK	6	6.2	11.1	14.6	10.3	19.7	0.855898774	2.227224549	0.089887583
1110012O05RIK	976.8	1023.5	901	673.6	800.8	1059.3	-0.195237574	1.030093327	0.361174743
2410072D24RIK	0.7	1.1	0.2	16.1	16.5	4.5	3.003602237	2.966809324	0.041274641
1110014C03RIK	0	0	0	0	1	0	0.415037499	1	0.373900966
1110014J17RIK	125.3	134.9	172.7	246.9	210.9	168.3	0.529292158	2.391162362	0.075072941
1110014N23RIK	87.7	93.5	105.3	75.7	102.2	81.1	-0.143996536	0.954751765	0.39376919
1110014O20RIK	130.2	198.7	185.3	457.6	374.1	195.9	0.994690317	2.139889373	0.099100131
1110015C02RIK	1.8	0	2.2	0	0.8	0	-0.881355504	1.466717595	0.216344664
1110015M06RIK	0	0.5	0	0	0.3	1.4	0.425305835	0.875189949	0.43087673
VNN3	0	2	0	4.9	12	14.2	2.769771739	3.363094513	0.028223734
1110017F19RIK	7.5	14.4	11.2	31.8	56	5.1	1.409531978	1.343755761	0.250189589
1110017I16RIK	0	0	0	0	5.3	1.8	1.751320887	1.52100182	0.202903171
1110018G07RIK	326.2	420	576.8	548.7	458.9	443.1	0.132648796	0.531046959	0.623504351
1110018H23RIK	0	0	0	0	0.5	0	0.222392421	1	0.373900966
1110018J18RIK	34.2	36.2	23.1	16.8	20.9	22.6	-0.608323443	2.501975594	0.066625753
1110018J23RIK	0	0	0	0	2.3	2.7	1.415037499	1.981072129	0.118655951
1110018M03RIK	0	0	2.4	0	0	0	-0.847996907	1	0.373900966
1110018N20RIK	0	2.5	3.6	2	0.9	0	-0.625151591	0.880104519	0.428503496
1110019B22RIK	0	1.9	0	8.1	1.1	2	1.535037275	1.354815971	0.246941988
1110019K23RIK	4.1	4.3	3.1	5.1	1.9	1.4	-0.347019076	0.849076105	0.443667242
1110019N10RIK	119.3	80.1	71.6	105.7	70.7	101.5	0.035880731	0.125191403	0.906411772
1110020A21RIK	0	0	0.8	0	0	0	-0.341036918	1	0.373900966
1110020C03RIK	0.2	1	0	0.2	0	0	-0.392317423	1.066003582	0.34649037
1110020C17RIK	3	0	5.1	3.9	2.1	0.9	-0.165059246	0.232889004	0.827279186
1110020G09RIK	4.9	4.3	1.2	2.2	0	1	-1.11189288	1.83057421	0.141133466
1110020N13RIK	6.4	1	7.1	4.4	3	2.5	-0.439983856	0.76307174	0.487941708
1110020P15RIK	2352.7	2023.3	2204.6	2016.7	2890.8	2488.4	0.168434116	1.006702368	0.371033106
MRAP	0	0	0	8.2	3.4	4.9	2.700439718	3.879400887	0.017850352
1110021L09RIK	0	2	0	0.9	0.9	2	0.443606651	0.788594318	0.474458669
1110021P09RIK	1.7	0	0	0	0	1.1	-0.197036847	0.296318879	0.781734643
1110025H03RIK	0	1.8	3.4	1	0.9	0	-0.742842161	1.065625578	0.346642129
1110025L11RIK	0.2	0.2	0	0	0	0	-0.180572246	2	0.116116524
1110027O12RIK	4.2	0	2.4	1.8	2.7	2	-0.015106892	0.026735674	0.97995123
1110028A07RIK	0.1	0	0	0	0	0.3	0.090197809	0.632455532	0.561438044
1110028C15RIK	2.6	0	0	1.8	0	0	-0.222392421	0.252982213	0.812751378
1110028F11RIK	0.9	0.6	0.4	6.5	4.3	0.1	1.504231229	1.593232318	0.186328882
1110029I05RIK	23.3	66.1	43.3	91.8	53.1	30.5	0.394694895	0.654302596	0.548628439
1110029L17RIK	274.9	257.3	140.3	151	94.2	71.6	-1.078785831	2.449980185	0.070446786
1110031B06RIK	12	12.2	9.5	17.4	7.1	13.7	0.166864274	0.47845274	0.657304938
1110031B11RIK	0	0	0.8	0	0	0.1	-0.293731203	0.868243142	0.434249637
1110031I01RIK	12.8	10.1	16.1	10.6	9.6	6.4	-0.504792152	1.924157951	0.126663852
1110031I02RIK	26	38.9	31.2	57.5	21.7	29.5	0.172672223	0.36531562	0.733373347
1110032A03RIK	5.2	0.9	0	0	0	1	-1.185866545	1.037365621	0.358157129
1110032A04RIK	0	0.6	0	0	1.7	0	0.38466385	0.610170216	0.574713431
1110032A13RIK	255.4	237.5	267.4	272.6	584.8	278	0.576685471	1.207543871	0.293739226
1110032D16RIK	0	0	0	0	0	1.7	0.647698256	1	0.373900966
1110032E23RIK	1.5	0	1.9	2.5	9.9	4.3	1.622051819	1.925918832	0.126407462
1110032F04RIK	1.2	0	0	0	0.4	0	-0.304854582	0.632455532	0.561438044
1110033C18RIK	14.9	8.9	14.7	3	6.8	9.3	-0.909064967	2.405718749	0.073896746
1110033F04RIK	0	0.5	0	0	0	0.3	-0.084888898	0.34299717	0.74886845
1110033K02RIK	15.8	19.8	37.2	22.8	25.4	25.1	0.009485209	0.025175902	0.981120567
REM1	0	0	0	3.7	5.3	7.1	2.670538232	5.464696078	0.005453316
1110033M05RIK	40.9	47.8	34.3	38.2	45.5	48.1	0.097396763	0.599124852	0.581370464
SMAD2	5.7	19.1	22.2	70.8	114.4	101.1	2.532566323	5.755530966	0.004519577
P2RY13	10.3	16	17.9	92.3	102.6	68.7	2.497818016	7.106839409	0.002071046
1110034B05RIK	0	0	0	1.2	0	0.3	0.584962501	1.386750491	0.237796144
1110034G24RIK	14	13.5	13	5	13	17.9	-0.161245246	0.406649943	0.70508288
1110034O24RIK	164.5	174	363.9	363.3	298.4	246.6	0.369484492	0.937718658	0.40147902
1110035H17RIK	20.9	23.1	18.6	5.2	15	32	-0.249027548	0.436824437	0.684784934
1110036D12RIK	0	2.1	2.2	3.2	0.6	1.5	0.185214872	0.318464878	0.766067206
1110036O03RIK	0	0	0.6	1.4	0	0	0.289506617	0.525225731	0.627193176
1110037F02RIK	85.4	64.3	71	40.3	62.7	51.6	-0.505297722	2.454790795	0.070082978
1110037J23RIK	0	0	2	3.9	0	1.9	0.815575429	0.968015424	0.387853253
1110037P13RIK	11.7	11.4	4.7	8.1	6.9	3.2	-0.538866086	1.176696811	0.304558785
1110038B12RIK	142	128.9	78.7	226.8	151.2	242	0.821199689	2.645798896	0.057232385
BTG4	0	0	0.3	2.7	5.3	7.1	2.455451768	3.850981814	0.018287276
1110038F14RIK	98	89.6	91.4	68.2	73	88.1	-0.279706008	2.542174546	0.063833321
1110038G02RIK	31.6	31.2	13.6	32.9	30.9	28.5	0.263337207	0.873257366	0.43181291
1110039B18RIK	25.4	30.3	41.1	83.3	39	55.9	0.860471235	1.978317195	0.119030596
1110046J11RIK	255.2	308	575.5	186.9	369.6	518.9	-0.082291208	0.152890086	0.885887447
1110048D14RIK	0.3	0	3.5	0	4.1	4.5	0.770518154	0.877820347	0.429605183
1110049B09RIK	1.8	1.1	0.2	0	1.5	3	0.298081353	0.475190963	0.659435492
1110049F12RIK	151.2	127	104.2	167.5	159.1	154.6	0.329246508	2.33794589	0.079556952
1110049L02RIK	0	0.9	0.8	0	0	1.1	-0.197036847	0.430774895	0.688829475
1110049N09RIK	4	6	4.8	7	4.6	4.4	0.094122177	0.393073069	0.714315048
1110050B14RIK	8.1	6.1	5.9	1.6	8	7.2	-0.222392421	0.515876955	0.633144968
1110051M20RIK	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
1110051N18RIK	4.8	2.3	0.7	2.7	3.9	1.7	0.06529146	0.123278418	0.907832763
1110054B14RIK	8.8	10.4	7.7	7.4	8.8	4.7	-0.323134866	1.392715036	0.236125423
1110054H05RIK	4.6	6.2	8.6	9.5	6	6	0.129283017	0.425045483	0.692671617
1110054O05RIK	9.1	6.8	6	8.6	11.8	11.9	0.503522441	2.428475205	0.072099602
1110054P19RIK	1.2	0.2	0	0.2	0	0	-0.459431619	1.060660172	0.348641139
1110055N21RIK	111.9	80	105.4	152.8	135.1	119.9	0.452031707	2.70732517	0.053685632
1110057K04RIK	64.9	96.5	82.8	113.8	97.1	108.6	0.383620417	2.414726982	0.073179328
1110057P08RIK	0	0	0	0	0	0.1	0.047305715	1	0.373900966
1110058L19RIK	204.1	274.4	184.5	302.9	206.7	308.7	0.302387121	1.207174981	0.293866453
1110059E24RIK	120.9	113.5	335.2	107.3	101.6	236.3	-0.353385021	0.488035087	0.651068643
1110059G02RIK	27.6	41.4	33	19.9	79.3	31.8	0.351843673	0.520168703	0.630408466
1110059G10RIK	31.2	25.1	79.9	16	4.9	28.4	-1.41227636	1.555614978	0.194779615
1110059H15RIK	0	0	0	3.6	0	0	1.137503524	1	0.373900966
1110059M19RIK	1.7	0	2.5	1.5	0	2.3	-0.08246216	0.133481729	0.900258582
1110059P08RIK	11.2	16	16.2	11.7	15.5	22.2	0.175442006	0.575144453	0.595997491
1110062G22RIK	4.1	3.8	8.9	0	0.6	5.3	-1.153623189	1.543965107	0.197475938
1110062M06RIK	10.7	22.3	5.5	33.8	173.6	27.1	2.516744272	1.36073351	0.245221464
1110064P04RIK	1.2	1.6	1.3	2.9	0	0	-0.26710407	0.410631546	0.702386919
LOC384670	0	0	0	2.3	3.5	7.4	2.432959407	2.858107131	0.046017333
PILRA	23.6	21.9	22.7	111.5	183.8	82.7	2.419841851	3.433513836	0.026450341
1110067D22RIK	9.7	5.2	1.5	7.7	6.1	2.8	0.014797002	0.024021533	0.981986016
1110068E08RIK	51.9	65.5	74.5	118.7	80.6	143.2	0.82595162	2.592827787	0.060503348
1110069O07RIK	1.8	1.9	0	0	0	0.6	-0.896164189	1.592363041	0.186519833
1110070O15RIK	26.3	10.4	7.1	11.7	9.2	7.3	-0.584962501	0.857738644	0.439390697
1190002A17RIK	14.3	12.9	10.9	8.2	36.6	20	0.722146879	1.072782396	0.343778948
1190002A23RIK	0	0	0	3	2.3	0	1.468148836	1.949636516	0.123008493
1190002F15RIK	27.1	85.6	42.2	116.7	230.6	73.6	1.424712795	1.773064636	0.150899335
1190002H23RIK	2836.5	2704.4	925	1261.2	382.2	528	-1.57290305	2.124919173	0.100782387
1190002N15RIK	17.5	16.4	9.5	22.2	25.4	14.9	0.497370101	1.595549463	0.185820869
1190003J15RIK	3.6	5.5	6.1	7.9	4.3	5.3	0.171685459	0.584766762	0.590099839
1190003K10RIK	2.6	0.6	3	0	2.5	3.3	-0.064130337	0.107481843	0.919582042
1190003M12RIK	4	3.8	3.6	6.5	2.8	1.1	-0.103835811	0.208559758	0.844981646
1190004M23RIK	4.2	0	4.6	0	2.6	0	-1.075288127	1.210346655	0.292774261
1190005F20RIK	27.4	48.7	88.2	81.2	83.8	149.6	0.924773467	1.751613822	0.154724309
1190005I06RIK	1.4	0	0.1	1.4	0	0	-0.032421478	0.05136655	0.96149625
1190005N23RIK	33.9	35.4	30.1	23	29.2	33	-0.215365154	1.428380612	0.226375903
1190007F08RIK	10	60.9	13	307.8	41.3	20.1	2.098649973	1.011418547	0.369026643
1190007I07RIK	0.3	2.4	3.4	28.4	4.5	52	3.271924715	1.911338136	0.128547551
1190008K20RIK	20.4	32.2	30.9	23.3	14.3	11	-0.745329067	2.219825127	0.090629873
1190009E20RIK	10	28.8	44.3	136.8	183.6	49.1	2.113155283	2.348568431	0.07863824
RUSC2	0	0	0	3.9	6.6	2.2	2.387730153	3.304558719	0.029805858
FCGR1	1.9	0.7	0.9	12.7	12.6	5.6	2.38277365	3.838649583	0.018480858
1190020E20RIK	0	0	0	0	2.8	0	0.9510904	1	0.373900966
1190020J12RIK	8	6.2	15	2.8	11.4	10.8	-0.201633861	0.362824739	0.735095294
1190028D05RIK	2.4	3.8	0	1.6	1.4	3.6	0.061400545	0.101534617	0.924012151
381484	14.8	10.9	7.7	49.2	94.3	39.7	2.354842717	2.943122101	0.042257551
1200002N14RIK	28.7	56.8	24.7	54.5	438.5	56.7	2.287622654	1.144228464	0.316347755
1200003C05RIK	116.5	163.8	174.7	147.8	176.9	163.9	0.102137317	0.567200304	0.600895077
1200003E11RIK	2.9	2.3	2.3	4.5	5.6	0.6	0.383786565	0.697136322	0.524110826
XRCC3	3.8	2.7	0	16.2	18.4	10.8	2.349007629	5.136684482	0.006806896
1200003N10RIK	1.7	1.1	3.7	0	3	0	-0.662965013	0.917249232	0.41091262
1200007C13RIK	3.2	1.8	1.3	2.8	3.1	1.5	0.161280907	0.48804608	0.651061508
1200008A14RIK	3.2	4.6	5.9	5	5.8	4.3	0.116141595	0.523204565	0.628477053
1200008N06RIK	3.8	0.8	3.5	2.5	2.3	0.6	-0.402098444	0.797574858	0.469783475
1200009F10RIK	0	0	0	0	0.2	0	0.093109404	1	0.373900966
1200009I06RIK	2.2	0	0	0.8	2.7	0	0.321928095	0.399103614	0.710206892
1200009O22RIK	0.7	0.4	0	0	3.3	1.1	0.851901361	1.10991011	0.329264893
1200011A11RIK	0.4	1.7	2.8	1.1	2.3	0	-0.303780748	0.520657601	0.630097187
1200011I18RIK	3.8	2.5	2.3	3.4	2.8	6.1	0.399406848	1.102636917	0.332063629
1200011M11RIK	2.9	2.6	0	0	2.8	0	-0.551409941	0.686465329	0.530144233
1200011O22RIK	87	106	67.3	195.7	237.1	109.3	1.049813399	2.39198073	0.075006254
1200012P04RIK	4.3	0	4.1	0.4	1.2	0	-1.309328058	1.568720322	0.191791571
1200013B08RIK	128.2	173.2	315.1	106.3	1109.3	453.8	1.432743761	1.172229273	0.306156328
1200013F24RIK	1.5	1.9	2.2	0	1.4	0	-0.966833136	2.751511485	0.051294706
1200014J11RIK	74.9	111.1	137.5	145.5	199.8	228.8	0.821738339	2.746184702	0.051576312
1200014M14RIK	0	0	0	0	0	0	0	#DIV/0!	#DIV/0!
1200014P05RIK	3.4	0	1.8	0.1	0.9	2.8	-0.270089163	0.368293549	0.731317191
1200015F23RIK	28.4	21.2	15.4	26.3	16.6	34.9	0.248820547	0.657743528	0.546629553
1200015N20RIK	0	0.3	2.1	0	0.4	0	-0.667424661	0.996270963	0.375504922
1200015P04RIK	6	6.3	8.6	6.3	1.7	4.5	-0.624742403	1.783202379	0.149126754
1200016B10RIK	117	102.6	212.6	89.2	77.4	103.1	-0.674363856	1.534123162	0.199783614
1200016C12RIK	2.4	0	0	0	2	0	-0.111031312	0.12803688	0.904298898
B930059J09RIK	1	0	0.2	5.2	6.5	6.5	2.335603032	10.68780843	0.000434176
1200016E24RIK	210.8	123	60.2	89.5	55	44.4	-1.048784296	1.494461764	0.209365608
1200016G03RIK	0.7	4.7	1.6	3.5	12.1	8	1.411426246	2.002472279	0.115789249
1200016L19RIK	0	0	0.1	2.9	3.6	0	1.615659298	1.934956977	0.125100319
1200017F15RIK	0	2.2	0.6	0	0	0	-0.9510904	1.421484631	0.228229166
1300001I01RIK	39.6	33.2	36.9	29.5	46.4	37.9	0.051552759	0.261843222	0.806373082
1300002E11RIK	0.6	4.5	4.6	1.3	1	0.9	-1.034488376	1.638366249	0.176687765
1300002K09RIK	0	0	1	1	3	0.4	0.887525271	1.327476976	0.255045733
1300003B13RIK	0	0	0	0	0.8	0	0.341036918	1	0.373900966
1300003O07RIK	3.6	1	3	1	2.7	3.7	-0.027480736	0.059895275	0.955112086
1300006C19RIK	228.4	150.7	30.3	42.6	29.5	37.5	-1.872837505	1.730338451	0.15861976
1300007F04RIK	0	0	1	1.6	5.9	1.1	1.5360529	1.624391512	0.179616273
1300007L22RIK	2	0	0	7.2	1.8	0.4	1.310340121	1.132712034	0.320629663
1300010F03RIK	13.3	11.2	15.6	12.3	15.5	7.9	-0.155354303	0.576705213	0.595038303
1300010M03RIK	0	0.2	0.8	1.7	0	0	0.232660757	0.379071253	0.723898463
1300011L04RIK	1.9	0.1	4.2	1.4	0.7	6.4	0.321928095	0.356342976	0.739584943
