Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
30	0.0299	alvocidib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K87909389	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5287969	None	MDAMB231	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MDAMB231_3H:BRD-K87909389:10
31	0.0280	vorinostat	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K81418486	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311	http://www.drugbank.ca/drugs/DB02546	HA1E	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC001_HA1E_6H:BRD-K81418486:10.0
32	0.0280	vorinostat	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K81418486	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311	http://www.drugbank.ca/drugs/DB02546	A375	11.1um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A375_6H:BRD-K81418486:11.1
33	0.0280	BRD-K79222491	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K79222491	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=45100452	None	A549	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC009_A549_6H:BRD-K79222491:10.0
34	0.0280	dactinomycin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K70578146	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=457193	None	MCF7	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC010_MCF7_6H:BRD-K70578146:10.0
35	0.0280	F3055	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K87909389	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5287969	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC012_A375_6H:BRD-K87909389:10.0
36	0.0280	S1030	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K02130563	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6918837	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC012_MCF7_24H:BRD-K02130563:10.0
37	0.0280	KM 00927	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K85493820	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2819152	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_A375_6H:BRD-K85493820:10.0
38	0.0280	BRD-K38615104	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K38615104	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10172943	None	HCC515	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_HCC515_6H:BRD-K38615104:10.0
39	0.0280	PF-562271	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99545815	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11713159	None	HS578T	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HS578T_3H:BRD-K99545815:10
40	0.0280	AT-7519	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K13390322	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11338033	None	HS578T	3.33um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HS578T_3H:BRD-K13390322:3.33
41	0.0280	BMS-387032	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K43389698	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3025986	None	HS578T	3.33um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HS578T_3H:BRD-K43389698:3.33
42	0.0280	JNK-9L	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K19220233	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=59588070	None	MCF10A	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_3H:BRD-K19220233:10
43	0.0280	BMS-387032	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K43389698	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3025986	None	MCF10A	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF10A_3H:BRD-K43389698:10
44	0.0280	BMS-387032	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K43389698	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3025986	None	MCF7	3.33um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF7_3H:BRD-K43389698:3.33
45	0.0280	AT-7519	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K13390322	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11338033	None	MDAMB231	10um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MDAMB231_3H:BRD-K13390322:10
46	0.0262	Daunorubicin hydrochloride	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A68009927	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3085107	None	HCC515	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC003_HCC515_24H:BRD-A68009927:10.0
47	0.0262	DOXORUBICIN	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A52530684	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6916127	None	HCC515	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC004_HCC515_6H:BRD-A52530684:10.0
48	0.0262	vorinostat	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K81418486	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5311	http://www.drugbank.ca/drugs/DB02546	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC005_A375_6H:BRD-K81418486:10.0
49	0.0262	HDAC6 inhibitor ISOX	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K69840642	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24951314	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A375_6H:BRD-K69840642:10.0
50	0.0262	geldanamycin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19500257	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=13017911	None	HT29	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HT29_6H:BRD-A19500257:10.0
