Rank	score	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
11	0.0331	BRD-A35588707	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A35588707	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6708778	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC016_MCF7_24H:BRD-A35588707:10.0
12	0.0331	mitoxantrone	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K21680192	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5458171	None	A549	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_A549_24H:BRD-K21680192:3.33
13	0.0331	mitoxantrone	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K21680192	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5458171	None	A549	3.33um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_A549_24H:BRD-K21680192:3.33
14	0.0331	palbociclib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K51313569	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5330286	None	LNCAP	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_LNCAP_24H:BRD-K51313569:10
15	0.0314	BMS-536924	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K34581968	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11353973	None	A375	11.1um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A375_24H:BRD-K34581968:11.1
16	0.0314	BRD-K53414658	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K53414658	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9911830	None	A375	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A375_24H:BRD-K53414658:10.0
17	0.0314	atorvastatin	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-U88459701	None	None	A375	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A375_24H:BRD-U88459701:10.0
18	0.0314	PP-110	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K03618428	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=24905203	None	MCF7	22.2um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MCF7_24H:BRD-K03618428:22.2
19	0.0314	BMS-536924	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K34581968	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11353973	None	MCF7	11.1um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MCF7_24H:BRD-K34581968:11.1
20	0.0314	BRD-K68548958	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K68548958	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=1285940	None	MCF7	20.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MCF7_24H:BRD-K68548958:20.0
21	0.0314	KUC104495 KUC104495N	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K73044744	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44640181	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC008_A375_6H:BRD-K73044744:10.0
22	0.0314	3191	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K09485525	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=421610	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_MCF7_24H:BRD-K09485525:10.0
23	0.0314	BRD-K60230970	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K60230970	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=462382	None	A549	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC017_A549_24H:BRD-K60230970:10.0
24	0.0314	BRD-K06426971	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K06426971	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=481747	None	HEPG2	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC017_HEPG2_6H:BRD-K06426971:10.0
25	0.0298	phorbol-12-myristate-13-acetate (PMA)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A15079084	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4792	None	HCC515	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HCC515_24H:BRD-A15079084:10.0
26	0.0298	TG101348	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K12502280	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16722836	None	MCF7	11.1um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MCF7_24H:BRD-K12502280:11.1
27	0.0298	Emetine Dihydrochloride Hydrate (74)	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K01976263	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11957493	None	MCF7	0.63um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MCF7_6H:BRD-K01976263:0.63
28	0.0298	BRD-K34014345	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K34014345	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3032818	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC015_MCF7_24H:BRD-K34014345:10.0
29	0.0298	BRD-K65814004	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K65814004	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3101	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC017_MCF7_24H:BRD-K65814004:10.0
30	0.0298	mitoxantrone	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K21680192	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5458171	None	HEPG2	0.37um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HEPG2_24H:BRD-K21680192:0.37
31	0.0298	palbociclib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K51313569	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5330286	None	HME1	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HME1_24H:BRD-K51313569:10
32	0.0298	mitoxantrone	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K21680192	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5458171	None	LNCAP	1.11um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_LNCAP_24H:BRD-K21680192:1.11
33	0.0281	TG101348	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K12502280	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16722836	None	A375	11.1um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A375_24H:BRD-K12502280:11.1
34	0.0281	BRD-K28907958	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K28907958	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=135411	None	A549	11.1um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A549_24H:BRD-K28907958:11.1
35	0.0281	B675700.cdx	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K88510285	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=387447	None	MCF7	0.04um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_MCF7_24H:BRD-K88510285:0.04
36	0.0281	penfluridol	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K15409150	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=33630	None	PC3	30.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_PC3_6H:BRD-K15409150:30.0
37	0.0281	Ingenol 3, 20-dibenzoate	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A52650764	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5225086	None	SW620	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_SW620_6H:BRD-A52650764:10.0
38	0.0281	BRD-K44432556	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K44432556	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46742353	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC012_MCF7_24H:BRD-K44432556:10.0
39	0.0281	BRD-K98490050	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K98490050	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3926765	None	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC015_A375_6H:BRD-K98490050:10.0
40	0.0281	BRD-K37991163	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K37991163	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=62878	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC015_MCF7_24H:BRD-K37991163:10.0
41	0.0281	BRD-A62184259	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A62184259	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2900	None	A549	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC017_A549_6H:BRD-A62184259:10.0
42	0.0281	BRD-K93034159	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K93034159	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=20279	http://www.drugbank.ca/drugs/DB00242	A375	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC020_A375_6H:BRD-K93034159:10.0
43	0.0281	mitoxantrone	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K21680192	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5458171	None	MCF7	0.37um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MCF7_24H:BRD-K21680192:0.37
44	0.0281	PHA-793887	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K64800655	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46191454	None	PC3	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_PC3_24H:BRD-K64800655:10
45	0.0264	EMETINE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A25687296	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5702048	None	HCC515	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC004_HCC515_6H:BRD-A25687296:10.0
46	0.0264	CYCLOHEXIMIDE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K36055864	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6197	None	HCC515	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC004_HCC515_6H:BRD-K36055864:10.0
47	0.0264	PERHEXILINE MALEATE	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A19633847	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5284439	None	A375	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A375_24H:BRD-A19633847:10.0
48	0.0264	BRD-K28907958	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K28907958	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=135411	None	A375	11.1um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A375_24H:BRD-K28907958:11.1
49	0.0264	curcubitacin I	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A28105619	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707401	None	A549	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A549_24H:BRD-A28105619:10.0
50	0.0264	BRD-K17140735	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K17140735	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4259181	None	A549	11.1um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A549_6H:BRD-K17140735:11.1
