	SC	BMC
1110001C23RIK	0.16644683	0.322564594
1110001D15RIK	-1.08246216	0.180572246
1110001J03RIK	0.437063806	0.107262131
1110001N06RIK	0.698128559	0.495822774
1110001P04RIK	-0.605814638	-0.22109385
1110002B05RIK	0.5817693	0.150158646
1110002D22RIK	0.333466949	-0.160393483
1110002E22RIK	-0.647698256	1.349149564
1110002E23RIK	0.125463313	-0.007576035
1110002H13RIK	-0.093109404	0.132450296
1110002L01RIK	1.157541277	0.1740294
1110002N22RIK	0.605109919	0.294104413
1110003E01RIK	-0.234812555	0.369612826
1110003E08RIK	-0.28769646	0.690831136
1110003F05RIK	-0.3883056	-0.647375108
1110003O08RIK	0.368155888	0.632397844
1110003P22RIK	1.03774274	0.136958662
1110004E09RIK	-1.033947332	-0.188072348
1110004F10RIK	-1.282933963	0.902702799
1110004P21RIK	-0.733507777	-0.414564717
1110005A03RIK	-0.10433666	0.748461233
1110005A23RIK	0.185960352	-0.415839665
1110005F07RIK	4.916653565	3.501524297
1110006E14RIK	1.868755467	0.222392421
1110006G06RIK	-0.249269486	0.249240606
1110006G14RIK	1.678071905	-0.726239188
1110006O17RIK	-0.452512205	-1.614709844
1110007A13RIK	0.209123911	0.454869565
1110007B02RIK	-0.646363045	-0.169925001
1110007C09RIK	0.771731012	0.546282033
1110007F05RIK	-1.36923381	-1.139724764
1110007H17RIK	-0.691877705	-1.242856524
1110007L15RIK	0.131833509	-0.596387757
1110007M04RIK	-0.562925999	-0.006051788
1110008B24RIK	-0.033780099	-0.065939136
1110008F13RIK	0.608094302	0.232183935
1110008J03RIK	-0.184424571	0.234055339
1110008L16RIK	0.171794989	0.103454268
1110008P14RIK	0.465725555	0.182667143
1110011C06RIK	0.21218192	0.324639079
1110012D08RIK	-0.847881079	-0.136006693
1110012F10RIK	-0.043721377	0.093799304
1110012J17RIK	0.243925583	-0.156725504
1110012L19RIK	0.092002001	0.46016908
1110012N22RIK	0.855898774	1.425305835
1110012O05RIK	-0.195237574	0.341508464
1110013L07RIK	-0.644668747	0.37497801
1110014C03RIK	0.415037499	0.197939378
1110014J17RIK	0.529292158	-0.049719042
1110014N23RIK	-0.143996536	0.057832871
1110014O20RIK	0.994690317	-0.080060574
1110015C02RIK	-0.881355504	-0.765534746
1110015M06RIK	0.425305835	-0.425305835
1110017D15RIK	-1.995540352	-1.281249141
1110017F19RIK	1.409531978	-0.005767642
1110017I16RIK	1.751320887	-1.041820176
1110018G07RIK	0.132648796	-0.211479337
1110018H23RIK	0.222392421	0.0
1110018J18RIK	-0.608323443	0.133266531
1110018J23RIK	1.415037499	0.02075856
1110018M03RIK	-0.847996907	0.031026896
1110018N20RIK	-0.625151591	-0.450661409
1110019B22RIK	1.535037275	0.61667136
1110019K23RIK	-0.347019076	-0.147557188
1110019N10RIK	0.035880731	-0.117416063
1110020A21RIK	-0.341036918	-0.033947332
1110020C03RIK	-0.392317423	-0.291462814
1110020C17RIK	-0.165059246	0.648014671
1110020G09RIK	-1.11189288	-1.633217669
1110020N13RIK	-0.439983856	0.072684454
1110020P15RIK	0.168434116	0.016063429
1110021J02RIK	1.258499502	0.150367586
1110021L09RIK	0.443606651	-1.230612928
1110021P09RIK	-0.197036847	-0.032421478
1110025H03RIK	-0.742842161	-1.166192283
1110025L11RIK	-0.180572246	-0.180572246
1110027O12RIK	-0.015106892	0.584962501
1110028A07RIK	0.090197809	-0.08246216
1110028C15RIK	-0.222392421	-0.763932642
1110028F11RIK	1.504231229	0.499232627
1110029I05RIK	0.394694895	-1.528301637
1110029L17RIK	-1.078785831	-1.158745713
1110031B06RIK	0.166864274	-0.023458973
1110031B11RIK	-0.293731203	-1.378511623
1110031I01RIK	-0.504792152	-0.828298936
1110031I02RIK	0.172672223	-0.168584829
1110032A03RIK	-1.185866545	1.165586066
1110032A04RIK	0.38466385	0.075288127
1110032A13RIK	0.576685471	0.505254828
1110032D16RIK	0.647698256	0.654503434
1110032E23RIK	1.622051819	0.191224403
1110032F04RIK	-0.304854582	-0.157541277
1110033C18RIK	-0.909064967	-0.816037165
1110033F04RIK	-0.084888898	-1.023846742
1110033K02RIK	0.009485209	-0.063029464
1110033L15RIK	0.943416472	0.344828497
1110033M05RIK	0.097396763	-0.04169427
1110033O09RIK	-1.736965594	0.821029859
1110034A24RIK	0.812319276	-0.551996712
1110034B05RIK	0.584962501	0.68182404
1110034G24RIK	-0.161245246	-0.283393493
1110034O24RIK	0.369484492	-0.193152841
1110035H17RIK	-0.249027548	-0.268165514
1110036D12RIK	0.185214872	-3.184875343
1110036O03RIK	0.289506617	0.523561956
1110037F02RIK	-0.505297722	-0.253423796
1110037J23RIK	0.815575429	-0.495957495
1110037P13RIK	-0.538866086	-1.693060188
1110038B12RIK	0.821199689	1.179838867
1110038D17RIK	-0.475457619	-0.253670336
1110038F14RIK	-0.279706008	-0.154722595
1110038G02RIK	0.263337207	-0.312064467
1110039B18RIK	0.860471235	-0.023480184
1110046J11RIK	-0.082291208	0.670131619
1110048D14RIK	0.770518154	-2.050626073
1110049B09RIK	0.298081353	0.243925583
1110049F12RIK	0.329246508	-0.27730392
1110049L02RIK	-0.197036847	0.570315725
1110049N09RIK	0.094122177	0.828233652
1110050B14RIK	-0.222392421	-0.645891499
1110051M20RIK	0.0	0.222392421
1110051N18RIK	0.06529146	-0.032789935
1110054B14RIK	-0.323134866	0.128642151
1110054H05RIK	0.129283017	-0.099688574
1110054O05RIK	0.503522441	-0.164437376
1110054P19RIK	-0.459431619	0.847996907
1110055N21RIK	0.452031707	0.056737857
1110057K04RIK	0.383620417	0.377274586
1110057P08RIK	0.047305715	-0.925999419
1110058L19RIK	0.302387121	-0.267051999
1110059E24RIK	-0.353385021	0.905048661
1110059G02RIK	0.351843673	0.174095107
1110059G10RIK	-1.41227636	-0.082323726
1110059H15RIK	1.137503524	0.511500339
1110059M19RIK	-0.08246216	0.212544635
1110059P08RIK	0.175442006	0.10203981
1110062G22RIK	-1.153623189	-2.567260499
1110062M06RIK	2.516744272	0.100338621
1110064P04RIK	-0.26710407	1.353636955
1110065P20RIK	-0.533255352	0.029670867
1110067B18RIK	-0.841159477	-0.252387162
1110067D22RIK	0.014797002	-0.350960913
1110068E08RIK	0.82595162	1.132280002
1110069O07RIK	-0.896164189	1.242856524
1110070O15RIK	-0.584962501	-0.53951953
1190002A17RIK	0.722146879	0.771058793
1190002A23RIK	1.468148836	0.0
1190002F15RIK	1.424712795	-0.634253888
1190002H23RIK	-1.57290305	-0.696649404
1190002N15RIK	0.497370101	0.232727923
1190003J15RIK	0.171685459	-0.127280664
1190003K10RIK	-0.064130337	0.014797002
1190003M12RIK	-0.103835811	0.159576313
1190004M23RIK	-1.075288127	0.450661409
1190005F20RIK	0.924773467	1.618676496
1190005I06RIK	-0.032421478	0.366782331
1190005N23RIK	-0.215365154	0.206450877
1190007F08RIK	2.098649973	-1.778079819
1190007I07RIK	3.271924715	3.392317423
1190008K20RIK	-0.745329067	-2.06030847
1190009E20RIK	2.113155283	0.091919477
1190012C08RIK	-1.517564511	-0.655235581
1190017O12RIK	0.569484153	0.193718113
1190020E20RIK	0.9510904	0.0
1190020J12RIK	-0.201633861	-1.036926569
1190028D05RIK	0.061400545	0.793549123
1190028F09	1.928036404	1.93128725
1200002N14RIK	2.287622654	0.3539192
1200003C05RIK	0.102137317	0.624436784
1200003E11RIK	0.383786565	0.584962501
1200003I07RIK	-2.12509522	-0.953306765
1200003N10RIK	-0.662965013	1.378511623
1200007C13RIK	0.161280907	-1.150779952
1200008A14RIK	0.116141595	-0.227867551
1200008N06RIK	-0.402098444	0.960687076
1200009F10RIK	0.093109404	0.115477217
1200009I06RIK	0.321928095	0.447458977
1200009O22RIK	0.851901361	0.095157233
1200011A11RIK	-0.303780748	-0.266280065
1200011I18RIK	0.399406848	-0.057610723
1200011M11RIK	-0.551409941	0.154509949
1200011O22RIK	1.049813399	-0.225770997
1200012P04RIK	-1.309328058	0.577308928
1200013B08RIK	1.432743761	1.557799608
1200013F24RIK	-0.966833136	-0.415037499
1200014J11RIK	0.821738339	0.276749283
1200014M14RIK	0.0	0.500898236
1200014P05RIK	-0.270089163	0.421826665
1200015F23RIK	0.248820547	0.118956587
1200015N20RIK	-0.667424661	0.311201688
1200015P04RIK	-0.624742403	-0.358596805
1200016B10RIK	-0.674363856	-0.279075
1200016C12RIK	-0.111031312	0.078002512
1200016D23RIK	-0.69608112	0.490635118
1200016E24RIK	-1.048784296	-1.670214417
1200016G03RIK	1.411426246	-0.152898899
1200016L19RIK	1.615659298	0.249359469
1200017F15RIK	-0.9510904	0.0
1300001I01RIK	0.051552759	-0.101178834
1300002E11RIK	-1.034488376	-1.180572246
1300002K09RIK	0.887525271	1.827163403
1300003B13RIK	0.341036918	-0.094636874
1300003O07RIK	-0.027480736	0.537656786
1300006C19RIK	-1.872837505	-0.186497303
1300007F04RIK	1.5360529	0.340518522
1300007L22RIK	1.310340121	0.9510904
1300010F03RIK	-0.155354303	0.132450296
1300010M03RIK	0.232660757	1.093109404
1300011L04RIK	0.321928095	1.61667136
1300012G16RIK	-0.062735755	-0.378511623
1300013B24RIK	-1.613602549	0.802319332
1300013D05RIK	-1.671616883	0.242275846
1300013F15RIK	0.647698256	1.266280065
1300013J15RIK	0.263034406	0.614108846
1300014I06RIK	-0.787511872	1.108776346
1300015D01RIK	0.009847786	-0.656045599
1300017J02RIK	1.418822447	-1.671370405
1300018I05RIK	-0.265187504	0.137924939
1300018I17RIK	0.177576438	0.662965013
1300018J18RIK	0.250643261	0.421513217
1500001A10RIK	0.821029859	-0.03562391
1500001E21RIK	-1.313703125	-0.263807996
1500001L15RIK	-0.262150984	-0.038144907
1500001M20RIK	0.523647528	-0.099788092
1500002C15RIK	-0.769702381	-1.019108823
1500002K03RIK	0.203533394	0.204013892
1500002O10RIK	-0.916168409	-0.800390974
1500002O20RIK	0.080170349	-0.284267043
1500003O03RIK	-0.051916668	0.253482118
1500003O22RIK	0.926833587	0.630866709
1500004F05RIK	-0.871784245	0.057820654
1500005C15RIK	-1.658963082	0.793549123
1500005I02RIK	0.696607857	-0.0489096
1500005K14RIK	0.687151199	0.708636244
1500005N04RIK	-1.181065559	-0.351378862
1500009K05RIK	0.64385619	0.17954942
1500009L16RIK	-0.091147888	0.206962381
1500010C09RIK	-0.765534746	0.0
1500010G04RIK	-0.759768169	-0.245142534
1500010J02RIK	0.319856745	-0.339806576
1500011B03RIK	0.641145336	0.551208895
1500011H22RIK	0.756093046	0.308779996
1500011J06RIK	0.900464326	-0.552541023
1500011K16RIK	0.104432791	0.018499732
1500012F01RIK	-0.416521044	0.035821313
1500012K07RIK	-0.222392421	0.047305715
1500012M23RIK	-0.217805152	0.061400545
1500015A07RIK	-0.097847323	-0.798096954
1500015G18RIK	0.437155905	-0.196823172
1500015L24RIK	-0.485426827	-0.821029859
1500015O10RIK	1.032421478	0.551642428
1500016O10RIK	0.197036847	-0.30256277
1500017E21RIK	-0.093109404	0.0
1500017I17RIK	0.0	-0.893084796
1500019C06RIK	-0.795180208	-0.62099081
1500019G21RIK	-0.498393246	-0.271412824
1500026H17RIK	0.252542032	-0.115477217
1500031H01RIK	0.373907623	0.101146723
1500031K13RIK	-1.641105579	-1.410283969
1500031L02RIK	1.539894098	1.011199981
1500032D16RIK	0.304401121	0.150596741
1500032L24RIK	0.724717548	0.00579547
1500032P08RIK	-1.736965594	-0.145850866
1500034J01RIK	-0.44762457	-0.025106249
1500034J20RIK	-0.182591413	0.964666927
1500035H01RIK	0.195256291	-0.04580369
1500035N22RIK	-1.165059246	-0.144389909
1500041B16RIK	-1.476813697	1.036836768
1500041J02RIK	-1.836229035	-0.226617007
1500041N16RIK	-0.070538993	-0.760329587
1520401A03RIK	0.230297619	0.485426827
1520402A15RIK	1.327574658	0.292180751
1520402A20RIK	-1.273676637	-0.155089073
1600002D24RIK	0.201633861	0.573735245
1600002H07RIK	0.96829114	-1.015266757
1600002K03RIK	-0.043477551	0.116293344
1600010O03RIK	-1.180572246	-0.251538767
1600012F09RIK	-0.628031223	0.202816883
1600012H06RIK	0.831877241	0.302973151
1600012K10RIK	0.640457613	-1.600904045
1600012P17RIK	-0.851901361	1.070389328
1600013E24RIK	0.812914447	-1.909802191
1600014C10RIK	2.50589093	0.458341283
1600014C23RIK	0.925999419	-0.9510904
1600014E20RIK	0.0	-0.900464326
1600014K23RIK	-0.40151636	-0.010888316
1600015I10RIK	-0.180572246	0.0
1600016N20RIK	-1.324680018	-0.07645206
1600017E01RIK	-0.946508593	-0.353826446
1600019C01RIK	-1.180572246	0.0
1600020E01RIK	-0.523561956	-0.821029859
1600021P15RIK	0.514573173	0.076621282
1600023H17RIK	-0.49842575	-0.153749245
1600023N17RIK	-0.60334103	-1.137503524
1600025M17RIK	-0.347923303	-0.293731203
1600027N09RIK	0.524080259	-0.404754526
1600029D21RIK	-1.159198595	-0.118644496
1600029I14RIK	1.830074999	-1.285402219
1600029O10RIK	-0.657977298	-0.914069821
1600032L17RIK	-0.645716532	-0.121990524
1620402D19RIK	-0.671377253	0.759641032
1700001C02RIK	-0.206450877	-0.356934545
1700001C07RIK	-0.088355874	0.751320887
1700001C14RIK	-0.736965594	-0.178970141
1700001C19RIK	1.263034406	-0.647698256
1700001E04RIK	0.688055994	0.222392421
1700001E18RIK	-1.102361718	1.08246216
1700001G17RIK	0.921390165	0.36975662
1700001J03RIK	0.329307625	-1.779609932
1700001J11RIK	1.250961574	1.274174963
1700001K23RIK	-0.047305715	-0.530514717
1700001L05RIK	0.408695972	-0.245306813
1700001L19RIK	0.624490865	-0.292180751
1700001O11RIK	0.0	0.216811389
1700001O22RIK	0.2410081	1.249978253
1700001P01RIK	-1.338322533	-0.773724144
1700003B17RIK	-0.95419631	1.874469118
1700003E16RIK	-0.338801913	-1.847996907
1700003F12RIK	-0.019236219	-0.784831905
1700003H04RIK	-0.951744831	0.056902391
1700003M02RIK	0.222392421	-1.420331799
1700003N22RIK	-1.341036918	-0.125530882
1700006A11RIK	0.45169597	0.232660757
1700006E09RIK	0.0	0.975752454
1700006H02RIK	0.075948853	0.180572246
1700006H03RIK	-0.263034406	0.977279923
1700006J14RIK	0.801280408	1.409562369
1700007B13RIK	0.645716532	-0.058102955
1700007B14RIK	-0.081794091	-0.443606651
1700007E06RIK	0.798366139	-0.847996907
1700007G11RIK	0.0	0.0
1700007K09RIK	0.029146346	1.5360529
1700007K13RIK	1.30256277	-0.376563351
1700007N01RIK	0.971430848	-0.409644241
1700007N14RIK	-0.424497829	-0.047305715
1700007P14RIK	-0.123599378	-0.83155727
1700008E09RIK	0.180572246	-0.149377624
1700008E11RIK	-0.394859617	0.172180975
1700008F19RIK	0.658963082	0.393342428
1700008F21RIK	0.975752454	0.0
1700008G05RIK	-0.30256277	0.0
1700008H02RIK	-0.723620941	-0.00625899
1700008I05RIK	-0.329307625	2.201633861
1700008J08RIK	0.741466986	-0.72935241
1700008O03RIK	0.96437609	0.069262662
1700008P02RIK	-0.556393349	1.0
1700008P20RIK	0.821029859	1.159198595
1700009C05RIK	0.543142325	-2.0
1700009J07RIK	0.559427409	0.61667136
1700009N14RIK	0.087462841	-0.03355256
1700009P03RIK	0.034672578	0.083280542
1700009P10RIK	0.0	0.765534746
1700009P13RIK	0.459431619	0.439006147
1700009P17RIK	0.541241123	-1.180572246
1700010A01RIK	-0.661414561	-0.019300556
1700010B08RIK	0.821029859	-1.450661409
1700010C24RIK	0.552541023	-1.027480736
1700010D01RIK	0.047305715	0.61667136
1700010H15RIK	1.0	-1.029146346
1700010H22RIK	-0.341036918	-0.793549123
1700010I14RIK	0.61667136	-0.093109404
1700010L04RIK	0.346450414	0.472752997
1700010M06RIK	1.021061616	0.169925001
1700010M22RIK	0.118644496	-0.180572246
1700011A15RIK	0.0	-1.691877705
1700011E24RIK	1.099535674	-0.628031223
1700011F03RIK	-0.388565288	0.0
1700011F14RIK	0.0	-0.765534746
1700011H14RIK	1.047305715	-0.547487795
1700011H22RIK	0.263034406	-1.070389328
1700011I03RIK	0.0	-0.506352666
1700011J10RIK	0.882246469	-0.680501046
1700011K15RIK	0.450661409	0.0
1700011L22RIK	-0.222392421	-1.420843121
1700011M02RIK	-0.472068444	1.111508315
1700012A03RIK	0.335603032	1.023846742
1700012A16RIK	0.0	-0.187627003
1700012B07RIK	-0.257797757	0.140177658
1700012B09RIK	0.517848305	-0.65808043
1700012B15RIK	0.678071905	0.080170349
1700012C15RIK	-0.263034406	-0.093109404
1700012F10RIK	0.751501687	0.485426827
1700012F11RIK	0.024662054	0.449525876
1700012H05RIK	0.047305715	0.707819249
1700012H17RIK	0.595609745	-0.124566836
1700012K20RIK	-0.285908872	0.212153237
1700012L04RIK	-0.652076697	-1.321928095
1700012M13RIK	0.291766124	-0.415037499
1700012M14RIK	-0.047305715	0.234465254
1700012O15RIK	0.012600037	0.656347134
1700012P22RIK	-0.915111102	0.049753035
1700013A01RIK	-0.354649433	-0.099202301
1700013B16RIK	-0.481532911	0.514573173
1700013D24RIK	-0.827163403	0.273018494
1700013E18RIK	-0.105933445	-0.695993813
1700013F07RIK	0.0	0.209453366
1700013G10RIK	-2.171162304	-0.625908051
1700013G24RIK	-1.555518723	-1.821029859
1700013H16RIK	0.415037499	-0.678071905
1700013N18RIK	-0.986060809	-0.633872101
1700014B07RIK	-0.90442234	0.743224585
1700014B12RIK	0.0	0.0
1700014D04RIK	-1.893084796	-1.23349013
1700014N06RIK	0.678071905	0.485426827
1700015E05RIK	-0.646494003	-0.291857241
1700015E13RIK	-0.455369593	-1.493539473
1700015F03RIK	0.029146346	-0.090765464
1700015L13RIK	-0.348803801	-0.74375476
1700016A15RIK	0.238586962	-0.092237949
1700016B15RIK	-0.648527629	0.0
1700016C15RIK	0.705256734	0.098180394
1700016D02RIK	1.46712601	0.19592021
1700016D06RIK	-0.881818574	0.495957495
1700016D18RIK	0.0	-0.047305715
1700016G05RIK	-0.743660247	-1.432959407
1700016H13RIK	0.20029865	0.63005039
1700016J18RIK	0.394278939	-1.779609932
1700016K13RIK	0.0	0.0
1700016K19RIK	-0.652076697	-0.678071905
1700016L04RIK	-0.415037499	0.0
1700016L21RIK	-0.337034987	0.206450877
1700016M24RIK	0.212993723	0.093109404
1700017B05RIK	-0.450661409	-1.741466986
1700017D01RIK	0.347923303	-0.527247003
1700017G19RIK	0.529680065	0.043721377
1700017N19RIK	0.133266531	0.552541023
1700018B24RIK	0.0	-0.793549123
1700018C11RIK	0.561878888	-0.717269793
1700018F24RIK	0.880418384	0.180572246
1700018G05RIK	-1.125530882	-0.199308808
1700018L24RIK	-2.023846742	1.0
1700019A02RIK	-0.647698256	0.0
1700019B03RIK	0.257157839	0.0
1700019B21RIK	0.0	1.263034406
1700019D03RIK	-1.017277991	-0.606657572
1700019E19RIK	-0.239007135	1.073063462
1700019G17RIK	0.313157885	0.084888898
1700019H03RIK	0.079109838	0.374246268
1700019J19RIK	-1.447458977	1.378511623
1700019L03RIK	0.449525876	0.099535674
1700019M22RIK	0.0	0.0
1700019N12RIK	0.356934545	0.474908955
1700019N19RIK	0.549338591	1.584962501
1700019O17RIK	0.958179824	-2.03562391
1700020A23RIK	0.736965594	0.0
1700020C07RIK	-1.445139531	-0.445411148
1700020C11RIK	0.162650338	-0.803602787
1700020D05RIK	0.657718843	0.702614089
1700020G18RIK	-0.257157839	0.752907138
1700020I14RIK	0.277007348	-0.276804591
1700020I22RIK	-1.242856524	-1.359895945
1700020L13RIK	-0.415037499	-0.2410081
1700020L24RIK	2.118414002	0.296981738
1700020M10RIK	0.371968777	0.485426827
1700020N01RIK	-1.152003093	-1.047305715
1700020N15RIK	-0.275634443	0.668794092
1700020N17RIK	-0.405256478	-0.539158811
1700020N18RIK	-1.148098639	0.611929548
1700020O03RIK	0.420843121	0.479411412
1700021A07RIK	-0.099535674	-0.332575339
1700021C14RIK	-0.519773954	-0.087545795
1700021E15RIK	-0.712718048	0.456378295
1700021F05RIK	0.741486824	-0.136398108
1700021F07RIK	0.180572246	1.017073513
1700021I09RIK	0.793549123	1.093109404
1700021J08RIK	-0.253756592	-0.752907138
1700021K02RIK	-0.801454321	0.263034406
1700021K10RIK	0.625934282	1.256339753
1700021K14RIK	1.064130337	-0.628031223
1700021K19RIK	-0.375182401	0.682627684
1700021O21RIK	0.216811389	0.353015773
1700021P04RIK	-0.47533801	0.788495895
1700021P10RIK	0.811927652	0.832890014
1700021P22RIK	-0.333126301	0.110182918
1700022A21RIK	0.464668267	0.0
1700022C21RIK	0.326429487	0.242074787
1700022F17RIK	0.0	-1.093109404
1700022I11RIK	-0.378511623	-0.30256277
1700022J01RIK	-0.17856392	0.494016289
1700022K14RIK	-0.434402824	1.30256277
1700022L20RIK	0.35614381	0.498805857
1700022N22RIK	-0.68242831	-0.443606651
1700022P15RIK	1.357552005	0.0
1700022P22RIK	-0.415037499	0.415037499
1700023A16RIK	-0.182864057	-0.404390255
1700023B02RIK	-0.117887736	-0.847031755
1700023B23RIK	0.812067049	1.060541542
1700023C21RIK	0.20029865	0.736965594
1700023D19RIK	0.192645078	1.472068444
1700023E05RIK	0.321928095	0.370837695
1700023F06RIK	-0.524420959	0.160464672
1700023G08RIK	0.267480311	0.393663848
1700023I07RIK	0.236067358	-0.746243408
1700023L04RIK	-0.889817082	0.721283972
1700023M03RIK	1.721161265	0.295032868
1700024B05RIK	0.250543462	1.779609932
1700024C24RIK	0.584962501	0.139403057
1700024D23RIK	-0.180572246	0.0
1700024G10RIK	-1.485426827	-0.230005605
1700024G13RIK	-0.111508315	0.610588308
1700024J04RIK	-0.156119202	0.710493383
1700024P04RIK	0.30256277	0.415037499
1700024P12RIK	-0.736965594	-0.645716532
1700024P16RIK	1.021695071	1.169925001
1700025B11RIK	0.793549123	1.341036918
1700025D03RIK	-0.744742945	-0.584962501
1700025E21RIK	-0.584962501	0.017487427
1700025F22RIK	-0.434402824	-0.097847323
1700025F24RIK	0.0	1.11189288
1700025G04RIK	0.574622947	-0.133204106
1700025H01RIK	0.454565863	-1.432959407
1700025K23RIK	-0.145850866	-0.498026864
1700025K24RIK	1.0	-0.965234582
1700025O08RIK	-0.519374159	0.0
1700026D08RIK	0.527247003	0.350497247
1700026J04RIK	0.044394119	0.600392541
1700026J12RIK	0.946228744	0.222392421
1700026L06RIK	0.80177389	1.256339753
1700026N04RIK	1.366782331	0.736965594
1700026N20RIK	-0.093109404	0.140177658
1700027A07RIK	-0.485426827	0.0
1700027A23RIK	-1.766902878	-0.493814613
1700027D21RIK	0.449802917	0.9510904
1700027F06RIK	-0.195256291	-0.347923303
1700027I24RIK	0.728697978	0.180572246
1700027J07RIK	2.288761231	0.289506617
1700027L20RIK	0.0	-1.289506617
1700027M01RIK	0.433890207	-0.144481874
1700027N10RIK	1.181112682	1.281181753
1700028D13RIK	-0.329307625	1.111361109
1700028G04RIK	-0.942119084	0.631355406
1700028I04RIK	-0.297680549	0.227268043
1700028I16RIK	-2.317412614	-1.584962501
1700028J19RIK	-0.890375509	-1.762960803
1700028K03RIK	0.341036918	0.662965013
1700028M03RIK	-0.263034406	-0.047305715
1700028N14RIK	-1.229481846	-0.549338591
1700028P14RIK	-0.519374159	0.510961919
1700029F09RIK	0.315629673	0.2490629
1700029F12RIK	0.037474705	0.0
1700029G01RIK	-1.683103592	-1.115477217
1700029H14RIK	0.341036918	0.0
1700029I01RIK	0.963930745	0.691510279
1700029I08RIK	0.426264755	0.377235467
1700029I15RIK	-0.392317423	-0.881818574
1700029J07RIK	-1.867164317	-0.504674712
1700029K01RIK	0.700439718	-0.16175107
1700029M20RIK	-0.096861539	0.800691192
1700029P11RIK	0.170075793	-0.10129936
1700030C10RIK	0.2410081	-0.362570079
1700030E15RIK	-0.707819249	0.0
1700030F18RIK	-0.459431619	-0.830074999
1700030G05RIK	0.137503524	0.812372997
1700030G11RIK	0.292781749	0.785261151
1700030J15RIK	-1.519374159	0.467778961
1700030J22RIK	-0.350186355	-0.365284464
1700030K09RIK	-0.561826626	0.48470686
1700030N03RIK	1.861293729	0.880701072
1700031F05RIK	-0.093109404	-1.106915204
1700031F13RIK	1.180572246	0.329307625
