Rank	1-cos(α)	Perturbation	Perturbation LIFE URL	Perturbation PubChem URL	Perturbation DrugBank URL	Cell-line	Dose	Time	Signature URL
12	1.3098	NCGC00185684-02	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K37940862	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=46930969	None	HT29	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC007_HT29_6H:BRD-K37940862:10.0
13	1.3095	C3930	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A98283014	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=644274	None	PC3	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_PC3_6H:BRD-A98283014:10.0
14	1.3095	Thioguanosine	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K75649340	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2724387	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPD001_PC3_24H:BRD-K75649340:10.0
15	1.3082	tozasertib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K59369769	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5494449	None	MCF7	0.04um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_MCF7_3H:BRD-K59369769:0.04
16	1.3065	BJM-ctd2-9	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-M86331534	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707397	None	SW620	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_SW620_6H:BRD-M86331534:10.0
17	1.3057	S6005	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K07736136	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10341154	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_PC3_24H:BRD-K07736136:10.0
18	1.3039	BRD-K89692698	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K89692698	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2842253	None	SW620	160.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_SW620_6H:BRD-K89692698:160.0
19	1.3036	QL-XII-47	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99252563	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=71748056	None	MDAMB231	3.33um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_MDAMB231_3H:BRD-K99252563:3.33
20	1.3032	BRD-K91370081	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K91370081	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=253602	None	A549	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC016_A549_6H:BRD-K91370081:10.0
21	1.3023	NSC 23766	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A80213327	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=409805	None	HT29	160.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_HT29_24H:BRD-A80213327:160.0
22	1.3015	AZ20	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K42436189	None	None	HCC515	0.37um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP008_HCC515_24H:BRD-K42436189:0.37
23	1.3009	barasertib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K63923597	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=16007391	None	HEPG2	0.37um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP005_HEPG2_24H:BRD-K63923597:0.37
24	1.3003	A-275	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K84937637	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44634693	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_PC3_24H:BRD-K84937637:10.0
25	1.3003	BRD-K76674262	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K76674262	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=285033	None	A549	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC017_A549_24H:BRD-K76674262:10.0
26	1.2993	BRD-K76674262	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K76674262	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=285033	None	A549	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC017_A549_6H:BRD-K76674262:10.0
27	1.2990	V4877	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A26002865	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=104830	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_PC3_24H:BRD-A26002865:10.0
28	1.2976	mw-A1-12	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K78867378	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=701939	None	A549	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A549_6H:BRD-K78867378:10.0
29	1.2976	BRD-K91370081	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K91370081	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=253602	None	A549	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC016_A549_24H:BRD-K91370081:10.0
30	1.2961	Methyl benzethonium chloride	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K46531780	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5702238	None	MCF7	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPD002_MCF7_24H:BRD-K46531780:10.0
31	1.2953	Puromycin dihydrochloride	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K36007650	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=23618032	None	HA1E	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC003_HA1E_6H:BRD-K36007650:10.0
32	1.2937	ST4029573	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K16798053	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5286565	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC013_PC3_24H:BRD-K16798053:10.0
33	1.2936	S1122	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K16485616	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9865515	None	HCC515	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_HCC515_6H:BRD-K16485616:10.0
34	1.2928	HY-10044	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A45498368	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25260757	None	SKB	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_SKB_24H:BRD-A45498368:10.0
35	1.2912	BRD-K06593056	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K06593056	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=10410894	None	SW620	20.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_SW620_6H:BRD-K06593056:20.0
36	1.2908	DG-041	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K33272502	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=11296282	None	A549	40.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_A549_6H:BRD-K33272502:40.0
37	1.2901	PNU 74654	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K30707190	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9836739	None	AGS	80.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_AGS_6H:BRD-K30707190:80.0
38	1.2895	BRD-K30849099	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K30849099	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=709391	None	A549	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC019_A549_24H:BRD-K30849099:10.0
39	1.2893	IMD 0354	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K74305673	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5081913	None	SKM1	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_SKM1_6H:BRD-K74305673:10.0
40	1.2887	QL-XII-47	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K99252563	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=71748056	None	A549	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_A549_24H:BRD-K99252563:10
41	1.2874	BRD-K00007652	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K00007652	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=44507092	None	HCC515	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC019_HCC515_6H:BRD-K00007652:10.0
42	1.2874	S2004	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-M72442222	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=73707391	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_PC3_24H:BRD-M72442222:10.0
43	1.2868	GW-843682X	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K90382497	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9826308	None	A549	10um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_A549_24H:BRD-K90382497:10
44	1.2862	BRD-K68174511	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K68174511	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=51358113	None	SKB	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_SKB_24H:BRD-K68174511:10.0
45	1.2860	BRD-K77987382	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K77987382	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=4030	http://www.drugbank.ca/drugs/DB00643	HT29	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC018_HT29_6H:BRD-K77987382:10.0
46	1.2858	WYE-125132	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-A45498368	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=25260757	None	HS578T	3.33um	3h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP006_HS578T_3H:BRD-A45498368:3.33
47	1.2854	Narciclasine	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K06792661	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=72376	None	RMGI	10.0um	6.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC006_RMGI_6H:BRD-K06792661:10.0
48	1.2853	sunitinib	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K70511574	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=9888590	None	A375	0.04um	24h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=LJP009_A375_24H:BRD-K70511574:0.04
49	1.2852	7811943	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K07877311	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2209276	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_PC3_24H:BRD-K07877311:10.0
50	1.2847	EI-263	http://life.ccs.miami.edu/life/summary?mode=SmallMolecule&source=BROAD&input=BRD-K67506692	http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2046	None	PC3	10.0um	24.0h	http://amp.pharm.mssm.edu/L1000CDS2/meta?sig_id=CPC014_PC3_24H:BRD-K67506692:10.0
